StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Employment,TotalIncome,Race,Education,Age_1,Gender,PID
7/4/2022 13:31,7/4/2022 13:32,IP Address,100,29,TRUE,7/4/2022 13:32,R_0MxJ6G5Bw991iX7,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,23,Female,610b04d642aa28e6f7281bce
7/4/2022 13:39,7/4/2022 13:40,IP Address,100,45,TRUE,7/4/2022 13:40,R_31yAESlQ4c2i5Mo,,,,,anonymous,EN,"Disabled, not able to work","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,38,Male,60ea3690567f68655f83d0b5
7/4/2022 13:43,7/4/2022 13:44,IP Address,100,34,TRUE,7/4/2022 13:44,R_AzKjzEUjHT45LX3,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,30,Male,5f25c13cc7c8ea1ac7a0f863
7/4/2022 13:44,7/4/2022 13:45,IP Address,100,50,TRUE,7/4/2022 13:45,R_2y7Sfqn4cyXzCAQ,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,47,Male,612d54b792c80674acfa9f27
7/4/2022 13:38,7/4/2022 13:46,IP Address,100,500,TRUE,7/4/2022 13:46,R_241rWeUU6Miudah,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999","White or Caucasian (Non-Hispanic),Hispanic",Some high school,30,Male,62b9e94484e7ffb27d90f991
7/4/2022 13:47,7/4/2022 13:47,IP Address,100,32,TRUE,7/4/2022 13:47,R_voalPwoRL8sZ8pX,,,,,anonymous,EN,"Not employed, looking for work","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,24,Female,6111a2f11add6761a59516db
7/4/2022 13:47,7/4/2022 13:48,IP Address,100,52,TRUE,7/4/2022 13:48,R_1dGGpEtYzE9Syzp,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999",Hispanic,Bachelor degree,23,Female,608ed2b926a5b59e8a0990e1
7/4/2022 13:48,7/4/2022 13:49,IP Address,100,30,TRUE,7/4/2022 13:49,R_3fwxuS3WI4vojXX,,,,,anonymous,EN,"Not employed, looking for work","$150,000 or more",White or Caucasian (Non-Hispanic),Some college but no degree,19,Female,6106cf67f5ceadad19438481
7/4/2022 13:52,7/4/2022 13:53,IP Address,100,25,TRUE,7/4/2022 13:53,R_24AhuyaMOBfPThm,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,26,Female,5aedb8ce49bb4c0001079640
7/4/2022 13:53,7/4/2022 13:54,IP Address,100,69,TRUE,7/4/2022 13:54,R_1IEJjtVHXmucSsI,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",67,Female,5f4da0c092c4bb080b6c0ebb
7/4/2022 13:54,7/4/2022 13:54,IP Address,100,28,TRUE,7/4/2022 13:54,R_3rJ1cY8egpEENjB,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Some college but no degree,20,Male,60fcae009d765669371b8c17
7/4/2022 13:55,7/4/2022 13:56,IP Address,100,44,TRUE,7/4/2022 13:56,R_1kRXWfnx5BGl5GG,,,,,anonymous,EN,Retired,"$20,000 - $39,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,62,Female,5a5d0554ac562400015402dd
7/4/2022 13:55,7/4/2022 13:56,IP Address,100,53,TRUE,7/4/2022 13:56,R_3gMgRCx8yR0PH1m,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999","White or Caucasian (Non-Hispanic),African American or African (Non-Hispanic)",Some college but no degree,27,Female,5f579cc797c3ee2607f6e344
7/4/2022 13:58,7/4/2022 13:59,IP Address,100,55,TRUE,7/4/2022 13:59,R_2wRBRc4XqvAUZNw,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$20,000 - $39,999","White or Caucasian (Non-Hispanic),African American or African (Non-Hispanic),Native American, Native Hawaiian or Pacific Islander",Some college but no degree,28,Male,611856f2838637d026064221
7/4/2022 14:01,7/4/2022 14:02,IP Address,100,28,TRUE,7/4/2022 14:02,R_8pkHYwCUhaEY3bH,,,,,anonymous,EN,"Not employed, looking for work","$60,000 - $79,999",Asian American or Asian,"High school degree or equivalent (e.g., GED)",18,Male,62c0c10138f386a203bbf434
7/4/2022 14:02,7/4/2022 14:03,IP Address,100,36,TRUE,7/4/2022 14:03,R_1PUCezeUeaHExQp,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Asian American or Asian,Bachelor degree,25,Female,5f0a5a99dbbf721316f118e2
7/4/2022 14:05,7/4/2022 14:06,IP Address,100,93,TRUE,7/4/2022 14:06,R_247UihomUcljgJb,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,26,Female,62c2d76bf4f59bba67bd6b2b
7/4/2022 14:06,7/4/2022 14:07,IP Address,100,39,TRUE,7/4/2022 14:07,R_e2vVbX8T2Dia7uN,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999",Asian American or Asian,"High school degree or equivalent (e.g., GED)",21,Male,6126c68385863fa349a80305
7/4/2022 14:12,7/4/2022 14:12,IP Address,100,18,TRUE,7/4/2022 14:12,R_1BSqSUtenNx6ijE,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Asian American or Asian,Some college but no degree,27,Male,5faeb8eb6562cd0163f216ec
7/4/2022 14:21,7/4/2022 14:22,IP Address,100,39,TRUE,7/4/2022 14:22,R_3JgcJVW6LRuVwbE,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",27,Male,5f0121307086ce26f958afb2
7/9/2022 13:53,7/9/2022 13:53,IP Address,100,39,TRUE,7/9/2022 13:53,R_10N2omHOXlj7HTG,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Associate degree,35,Female,5d26b1a4c22768000166c809
7/9/2022 14:00,7/9/2022 14:00,IP Address,100,23,TRUE,7/9/2022 14:00,R_1HkmpT38Aze8fnx,,,,,anonymous,EN,"Not employed, NOT looking for work","$40,000 - $59,999",Asian American or Asian,"High school degree or equivalent (e.g., GED)",21,Male,6100a9b7f9d6f5b1a8ea4a52
7/9/2022 14:03,7/9/2022 14:05,IP Address,100,106,TRUE,7/9/2022 14:05,R_31WR10OFZR5bFpz,,,,,anonymous,EN,Retired,"$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some high school,64,Female,5c703b703a67ad00016eb12d
7/9/2022 14:06,7/9/2022 14:07,IP Address,100,29,TRUE,7/9/2022 14:07,R_1eLbtSQl0pQegmF,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,28,Female,610851ae0b6b2e2414c9494f
7/9/2022 14:08,7/9/2022 14:09,IP Address,100,68,TRUE,7/9/2022 14:09,R_2pWTuetWxwW73LW,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",Asian American or Asian,Graduate or professional degree,63,Female,629d16db307da2e64ea7b1e7
7/9/2022 14:12,7/9/2022 14:13,IP Address,100,28,TRUE,7/9/2022 14:13,R_Td3cXtcKb0uzZFn,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",I prefer not to say,Bachelor degree,27,Female,5f7886666ffac4081e8afa08
7/9/2022 14:12,7/9/2022 14:13,IP Address,100,55,TRUE,7/9/2022 14:13,R_1r0T1vWPso7myCH,,,,,anonymous,EN,Retired,"$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,67,Female,58cefdb030c4cf0001ceb3ac
7/9/2022 14:10,7/9/2022 14:16,IP Address,100,353,TRUE,7/9/2022 14:16,R_3HNR2UJnCQeqYUv,,,,,anonymous,EN,"Disabled, not able to work","$20,000 - $39,999","White or Caucasian (Non-Hispanic),African American or African (Non-Hispanic)",Associate degree,47,Female,60b296b907e5c81c0ea774fb
7/9/2022 14:16,7/9/2022 14:17,IP Address,100,54,TRUE,7/9/2022 14:17,R_2c7qnFxAY8zwNGU,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Bachelor degree,43,Female,62a76dfc808c176cecd72dfa
7/9/2022 14:20,7/9/2022 14:20,IP Address,100,25,TRUE,7/9/2022 14:20,R_1pDutlA92sjUFX7,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Associate degree,41,Female,5fb732a0e80f072527639ffc
7/9/2022 14:19,7/9/2022 14:20,IP Address,100,59,TRUE,7/9/2022 14:20,R_ermk0yWuuqVsGAN,,,,,anonymous,EN,"Not employed, looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",19,Female,6018d815710c721dd0c0a34c
7/9/2022 14:21,7/9/2022 14:21,IP Address,100,42,TRUE,7/9/2022 14:21,R_vJ0CPGUattuPhq9,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,22,Female,60fdcf5b71ad4d50db175e90
7/9/2022 14:20,7/9/2022 14:21,IP Address,100,63,TRUE,7/9/2022 14:21,R_bqDCzFFmLYS4jzX,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,21,Female,6277d6ac2004cea3140ca4ff
7/9/2022 14:21,7/9/2022 14:22,IP Address,100,26,TRUE,7/9/2022 14:22,R_2WGZutn8y4HMtDG,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Some college but no degree,21,Female,60fdccf1f4d498a8bc86a150
7/9/2022 14:23,7/9/2022 14:23,IP Address,100,34,TRUE,7/9/2022 14:23,R_3hGWWPhbjP7bJXE,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Some college but no degree,21,Female,60fdc69d7fa7041d0a8b4b1b
7/9/2022 14:23,7/9/2022 14:24,IP Address,100,87,TRUE,7/9/2022 14:24,R_3DjvZJyWqZ4K31c,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",African American or African (Non-Hispanic),Bachelor degree,32,Male,5db254ae709cfb000a35d074
7/9/2022 14:25,7/9/2022 14:25,IP Address,100,29,TRUE,7/9/2022 14:25,R_1poqMX7tuYnefpz,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Associate degree,33,Male,583492b3ef3ec1000175ee76
7/9/2022 14:25,7/9/2022 14:26,IP Address,100,29,TRUE,7/9/2022 14:26,R_2bIyxyGLev2Hgv9,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$60,000 - $79,999",Asian American or Asian,Bachelor degree,31,Female,60daada33618b36687776207
7/9/2022 14:25,7/9/2022 14:26,IP Address,100,18,TRUE,7/9/2022 14:26,R_sZjEsCAJbK5VPMd,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",Asian American or Asian,Bachelor degree,23,Female,5fd0261b85dd3e087609bee6
7/9/2022 14:26,7/9/2022 14:27,IP Address,100,38,TRUE,7/9/2022 14:27,R_3PaAFiPsSetSseE,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999","White or Caucasian (Non-Hispanic),Asian American or Asian",Bachelor degree,22,Female,60fe1580147adc7ebeb315e6
7/9/2022 14:26,7/9/2022 14:27,IP Address,100,48,TRUE,7/9/2022 14:27,R_Z3Pxww7UtGeXkxH,,,,,anonymous,EN,"Not employed, NOT looking for work","$60,000 - $79,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",19,Female,5caf93416ef0d1001c761380
7/9/2022 14:26,7/9/2022 14:27,IP Address,100,64,TRUE,7/9/2022 14:27,R_2cwHcIdGV01hpLl,,,,,anonymous,EN,Retired,"$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,57,Female,60fd7a2e87c9ecc26cae5ac7
7/9/2022 14:28,7/9/2022 14:28,IP Address,100,30,TRUE,7/9/2022 14:28,R_3et7NdLz9d3HQN5,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,27,Male,59e1e3a23e4b5a00016a9c17
7/9/2022 14:28,7/9/2022 14:28,IP Address,100,30,TRUE,7/9/2022 14:28,R_3gMgVTtSjk2fHxp,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,26,Female,5dbafef07da98310cf2f4e53
7/9/2022 14:30,7/9/2022 14:30,IP Address,100,44,TRUE,7/9/2022 14:30,R_2PyTzNZgywgEw3N,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Associate degree,27,Male,5c888f3ba869d400019acb49
7/9/2022 14:30,7/9/2022 14:31,IP Address,100,48,TRUE,7/9/2022 14:31,R_9FZMxpUB7zDKYzT,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Associate degree,21,Female,60fed37f8321c18534a69e5f
7/9/2022 14:31,7/9/2022 14:31,IP Address,100,28,TRUE,7/9/2022 14:31,R_10SOUL2sScE3DuN,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",19,Female,6109bf65591bce0e843d5e22
7/9/2022 14:30,7/9/2022 14:32,IP Address,100,105,TRUE,7/9/2022 14:32,R_QomY0dfr3hl9QqZ,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,53,Female,5e076e0c53e8461018058048
