StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,PID,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,surveyArm,PROLIFIC_PID
7/4/2022 13:29,7/4/2022 13:31,IP Address,100,170,TRUE,7/4/2022 13:31,R_1QGgA0vRmpoaSzf,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Macintosh,1440x900,610b04d642aa28e6f7281bce ,Very little,Angry,Never,Government should do more to solve problems.,Slightly Agree,Disagree,Slightly Disagree,Slightly Agree,Disagree,Agree,Strongly Agree,Disagree,Slightly Agree,Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Once a month,arm2_generalinfo,610b04d642aa28e6f7281bce
7/4/2022 13:30,7/4/2022 13:34,IP Address,100,263,TRUE,7/4/2022 13:34,R_2CpJ9L8rg6UwLg9,,,,,anonymous,EN,Yes,Chrome,102.0.0.0,Android 12,393x786,62b9e94484e7ffb27d90f991,Some,Basically content,Most of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,arm4_interactive,62b9e94484e7ffb27d90f991
7/4/2022 13:36,7/4/2022 13:39,IP Address,100,179,TRUE,7/4/2022 13:39,R_BK4Cz4MSpGxiFyx,,,,,anonymous,EN,Yes,Chrome,103.0.5060.66,Windows NT 10.0,1920x1080,60ea3690567f68655f83d0b5,Some,Angry,Only some of the time,Government should do more to solve problems.,Agree,Slightly Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Slightly Disagree,Disagree,Slightly Disagree,Strongly Agree,Slightly Disagree,A few times a week / Daily,arm1_control,60ea3690567f68655f83d0b5
7/4/2022 13:42,7/4/2022 13:43,IP Address,100,83,TRUE,7/4/2022 13:43,R_3j062Jr9rs2QySp,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Windows NT 6.3,1536x864,5f25c13cc7c8ea1ac7a0f863,Some,Basically content,Most of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Agree,Slightly Agree,Once a week,arm3_tips,5f25c13cc7c8ea1ac7a0f863
7/4/2022 13:41,7/4/2022 13:44,IP Address,100,184,TRUE,7/4/2022 13:44,R_2rATqiQScJRfzYc,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Macintosh,1440x900,608ed2b926a5b59e8a0990e1,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Agree,A few times a year,arm4_interactive,608ed2b926a5b59e8a0990e1
7/4/2022 13:40,7/4/2022 13:44,IP Address,100,247,TRUE,7/4/2022 13:44,R_9H3ziOX0qt1Y1H3,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Macintosh,1440x900,612d54b792c80674acfa9f27,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Strongly Agree,,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Once a month,arm3_tips,612d54b792c80674acfa9f27
7/4/2022 13:44,7/4/2022 13:47,IP Address,100,127,TRUE,7/4/2022 13:47,R_2YVWWqQmszDZQqR,,,,,anonymous,EN,Yes,Chrome,102.0.0.0,Macintosh,1440x900,6111a2f11add6761a59516db,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Slightly Agree,Disagree,Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Disagree,Once a month,arm2_generalinfo,6111a2f11add6761a59516db
7/4/2022 13:44,7/4/2022 13:48,IP Address,100,229,TRUE,7/4/2022 13:48,R_5uMXrOQEBPxbF17,,,,,anonymous,EN,Yes,Chrome,103.0.5060.53,Windows NT 10.0,1536x864,6106cf67f5ceadad19438481,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,arm1_control,6106cf67f5ceadad19438481
7/4/2022 13:48,7/4/2022 13:51,IP Address,100,165,TRUE,7/4/2022 13:51,R_1EiY5HpolWfrjvn,,,,,anonymous,EN,Yes,Chrome,102.0.0.0,Macintosh,1440x900,60fcae009d765669371b8c17,Very little,Angry,Never,Government should do more to solve problems.,Slightly Agree,Disagree,Disagree,Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Disagree,Disagree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,Disagree,Slightly Disagree,Once a month,arm4_interactive,60fcae009d765669371b8c17
7/4/2022 13:51,7/4/2022 13:52,IP Address,100,84,TRUE,7/4/2022 13:52,R_ToSau7BvvVtNJXr,,,,,anonymous,EN,Yes,Chrome,103.0.5060.53,Windows NT 10.0,1536x864,5aedb8ce49bb4c0001079640,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,A few times a week / Daily,arm2_generalinfo,5aedb8ce49bb4c0001079640
7/4/2022 13:48,7/4/2022 13:53,IP Address,100,269,TRUE,7/4/2022 13:53,R_9YrV0Cwt1DKVWDL,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Windows NT 10.0,1600x900,5f4da0c092c4bb080b6c0ebb,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Agree,Agree,Agree,Slightly Agree,Strongly Agree,Neither Agree nor Disagree,Once a month,arm1_control,5f4da0c092c4bb080b6c0ebb
7/4/2022 13:52,7/4/2022 13:55,IP Address,100,163,TRUE,7/4/2022 13:55,R_3fvEEja7ARXJh1q,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Windows NT 10.0,1280x854,5a5d0554ac562400015402dd,Some,Basically content,Most of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Once a week,arm3_tips,5a5d0554ac562400015402dd
7/4/2022 13:53,7/4/2022 13:55,IP Address,100,117,TRUE,7/4/2022 13:55,R_1mkL8FWvkCzLdQR,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,5f579cc797c3ee2607f6e344,Very little,Frustrated,Never,Government should do more to solve problems.,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Slightly Disagree,Agree,Slightly Disagree,Agree,Slightly Disagree,Slightly Agree,Disagree,Strongly Disagree,Slightly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Once a month,arm1_control,5f579cc797c3ee2607f6e344
7/4/2022 13:53,7/4/2022 13:57,IP Address,100,218,TRUE,7/4/2022 13:57,R_2viirMSaKWxWq9O,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Windows NT 6.3,1280x800,5f0a5a99dbbf721316f118e2,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,arm4_interactive,5f0a5a99dbbf721316f118e2
7/4/2022 13:55,7/4/2022 13:58,IP Address,100,202,TRUE,7/4/2022 13:58,R_2hNXXYBpMccgw7f,,,,,anonymous,EN,Yes,Edge,103.0.1264.44,Windows NT 10.0,1707x961,611856f2838637d026064221,Some,Angry,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Strongly Disagree,Disagree,Disagree,Slightly Agree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Disagree,,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,Disagree,Disagree,Once a month,arm3_tips,611856f2838637d026064221
7/4/2022 13:58,7/4/2022 14:01,IP Address,100,193,TRUE,7/4/2022 14:01,R_2coW8i6hcfQXClm,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Macintosh,1440x900,62c0c10138f386a203bbf434,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,A few times a year,arm2_generalinfo,62c0c10138f386a203bbf434
7/4/2022 13:52,7/4/2022 14:05,IP Address,100,753,TRUE,7/4/2022 14:05,R_22nM1iXbtmDOkuT,,,,,anonymous,EN,Yes,Safari,15.3,Macintosh,1440x900,62c2d76bf4f59bba67bd6b2b,Some,Angry,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Disagree,Slightly Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,arm2_generalinfo,62c2d76bf4f59bba67bd6b2b
7/4/2022 13:58,7/4/2022 14:06,IP Address,100,472,TRUE,7/4/2022 14:06,R_wNm8PEUYaosusQF,,,,,anonymous,EN,Yes,Safari iPhone,12.1.2,iPhone,375x667,6126c68385863fa349a80305,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Slightly Disagree,Disagree,Slightly Agree,Agree,Slightly Disagree,Agree,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Strongly Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,A few times a year,arm2_generalinfo,6126c68385863fa349a80305
7/4/2022 14:09,7/4/2022 14:12,IP Address,100,162,TRUE,7/4/2022 14:12,R_1kFHNxhtpuz0gTX,,,,,anonymous,EN,Yes,Firefox,102,Windows NT 10.0,1920x1080,5faeb8eb6562cd0163f216ec,Quite a lot,Basically content,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Once a month,arm1_control,5faeb8eb6562cd0163f216ec
