StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID
7/7/2022 10:08,7/7/2022 10:17,IP Address,100,535,TRUE,7/7/2022 10:17,R_V4j33uxlBiqjafL,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,None at all,,Most of the time,Government should do more to solve problems.,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Disagree,Once a year,SteveBB3,arm2_generalinfo,,SteveBB3
7/7/2022 12:09,7/7/2022 12:11,IP Address,100,91,TRUE,7/7/2022 12:11,R_DHR1mvNsrvBxBnP,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Disagree,Once a year,,arm3_tips,SteveBB5,SteveBB5
7/7/2022 10:02,7/7/2022 10:07,IP Address,10,256,FALSE,7/8/2022 10:07,R_2YVdBVoki1nOz5J,,,,,anonymous,EN,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SteveBB,notSet,,SteveBB
7/7/2022 10:07,7/7/2022 10:08,Spam,10,89,FALSE,7/8/2022 10:08,R_1eQSQPvpvWAYwS9,,,,,anonymous,EN,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SteveBB2,notSet,,SteveBB2
7/8/2022 11:03,7/8/2022 11:03,IP Address,100,5,TRUE,7/8/2022 11:03,R_3311Yn0kjph61JM,,,,,anonymous,EN,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notSet,,
7/8/2022 11:10,7/8/2022 11:12,IP Address,100,159,TRUE,7/8/2022 11:12,R_1iaDjWkgxaIRQH6,,,,,anonymous,EN,Yes,,,Safari iPhone,15.4,iPhone,375x667,None at all,Frustrated,Most of the time,Government should do more to solve problems.,Disagree,Disagree,Slightly Disagree,Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Disagree,Once a year,B{RandomId},arm4_interactive,,B{RandomId}
7/7/2022 12:07,7/7/2022 12:09,IP Address,10,159,FALSE,7/8/2022 12:09,R_6sPXGakjaHK2Kqd,,,,,anonymous,EN,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notSet,SteveBB4,
7/8/2022 10:54,7/8/2022 10:54,IP Address,45,29,FALSE,7/9/2022 10:54,R_AAI2HVj7GsKeSE9,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,None at all,,Only some of the time,,,,,,,,,,,,,,,,,,,,,,notSet,A,A
7/8/2022 11:03,7/8/2022 11:03,IP Address,18,8,FALSE,7/9/2022 11:03,R_2YWAQgZax5R0TLX,,,,,anonymous,EN,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notSet,,
7/8/2022 11:04,7/8/2022 11:05,Spam,18,37,FALSE,7/9/2022 11:05,R_237cl7E5diZMvtM,,,,,anonymous,EN,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notSet,,
7/8/2022 11:08,7/8/2022 11:09,IP Address,50,49,FALSE,7/9/2022 11:09,R_31utSCgQIrOYIvK,,,,,anonymous,EN,Yes,,,Safari iPhone,15.4,iPhone,375x667,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Disagree,Disagree,,,,,,,,,,,,B{RandomId},notSet,,B{RandomId}
7/9/2022 13:14,7/9/2022 13:15,IP Address,100,76,TRUE,7/9/2022 13:15,R_3fIWSsVvDHAr4vI,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Disagree,Disagree,Slightly Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Slightly Disagree,Disagree,Slightly Disagree,Disagree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Once a year,,arm1_control,StevePID6,StevePID6
7/9/2022 13:50,7/9/2022 13:53,IP Address,100,125,TRUE,7/9/2022 13:53,R_YY0xBiIqx8TNY5P,,,,,anonymous,EN,,Yes,,Safari,15.5,Macintosh,1512x982,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Once a week,,arm4_interactive,6100a9b7f9d6f5b1a8ea4a52,6100a9b7f9d6f5b1a8ea4a52
7/9/2022 13:51,7/9/2022 13:53,IP Address,100,94,TRUE,7/9/2022 13:53,R_26i2D66UaACdyrJ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1280x1024,None at all,Angry,Never,Government should do more to solve problems.,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Once a week,,arm1_control,5d26b1a4c22768000166c809,5d26b1a4c22768000166c809
7/9/2022 13:56,7/9/2022 14:03,IP Address,100,387,TRUE,7/9/2022 14:03,R_plT02LITEXGhIYh,,,,,anonymous,EN,,Yes,,Chrome,102.0.0.0,Windows NT 10.0,1536x864,Very little,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Agree,Agree,Agree,Slightly Agree,Agree,Agree,Agree,Slightly Agree,Agree,Slightly Agree,Once a week,,arm2_generalinfo,5c703b703a67ad00016eb12d,5c703b703a67ad00016eb12d
7/9/2022 14:04,7/9/2022 14:06,IP Address,100,122,TRUE,7/9/2022 14:06,R_3eb5CmAgbyxl976,,,,,anonymous,EN,,Yes,,Chrome,96.0.4664.93,Macintosh,1440x900,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a month,,arm3_tips,610851ae0b6b2e2414c9494f,610851ae0b6b2e2414c9494f
7/9/2022 14:04,7/9/2022 14:08,IP Address,100,243,TRUE,7/9/2022 14:08,R_1rl9ZA5dLKH0olC,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Slightly Disagree,A few times a week / Daily,,arm2_generalinfo,629d16db307da2e64ea7b1e7,629d16db307da2e64ea7b1e7
7/9/2022 14:04,7/9/2022 14:09,IP Address,100,313,TRUE,7/9/2022 14:09,R_77zMuSKZw8seDFD,,,,,anonymous,EN,,Yes,,Safari,15.5,Macintosh,1440x900,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,A few times a year,,arm4_interactive,5f7886666ffac4081e8afa08,5f7886666ffac4081e8afa08
