StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID
7/19/2022 20:01,7/19/2022 20:03,IP Address,100,75,TRUE,7/19/2022 20:03,R_3q8ziZjBWxBvGps,,,,,anonymous,EN,,Yes,dfff,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,,,,Disagree,Slightly Agree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Disagree,A few times a year,,arm4_interactive,,dfff
7/19/2022 20:56,7/19/2022 20:57,IP Address,100,28,TRUE,7/19/2022 20:57,R_1DMtP5BNfIRdOPe,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,,Never,,,,,Slightly Disagree,,,,Strongly Disagree,,,,,,,,,,,A few times a year,,arm1_control,stevr,stevr
7/19/2022 21:04,7/19/2022 21:09,IP Address,100,263,TRUE,7/19/2022 21:09,R_zdOpPwj762AqFYB,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Agree,Strongly Agree,Disagree,Slightly Agree,Agree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Strongly Disagree,Once a month,,arm4_interactive,61081e56eef3ebeb3f9e684c,61081e56eef3ebeb3f9e684c
7/19/2022 21:05,7/19/2022 21:09,IP Address,100,248,TRUE,7/19/2022 21:09,R_tGVejYuUzNVUOlP,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 9,1280x800,Very little,Frustrated,Never,Government is doing too many things better left to businesses and individuals.,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,A few times a year,,arm1_control,5dbf75c626c04c401a4fbf25,5dbf75c626c04c401a4fbf25
7/19/2022 21:19,7/19/2022 21:23,IP Address,100,229,TRUE,7/19/2022 21:23,R_1Cx3UO0yDPn3GFD,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,2560x1440,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,A few times a year,,arm4_interactive,62d75d5fa23434697e1c6957,62d75d5fa23434697e1c6957
7/19/2022 21:21,7/19/2022 21:24,IP Address,100,203,TRUE,7/19/2022 21:24,R_QlFpLFnBzVDD0xH,,,,,anonymous,EN,,Yes,,Chrome,102.0.0.0,CrOS x86_64 14695.107.0,1366x768,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Disagree,A few times a year,,arm1_control,5e2a1555291a2b000bb47387,5e2a1555291a2b000bb47387
7/19/2022 21:22,7/19/2022 21:26,IP Address,100,225,TRUE,7/19/2022 21:26,R_1I64F9W7WoRqlbw,,,,,anonymous,EN,,Yes,,Safari iPhone,14.1.2,iPhone,375x667,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm4_interactive,60fc8f87e8ad692447b04247,60fc8f87e8ad692447b04247
7/19/2022 21:21,7/19/2022 21:26,IP Address,100,272,TRUE,7/19/2022 21:26,R_33s7w6xsFl7RxUX,,,,,anonymous,EN,,Yes,,Safari iPad,14.0.3,iPad,768x1024,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,,arm1_control,6049ce85639e9d9230d2b09b,6049ce85639e9d9230d2b09b
7/19/2022 21:23,7/19/2022 21:27,IP Address,100,209,TRUE,7/19/2022 21:27,R_1IF2UjJC9YcnV4b,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Once a week,,arm1_control,62d59ab6f7d966eece474824,62d59ab6f7d966eece474824
7/19/2022 21:27,7/19/2022 21:29,IP Address,100,117,TRUE,7/19/2022 21:29,R_2fqCH3uKjpjCxAl,,,,,anonymous,EN,,Yes,,Chrome,102.0.5005.61,Macintosh,1440x900,Very little,Angry,Never,Government should do more to solve problems.,Slightly Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Agree,Agree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Once a week,,arm4_interactive,610c3066bbb42412a69d8597,610c3066bbb42412a69d8597
