,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,Duration (in seconds)_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,Duration (in seconds)_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave
0,2022-07-19 20:01:00,7/19/2022 20:03,IP Address,100,75,True,7/19/2022 20:03,R_3q8ziZjBWxBvGps,,,,,anonymous,EN,,Yes,dfff,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,,,,Disagree,Slightly Agree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Disagree,A few times a year,,arm4_interactive,,dfff,0,0,Real,,,Scam,,,Real,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,1,True
1,2022-07-19 20:56:00,7/19/2022 20:57,IP Address,100,28,True,7/19/2022 20:57,R_1DMtP5BNfIRdOPe,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,,Never,,,,,Slightly Disagree,,,,Strongly Disagree,,,,,,,,,,,A few times a year,,arm1_control,stevr,stevr,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/19/2022 20:57,7/19/2022 20:57,IP Address,100.0,18.0,True,7/19/2022 20:57,R_2Wxy6c2VEvXBo0e,,,,,anonymous,EN,,,African American or African (Non-Hispanic),,,,True,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,False,1,True
2,2022-07-19 21:04:00,7/19/2022 21:09,IP Address,100,263,True,7/19/2022 21:09,R_zdOpPwj762AqFYB,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Agree,Strongly Agree,Disagree,Slightly Agree,Agree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Strongly Disagree,Once a month,,arm4_interactive,61081e56eef3ebeb3f9e684c,61081e56eef3ebeb3f9e684c,4,0,Real,,,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,7/19/2022 21:13,7/19/2022 21:13,IP Address,100.0,50.0,True,7/19/2022 21:13,R_U9j4Gvll2RAQykx,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Bachelor degree,22.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,Details,Real,,,True,True,7/19/2022 21:15,7/19/2022 21:16,IP Address,100.0,69.0,True,7/19/2022 21:16,R_3Puehus3xzHLgqw,,,,,anonymous,EN,"Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True
3,2022-07-19 21:05:00,7/19/2022 21:09,IP Address,100,248,True,7/19/2022 21:09,R_tGVejYuUzNVUOlP,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 9,1280x800,Very little,Frustrated,Never,Government is doing too many things better left to businesses and individuals.,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,A few times a year,,arm1_control,5dbf75c626c04c401a4fbf25,5dbf75c626c04c401a4fbf25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/19/2022 21:09,7/19/2022 21:10,IP Address,100.0,45.0,True,7/19/2022 21:10,R_31mSOS3iFp99PhH,,,,,anonymous,EN,"Not employed, NOT looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,53.0,Female,True,Real,,,Real,,,Scam,,,Scam,,,Real,,,Scam,,,Scam,,,Real,,,True,True,7/19/2022 21:12,7/19/2022 21:13,IP Address,100.0,91.0,True,7/19/2022 21:13,R_2SAbjxph6ZJ29g7,,,,,anonymous,EN,Other,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True
4,2022-07-19 21:19:00,7/19/2022 21:23,IP Address,100,229,True,7/19/2022 21:23,R_1Cx3UO0yDPn3GFD,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,2560x1440,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,A few times a year,,arm4_interactive,62d75d5fa23434697e1c6957,62d75d5fa23434697e1c6957,4,0,Real,Click,,Real,,,Scam,,Details,Real,,,Scam,,,Real,,,Real,,Details,Scam,,Details,True,True,7/19/2022 21:28,7/19/2022 21:28,IP Address,100.0,32.0,True,7/19/2022 21:28,R_26fBEjoYRCBxz74,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Some college but no degree,21.0,Male,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,Details,Real,,,True,True,7/19/2022 21:30,7/19/2022 21:31,IP Address,100.0,58.0,True,7/19/2022 21:31,R_T7NItUXhrQAHrih,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone selling fraudulent goods or services",No,,Not Sure,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True
5,2022-07-19 21:21:00,7/19/2022 21:24,IP Address,100,203,True,7/19/2022 21:24,R_QlFpLFnBzVDD0xH,,,,,anonymous,EN,,Yes,,Chrome,102.0.0.0,CrOS x86_64 14695.107.0,1366x768,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Disagree,A few times a year,,arm1_control,5e2a1555291a2b000bb47387,5e2a1555291a2b000bb47387,3,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/19/2022 21:24,7/19/2022 21:25,IP Address,100.0,62.0,True,7/19/2022 21:25,R_TvIsseTuUL4A3G9,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$60,000 - $79,999",Hispanic,"High school degree or equivalent (e.g., GED)",21.0,Female,True,Real,Click,Details,Scam,,,Real,,,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,True,True,7/19/2022 21:28,7/19/2022 21:29,IP Address,100.0,56.0,True,7/19/2022 21:29,R_cAPHOEG0vTnEn8B,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't)",No,,No,No,Often,Some of the time,Often,"Yes, use the responses.",True,1,True
6,2022-07-19 21:22:00,7/19/2022 21:26,IP Address,100,225,True,7/19/2022 21:26,R_1I64F9W7WoRqlbw,,,,,anonymous,EN,,Yes,,Safari iPhone,14.1.2,iPhone,375x667,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm4_interactive,60fc8f87e8ad692447b04247,60fc8f87e8ad692447b04247,3,1,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Real,,Details,True,True,7/19/2022 21:32,7/19/2022 21:33,IP Address,100.0,41.0,True,7/19/2022 21:33,R_3Rm7BZYQjvDZOAy,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$20,000 - $39,999","White or Caucasian (Non-Hispanic),African American or African (Non-Hispanic)",Bachelor degree,24.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,Click,,Real,,Details,Real,,,,,,True,False,7/19/2022 21:37,7/19/2022 21:38,IP Address,100.0,62.0,True,7/19/2022 21:38,R_2rN1HH4sdLcUU43,,,,,anonymous,EN,,,,,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True
7,2022-07-19 21:21:00,7/19/2022 21:26,IP Address,100,272,True,7/19/2022 21:26,R_33s7w6xsFl7RxUX,,,,,anonymous,EN,,Yes,,Safari iPad,14.0.3,iPad,768x1024,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,,arm1_control,6049ce85639e9d9230d2b09b,6049ce85639e9d9230d2b09b,0,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/19/2022 21:26,7/19/2022 21:27,IP Address,100.0,84.0,True,7/19/2022 21:27,R_1laAst2ctLbozgk,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999","White or Caucasian (Non-Hispanic),Asian American or Asian",Bachelor degree,23.0,Female,True,Real,,,Real,Click,,Scam,,,Real,,,Real,,,Real,,,Real,,,Real,,,True,True,7/19/2022 21:30,7/19/2022 21:32,IP Address,100.0,89.0,True,7/19/2022 21:32,R_12fLwncG6oofprN,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,No,Some of the time,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True
8,2022-07-19 21:23:00,7/19/2022 21:27,IP Address,100,209,True,7/19/2022 21:27,R_1IF2UjJC9YcnV4b,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Once a week,,arm1_control,62d59ab6f7d966eece474824,62d59ab6f7d966eece474824,3,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/19/2022 21:27,7/19/2022 21:27,IP Address,100.0,45.0,True,7/19/2022 21:27,R_O1KWXyMAyDpuzQt,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$100,000 - $149,999",Asian American or Asian,"High school degree or equivalent (e.g., GED)",19.0,Female,True,Real,Click,Details,Real,,,Scam,,,Real,,Details,Real,,,Real,,,Real,,Details,Real,,,True,True,7/19/2022 21:30,7/19/2022 21:31,IP Address,100.0,46.0,True,7/19/2022 21:31,R_WxJHVm5sEbRYn0l,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Some of the time,Often,Often,"Yes, use the responses.",True,1,True
9,2022-07-19 21:27:00,7/19/2022 21:29,IP Address,100,117,True,7/19/2022 21:29,R_2fqCH3uKjpjCxAl,,,,,anonymous,EN,,Yes,,Chrome,102.0.5005.61,Macintosh,1440x900,Very little,Angry,Never,Government should do more to solve problems.,Slightly Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Agree,Agree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Once a week,,arm4_interactive,610c3066bbb42412a69d8597,610c3066bbb42412a69d8597,2,0,Real,,,Real,,,Real,,,Real,,,Scam,,,Real,,,Scam,,Details,Real,,,True,True,7/19/2022 21:31,7/19/2022 21:31,IP Address,100.0,27.0,True,7/19/2022 21:31,R_2ASd2MP6DEIkNoq,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Hispanic,Bachelor degree,22.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,,Real,,,Real,,,True,True,7/19/2022 21:32,7/19/2022 21:33,IP Address,100.0,69.0,True,7/19/2022 21:33,R_pQ2hQTSWyQFvG13,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Often,Some of the time,Some of the time,"Yes, use the responses.",True,1,True
10,2022-07-19 21:27:00,7/19/2022 21:30,IP Address,100,168,True,7/19/2022 21:30,R_SOxAbN5Lt28rJvz,,,,,anonymous,EN,,Yes,,Chrome,100.0.4896.58,Android 9,360x720,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,A few times a year,,arm1_control,5ded1ccecaeb603e2d2dfc70,5ded1ccecaeb603e2d2dfc70,3,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/19/2022 21:30,7/19/2022 21:31,IP Address,100.0,60.0,True,7/19/2022 21:31,R_2rGxmvMmsTtukhf,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,27.0,Female,True,Real,,Details,Real,Click,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,,Real,,,True,True,7/19/2022 21:34,7/19/2022 21:35,IP Address,100.0,60.0,True,7/19/2022 21:35,R_3D7tpcCqk1pB4dN,,,,,anonymous,EN,,,,,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True
11,2022-07-19 21:25:00,7/19/2022 21:31,IP Address,100,355,True,7/19/2022 21:31,R_9nUsWDU2so3QpeF,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Very little,Frustrated,Never,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Agree,Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Disagree,Once a month,,arm4_interactive,612a90d96190d24a55b520cf,612a90d96190d24a55b520cf,3,0,Real,,,Real,,,Scam,,Details,Real,Click,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,7/19/2022 21:35,7/19/2022 21:36,IP Address,100.0,38.0,True,7/19/2022 21:36,R_9QrKRUHoZOljarn,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999",African American or African (Non-Hispanic),Bachelor degree,23.0,Female,True,Real,,Details,Real,,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,,Real,,,True,True,7/19/2022 21:42,7/19/2022 21:44,IP Address,100.0,145.0,True,7/19/2022 21:44,R_2e4pCUpP7VeowFy,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True
12,2022-07-19 21:28:00,7/19/2022 21:31,IP Address,100,221,True,7/19/2022 21:31,R_tYZt0d5ocaIgotr,,,,,anonymous,EN,,Yes,,Chrome,87.0.4280.141,Macintosh,1280x800,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Disagree,Disagree,Strongly Agree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Once a month,,arm4_interactive,60fce5f439f44a75b13cb2cf,60fce5f439f44a75b13cb2cf,0,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,True,True,7/19/2022 21:35,7/19/2022 21:35,IP Address,100.0,28.0,True,7/19/2022 21:35,R_1BPK9MIYJiDTViX,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,31.0,Female,True,Real,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Real,,,Real,,,True,True,7/19/2022 21:37,7/19/2022 21:38,IP Address,100.0,60.0,True,7/19/2022 21:38,R_2Cw91ZzCZPCbjBy,,,,,anonymous,EN,Someone claiming to be from the IRS (but wasn't),No,,No,Yes,Some of the time,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True
13,2022-07-19 21:28:00,7/19/2022 21:32,IP Address,100,205,True,7/19/2022 21:32,R_ZylpPQ6HIxTtutr,,,,,anonymous,EN,,Yes,,Safari,15.5,Macintosh,820x1180,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a week / Daily,,arm1_control,62cf91b8ec3a04e1c638d13c,62cf91b8ec3a04e1c638d13c,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/19/2022 21:32,7/19/2022 21:32,IP Address,100.0,39.0,True,7/19/2022 21:32,R_1OrSlPZMQy6ax8x,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,43.0,Male,True,Real,,Details,Real,,,Real,,,Real,,Details,Real,,,Real,,Details,Real,,,,,,True,False,7/19/2022 21:34,7/19/2022 21:36,IP Address,100.0,68.0,True,7/19/2022 21:36,R_1DNL1rxmNLM8kKY,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services,Other",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True
14,2022-07-19 21:29:00,7/19/2022 21:34,IP Address,100,251,True,7/19/2022 21:34,R_1SQEodh3ugtLGLv,,,,,anonymous,EN,,Yes,,Firefox,101,Macintosh,2560x1440,Some,Angry,Never,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Disagree,Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Once a month,,arm4_interactive,5bf625a63b6cdc00010fb7c6,5bf625a63b6cdc00010fb7c6,3,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,Click,,Scam,,,Real,,Details,Scam,,Details,True,True,7/19/2022 21:42,7/19/2022 21:42,IP Address,100.0,40.0,True,7/19/2022 21:42,R_3szdl00HVONAVjA,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$150,000 or more",Asian American or Asian,Bachelor degree,27.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,,,,True,False,7/19/2022 21:46,7/19/2022 21:47,IP Address,100.0,81.0,True,7/19/2022 21:47,R_2AGMjoz5vVegIHS,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True
