StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Employment,TotalIncome,Race,Education,Age_1,Gender,PID
7/24/2022 19:15,7/24/2022 19:16,IP Address,100,21,TRUE,7/24/2022 19:16,R_pgxEF1OJ1MBM081,,,,,anonymous,EN,Retired,"$40,000 - $59,999",Hispanic,"High school degree or equivalent (e.g., GED)",,Male,SWJuly24
7/24/2022 19:26,7/24/2022 19:26,IP Address,100,23,TRUE,7/24/2022 19:26,R_1DXNPIaBR0Cmk8N,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),,38,Male,5b1a18c768a5ed000173663f
7/24/2022 19:33,7/24/2022 19:37,IP Address,100,233,TRUE,7/24/2022 19:37,R_2XmSjlSG7WiRFCx,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,33,Female,610773529b6ed4abe44cd28d
7/24/2022 19:37,7/24/2022 19:38,IP Address,100,28,TRUE,7/24/2022 19:38,R_1r6p43odlNYt1FI,,,,,anonymous,EN,"Not employed, NOT looking for work","$150,000 or more",White or Caucasian (Non-Hispanic),Some college but no degree,20,Female,60fce156003127285462a3bb
7/24/2022 19:39,7/24/2022 19:40,IP Address,100,38,TRUE,7/24/2022 19:40,R_2tziLzoe2cZCcof,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,27,Male,62b7a7e776f241c59cf27ac9
7/24/2022 19:43,7/24/2022 19:43,IP Address,100,32,TRUE,7/24/2022 19:43,R_1pKDOfmeOAxPJ8M,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",African American or African (Non-Hispanic),"High school degree or equivalent (e.g., GED)",20,Female,5f8614b5dae6f31327b20577
7/24/2022 19:43,7/24/2022 19:44,IP Address,100,41,TRUE,7/24/2022 19:44,R_2CTJGAH4Db0RfKI,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,60,Female,5fd261e9a99c8e03e7258d03
7/24/2022 19:45,7/24/2022 19:46,IP Address,100,62,TRUE,7/24/2022 19:46,R_1gGWdo9EHhq4uG4,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,41,Male,5d2fc2574fc1dd0017fe490a
7/24/2022 19:46,7/24/2022 19:47,IP Address,100,47,TRUE,7/24/2022 19:47,R_3fHp0N56vHQTY4h,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,27,Female,5e3ce0518134d00d50da79c6
7/24/2022 19:47,7/24/2022 19:48,IP Address,100,52,TRUE,7/24/2022 19:48,R_3dWU6U2BBBHPTnO,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,27,Female,61114ab144bfe39a305e049f
7/24/2022 19:49,7/24/2022 19:50,IP Address,100,42,TRUE,7/24/2022 19:50,R_2TRb2feu2XqL6xn,,,,,anonymous,EN,"Not employed, NOT looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,22,Female,5ac032d40527ba0001c1ec3c
7/24/2022 19:48,7/24/2022 19:50,IP Address,100,135,TRUE,7/24/2022 19:50,R_R84UIeoGrcoLND3,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,29,Female,6109d84a9f635b4d71b64c1e
7/24/2022 19:49,7/24/2022 19:50,IP Address,100,64,TRUE,7/24/2022 19:50,R_21AsqJIW2IGwwZI,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999","Native American, Native Hawaiian or Pacific Islander",Bachelor degree,23,Male,62ddda5556d80cb75d1f9bee
7/24/2022 19:50,7/24/2022 19:51,IP Address,100,85,TRUE,7/24/2022 19:51,R_6FfmJDkXuYq3XmV,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,21,Female,61085557fe66994e665e6c8e
7/24/2022 19:50,7/24/2022 19:51,IP Address,100,59,TRUE,7/24/2022 19:51,R_3frQXXszkRpy8CJ,,,,,anonymous,EN,"Not employed, NOT looking for work","$100,000 - $149,999",I prefer not to say,Bachelor degree,48,Female,62d78ec8555d2bb8098f157e
