StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID
7/24/2022 19:24,7/24/2022 19:26,IP Address,100,102,TRUE,7/24/2022 19:26,R_3FQYMQ0JBeEd4WV,,,,,anonymous,EN,,Yes,,Firefox,102,Windows NT 10.0,1280x720,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Agree,Disagree,Slightly Disagree,Disagree,Strongly Disagree,Slightly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Once a month,,arm1_control,5b1a18c768a5ed000173663f,5b1a18c768a5ed000173663f
7/24/2022 19:29,7/24/2022 19:33,IP Address,100,211,TRUE,7/24/2022 19:33,R_3CAHpmafMMYFgOJ,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,375x667,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a week / Daily,,arm1_control,610773529b6ed4abe44cd28d,610773529b6ed4abe44cd28d
7/24/2022 19:32,7/24/2022 19:35,IP Address,100,207,TRUE,7/24/2022 19:35,R_33a3evJIGyQKRr7,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,2560x1440,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Once a month,,arm4_interactive,62b7a7e776f241c59cf27ac9,62b7a7e776f241c59cf27ac9
7/24/2022 19:36,7/24/2022 19:37,IP Address,100,101,TRUE,7/24/2022 19:37,R_1LtXCcGZYD3FisU,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,414x896,Some,Frustrated,Most of the time,Government should do more to solve problems.,Agree,Slightly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Once a month,,arm1_control,60fce156003127285462a3bb,60fce156003127285462a3bb
7/24/2022 19:35,7/24/2022 19:39,IP Address,100,211,TRUE,7/24/2022 19:39,R_Zes9RIzOpeCxqSJ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1280x720,Some,Angry,Only some of the time,Government should do more to solve problems.,Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Slightly Disagree,Slightly Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Once a week,,arm4_interactive,5fd261e9a99c8e03e7258d03,5fd261e9a99c8e03e7258d03
7/24/2022 19:37,7/24/2022 19:43,IP Address,100,317,TRUE,7/24/2022 19:43,R_PUMJxb76GXJGFGh,,,,,anonymous,EN,,Yes,,Safari,15.5,Macintosh,768x1024,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,A few times a year,,arm1_control,5f8614b5dae6f31327b20577,5f8614b5dae6f31327b20577
7/24/2022 19:39,7/24/2022 19:43,IP Address,100,210,TRUE,7/24/2022 19:43,R_1JCIWhlIT4Mt7KM,,,,,anonymous,EN,,Yes,,Firefox,102,Windows NT 10.0,1536x864,Very little,Angry,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,A few times a year,,arm4_interactive,5e3ce0518134d00d50da79c6,5e3ce0518134d00d50da79c6
7/24/2022 19:41,7/24/2022 19:45,IP Address,100,200,TRUE,7/24/2022 19:45,R_6JTRHUUcxXw07iF,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Quite a lot,Frustrated,Never,Government is doing too many things better left to businesses and individuals.,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Once a week,,arm1_control,5d2fc2574fc1dd0017fe490a,5d2fc2574fc1dd0017fe490a
7/24/2022 19:44,7/24/2022 19:47,IP Address,100,179,TRUE,7/24/2022 19:47,R_2EiAASfMMwQpUUq,,,,,anonymous,EN,,Yes,,Chrome iPad,103.0.5060.63,iPad,810x1080,None at all,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Disagree,Slightly Disagree,Slightly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,arm1_control,61114ab144bfe39a305e049f,61114ab144bfe39a305e049f
7/24/2022 19:43,7/24/2022 19:47,IP Address,100,197,TRUE,7/24/2022 19:47,R_2Ym5AcCa5Y0dzxw,,,,,anonymous,EN,,Yes,,Firefox,102,Windows NT 10.0,1366x768,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Slightly Disagree,Disagree,A few times a year,,arm4_interactive,5ac032d40527ba0001c1ec3c,5ac032d40527ba0001c1ec3c
7/24/2022 19:42,7/24/2022 19:47,IP Address,100,289,TRUE,7/24/2022 19:47,R_2YqVkZyo0rI4wZo,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Disagree,Once a month,,arm4_interactive,62d78ec8555d2bb8098f157e,62d78ec8555d2bb8098f157e
7/24/2022 19:46,7/24/2022 19:48,IP Address,100,126,TRUE,7/24/2022 19:48,R_2zvI5ufFQ3nzG7v,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,414x896,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Once a week,,arm1_control,6109d84a9f635b4d71b64c1e,6109d84a9f635b4d71b64c1e
