,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,previousFraudYN,lose_moneyYN,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB,incomeAmount,race5,employment3,educYears,ageYears,genderI,ageYearsSq,lIncomeAmount,GovtConfScore,TrustInSSAScore,TrustInInternetScore,OnlineShoppingScore,LonelyScore,numCorrect,numFakeLabeledReal,numRealLabeledFake,numRealLabeledReal,numFakeLabeledFake,numEmailsCorrect,numWebsitesCorrect,numLettersCorrect,numSMSesCorrect,numCorrect_Govt,numCorrect_Biz,numEmailsCorrect_Govt,numEmailsCorrect_Biz,numWebsitesCorrect_Govt,numWebsitesCorrect_Biz,numLabeledReal,numLabeledFake,numNoAnswer,Correct_WalmartProduct,Correct_RedCross,Correct_SSA_HP,Correct_mySSA,Correct_AmazonDeliveryDelay,Correct_FB_SSA,Correct_ssa_optout,Correct_replacementCard,Correct_benefitsSuspension,Correct_medicareReview,percentCorrect
2,2022-07-24 19:32:00,7/24/2022 19:35,IP Address,100,207,True,7/24/2022 19:35,R_33a3evJIGyQKRr7,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,2560x1440,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Once a month,,arm4_interactive,62b7a7e776f241c59cf27ac9,62b7a7e776f241c59cf27ac9,4,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Real,,Details,True,True,7/24/2022 19:39,7/24/2022 19:40,IP Address,100,38,True,7/24/2022 19:40,R_2tziLzoe2cZCcof,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,27.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,Details,Scam,,,Real,,,True,True,7/24/2022 19:43,7/24/2022 19:44,IP Address,100.0,70.0,True,7/24/2022 19:44,R_3KT0V65Y7XVSiz8,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,1,2.0,0.0,Keep,False,False,24,False,10,W,U,16,27.0,0.0,729.0,2.302585092994046,9,4.6,3.125,4,2.0,9,1,0,5,4,4,3,2,0,6,3,2,2,2,1,6,4,0,True,True,True,True,True,False,True,True,True,True,90.0
4,2022-07-24 19:35:00,7/24/2022 19:39,IP Address,100,211,True,7/24/2022 19:39,R_Zes9RIzOpeCxqSJ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1280x720,Some,Angry,Only some of the time,Government should do more to solve problems.,Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Slightly Disagree,Slightly Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Once a week,,arm4_interactive,5fd261e9a99c8e03e7258d03,5fd261e9a99c8e03e7258d03,3,0,Real,,,Real,,,Scam,,,Real,,,Real,Click,,Real,,,Real,,Details,Real,Click,Details,True,True,7/24/2022 19:43,7/24/2022 19:44,IP Address,100,41,True,7/24/2022 19:44,R_2CTJGAH4Db0RfKI,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,60.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Scam,,,True,True,7/24/2022 19:48,7/24/2022 19:49,IP Address,100.0,51.0,True,7/24/2022 19:49,R_diZ2OnIl5FeD2hj,,,,,anonymous,EN,,,,,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,False,False,2,1,1.0,0.0,Keep,False,False,24,False,60,W,E,18,60.0,1.0,3600.0,4.0943445622221,8,2.6,4.375,5,1.0,9,0,1,4,5,4,4,1,0,5,4,2,2,2,2,4,6,0,True,True,True,True,True,True,True,True,True,False,90.0
5,2022-07-24 19:37:00,7/24/2022 19:43,IP Address,100,317,True,7/24/2022 19:43,R_PUMJxb76GXJGFGh,,,,,anonymous,EN,,Yes,,Safari,15.5,Macintosh,768x1024,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,A few times a year,,arm1_control,5f8614b5dae6f31327b20577,5f8614b5dae6f31327b20577,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 19:43,7/24/2022 19:43,IP Address,100,32,True,7/24/2022 19:43,R_1pKDOfmeOAxPJ8M,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",African American or African (Non-Hispanic),"High school degree or equivalent (e.g., GED)",20.0,Female,True,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Real,,,True,True,7/24/2022 19:45,7/24/2022 19:46,IP Address,100.0,40.0,True,7/24/2022 19:46,R_2BhA60HgTACCqxz,,,,,anonymous,EN,Other,No,,No,No,Often,Often,Often,"Yes, use the responses.",True,1,True,True,False,3,0,0.0,0.0,Keep,False,False,24,False,60,B,E,12,20.0,1.0,400.0,4.0943445622221,8,5.0,3.375,A few times a year,3.0,9,0,1,4,5,3,4,2,0,5,4,1,2,2,2,4,6,0,True,True,True,True,True,True,True,False,True,True,90.0
7,2022-07-24 19:41:00,7/24/2022 19:45,IP Address,100,200,True,7/24/2022 19:45,R_6JTRHUUcxXw07iF,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Quite a lot,Frustrated,Never,Government is doing too many things better left to businesses and individuals.,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Once a week,,arm1_control,5d2fc2574fc1dd0017fe490a,5d2fc2574fc1dd0017fe490a,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 19:45,7/24/2022 19:46,IP Address,100,62,True,7/24/2022 19:46,R_1gGWdo9EHhq4uG4,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,41.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Real,,,True,True,7/24/2022 19:49,7/24/2022 19:50,IP Address,100.0,71.0,True,7/24/2022 19:50,R_2yax96IISgDKA3e,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,1,3,2.0,0.0,Keep,False,False,24,False,60,W,E,18,41.0,0.0,1681.0,4.0943445622221,8,1.5,4.25,5,1.0,10,0,0,5,5,4,4,2,0,6,4,2,2,2,2,5,5,0,True,True,True,True,True,True,True,True,True,True,100.0
10,2022-07-24 19:42:00,7/24/2022 19:47,IP Address,100,289,True,7/24/2022 19:47,R_2YqVkZyo0rI4wZo,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Disagree,Once a month,,arm4_interactive,62d78ec8555d2bb8098f157e,62d78ec8555d2bb8098f157e,3,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,7/24/2022 19:50,7/24/2022 19:51,IP Address,100,59,True,7/24/2022 19:51,R_3frQXXszkRpy8CJ,,,,,anonymous,EN,"Not employed, NOT looking for work","$100,000 - $149,999",I prefer not to say,Bachelor degree,48.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Real,,,True,True,7/24/2022 19:56,7/24/2022 19:57,IP Address,100.0,83.0,True,7/24/2022 19:57,R_3J4c80W3gCItAYV,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,3,3,3.0,0.0,Keep,False,False,24,False,125,O,U,16,48.0,1.0,2304.0,4.8283137373023015,9,3.9,3.75,4,2.0,10,0,0,5,5,4,4,2,0,6,4,2,2,2,2,5,5,0,True,True,True,True,True,True,True,True,True,True,100.0
18,2022-07-24 19:46:00,7/24/2022 19:53,IP Address,100,460,True,7/24/2022 19:53,R_4NIkSEOTWZvUo2l,,,,,anonymous,EN,,Yes,,Chrome,103.0.5060.134,Windows NT 10.0,2560x1440,Some,Angry,Only some of the time,Government should do more to solve problems.,Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,A few times a year,,arm4_interactive,5bdce26390edd30001c861a7,5bdce26390edd30001c861a7,3,0,Real,Click,Details,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,7/24/2022 19:59,7/24/2022 20:00,IP Address,100,55,True,7/24/2022 20:00,R_3gXSC01EQxmYGo0,,,,,anonymous,EN,"Not employed, NOT looking for work","$80,000 - $99,999",Hispanic,"High school degree or equivalent (e.g., GED)",23.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Real,,,True,True,7/24/2022 20:04,7/24/2022 20:06,IP Address,100.0,102.0,True,7/24/2022 20:06,R_ROBMnoDalwUmMUx,,,,,anonymous,EN,,,,,No,Some of the time,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True,False,False,4,3,4.0,0.0,Keep,False,False,24,False,90,H,U,12,23.0,0.0,529.0,4.499809670330265,8,4.5,2.125,A few times a year,1.6666666666666667,10,0,0,5,5,4,4,2,0,6,4,2,2,2,2,5,5,0,True,True,True,True,True,True,True,True,True,True,100.0
13,2022-07-24 19:46:00,7/24/2022 19:49,IP Address,100,188,True,7/24/2022 19:49,R_Zghika9zKHqMwOB,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,CrOS x86_64 14816.131.0,1187x667,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Disagree,Once a week,,arm1_control,62ddda5556d80cb75d1f9bee,62ddda5556d80cb75d1f9bee,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 19:49,7/24/2022 19:50,IP Address,100,64,True,7/24/2022 19:50,R_21AsqJIW2IGwwZI,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999","Native American, Native Hawaiian or Pacific Islander",Bachelor degree,23.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,,Scam,,,Real,,,True,True,7/24/2022 19:54,7/24/2022 19:55,IP Address,100.0,76.0,True,7/24/2022 19:55,R_12QeLBhHlBlvVtr,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't)",No,,No,Yes,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True,True,False,1,3,2.0,0.0,Keep,False,False,24,False,60,O,E,16,23.0,0.0,529.0,4.0943445622221,9,5.0,3.375,5,1.3333333333333333,8,2,0,5,3,3,3,2,0,5,3,1,2,2,1,7,3,0,True,True,True,True,True,False,False,True,True,True,80.0
16,2022-07-24 19:48:00,7/24/2022 19:52,IP Address,100,255,True,7/24/2022 19:52,R_3jU765ewWRCm2Sk,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 12,412x915,Very little,Angry,Only some of the time,Government should do more to solve problems.,Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Disagree,Slightly Agree,Neither Agree nor Disagree,Once a week,,arm4_interactive,558b7506fdf99b21155f2bd7,558b7506fdf99b21155f2bd7,3,0,Real,,Details,Real,,,Scam,,Details,Real,Click,,Real,,,Real,,,Real,,Details,Scam,Click,Details,True,True,7/24/2022 19:57,7/24/2022 19:58,IP Address,100,33,True,7/24/2022 19:58,R_1f2hb8FLEVqMgKC,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,29.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Scam,,,True,True,7/24/2022 20:03,7/24/2022 20:04,IP Address,100.0,60.0,True,7/24/2022 20:04,R_26bZRJVKli9jn3c,,,,,anonymous,EN,"Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,3,0,1.0,0.0,Keep,False,False,24,False,90,W,E,18,29.0,1.0,841.0,4.499809670330265,7,4.1,4.5,5,1.0,9,0,1,4,5,4,4,1,0,5,4,2,2,2,2,4,6,0,True,True,True,True,True,True,True,True,True,False,90.0
17,2022-07-24 19:48:00,7/24/2022 19:53,IP Address,100,285,True,7/24/2022 19:53,R_2xEMk3T08BfmT2a,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,2560x1440,Quite a lot,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Agree,Agree,A few times a week / Daily,,arm1_control,60a13e67f4d344608ad4f178,60a13e67f4d344608ad4f178,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 19:53,7/24/2022 19:54,IP Address,100,77,True,7/24/2022 19:54,R_3GCZU3zzsoWimYC,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",Asian American or Asian,Some college but no degree,32.0,Male,True,Real,,,Real,,Details,Real,,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,,Scam,,,Scam,,,True,True,7/24/2022 19:57,7/24/2022 19:59,IP Address,100.0,95.0,True,7/24/2022 19:59,R_2Yf97ci5PRH1wJi,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,No,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,3,3,3.0,0.0,Keep,False,False,24,False,70,A,E,13,32.0,0.0,1024.0,4.248495242049359,10,5.2,4.0,A few times a week / Daily,1.3333333333333333,6,3,1,4,2,2,3,1,0,4,2,1,1,2,1,7,3,0,True,False,True,True,True,False,False,True,True,False,60.0
30,2022-07-24 19:51:00,7/24/2022 20:01,IP Address,100,544,True,7/24/2022 20:01,R_RaghJCjKeTzj9h7,,,,,anonymous,EN,,Yes,,Chrome,102.0.5005.61,Macintosh,1440x900,Very little,Angry,Never,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Disagree,Once a month,,arm4_interactive,60fd1acae31449364a5c1373,60fd1acae31449364a5c1373,3,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,Click,,Scam,,,Scam,,Details,Scam,,Details,True,True,7/24/2022 20:09,7/24/2022 20:10,IP Address,100,83,True,7/24/2022 20:10,R_325ydkre0oL54Rq,,,,,anonymous,EN,"Not employed, looking for work","$80,000 - $99,999","White or Caucasian (Non-Hispanic),African American or African (Non-Hispanic)",Some college but no degree,22.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,Real,,,True,True,7/24/2022 20:16,7/24/2022 20:18,IP Address,100.0,115.0,True,7/24/2022 20:18,R_2WMQidOPV4sglEq,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone claiming to be from the company where you work (but wasn't)",No,,Yes,No,Some of the time,Often,Often,"Yes, use the responses.",True,1,True,True,False,4,4,4.0,0.0,Keep,False,False,24,False,90,B,U,13,22.0,1.0,484.0,4.499809670330265,6,2.8,3.625,4,2.6666666666666665,9,1,0,5,4,4,3,2,0,6,3,2,2,2,1,6,4,0,True,True,True,True,True,False,True,True,True,True,90.0
