,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,previousFraudYN,lose_moneyYN,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB
0,2022-07-24 19:24:00,7/24/2022 19:26,IP Address,100,102,True,7/24/2022 19:26,R_3FQYMQ0JBeEd4WV,,,,,anonymous,EN,,Yes,,Firefox,102,Windows NT 10.0,1280x720,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Agree,Disagree,Slightly Disagree,Disagree,Strongly Disagree,Slightly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Once a month,,arm1_control,5b1a18c768a5ed000173663f,5b1a18c768a5ed000173663f,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 19:26,7/24/2022 19:26,IP Address,100,23,True,7/24/2022 19:26,R_1DXNPIaBR0Cmk8N,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),,38.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,,,,,Scam,,,True,False,7/24/2022 19:28,7/24/2022 19:29,IP Address,100.0,47.0,True,7/24/2022 19:29,R_1ow0DOQx0MD4Hix,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,Yes,Some of the time,Often,Often,"Yes, use the responses.",True,1,True,True,False,0,0,0.0,0.0,Too Fast,False,,24,False
1,2022-07-24 19:29:00,7/24/2022 19:33,IP Address,100,211,True,7/24/2022 19:33,R_3CAHpmafMMYFgOJ,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,375x667,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a week / Daily,,arm1_control,610773529b6ed4abe44cd28d,610773529b6ed4abe44cd28d,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 19:33,7/24/2022 19:37,IP Address,100,233,True,7/24/2022 19:37,R_2XmSjlSG7WiRFCx,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,33.0,Female,True,Real,,,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,,,,Scam,,,True,False,7/24/2022 19:41,7/24/2022 19:44,IP Address,100.0,185.0,True,7/24/2022 19:44,R_6Eg342EViaEsTy9,,,,,anonymous,EN,Someone claiming to be from the company where you work (but wasn't),No,,Yes,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,4,4.0,0.0,Test Results are Incomplete,False,,24,False
2,2022-07-24 19:32:00,7/24/2022 19:35,IP Address,100,207,True,7/24/2022 19:35,R_33a3evJIGyQKRr7,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,2560x1440,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Once a month,,arm4_interactive,62b7a7e776f241c59cf27ac9,62b7a7e776f241c59cf27ac9,4,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Real,,Details,True,True,7/24/2022 19:39,7/24/2022 19:40,IP Address,100,38,True,7/24/2022 19:40,R_2tziLzoe2cZCcof,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,27.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,Details,Scam,,,Real,,,True,True,7/24/2022 19:43,7/24/2022 19:44,IP Address,100.0,70.0,True,7/24/2022 19:44,R_3KT0V65Y7XVSiz8,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,1,2.0,0.0,Keep,False,False,24,False
4,2022-07-24 19:35:00,7/24/2022 19:39,IP Address,100,211,True,7/24/2022 19:39,R_Zes9RIzOpeCxqSJ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1280x720,Some,Angry,Only some of the time,Government should do more to solve problems.,Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Slightly Disagree,Slightly Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Once a week,,arm4_interactive,5fd261e9a99c8e03e7258d03,5fd261e9a99c8e03e7258d03,3,0,Real,,,Real,,,Scam,,,Real,,,Real,Click,,Real,,,Real,,Details,Real,Click,Details,True,True,7/24/2022 19:43,7/24/2022 19:44,IP Address,100,41,True,7/24/2022 19:44,R_2CTJGAH4Db0RfKI,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,60.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Scam,,,True,True,7/24/2022 19:48,7/24/2022 19:49,IP Address,100.0,51.0,True,7/24/2022 19:49,R_diZ2OnIl5FeD2hj,,,,,anonymous,EN,,,,,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,False,False,2,1,1.0,0.0,Keep,False,False,24,False
3,2022-07-24 19:36:00,7/24/2022 19:37,IP Address,100,101,True,7/24/2022 19:37,R_1LtXCcGZYD3FisU,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,414x896,Some,Frustrated,Most of the time,Government should do more to solve problems.,Agree,Slightly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Once a month,,arm1_control,60fce156003127285462a3bb,60fce156003127285462a3bb,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 19:37,7/24/2022 19:38,IP Address,100,28,True,7/24/2022 19:38,R_1r6p43odlNYt1FI,,,,,anonymous,EN,"Not employed, NOT looking for work","$150,000 or more",White or Caucasian (Non-Hispanic),Some college but no degree,20.0,Female,True,Real,,,Real,,,Scam,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,True,True,7/24/2022 19:39,7/24/2022 19:40,IP Address,100.0,42.0,True,7/24/2022 19:40,R_1je7u9AO9lwvn85,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,0,0,0.0,0.0,Too Fast,False,,24,False
5,2022-07-24 19:37:00,7/24/2022 19:43,IP Address,100,317,True,7/24/2022 19:43,R_PUMJxb76GXJGFGh,,,,,anonymous,EN,,Yes,,Safari,15.5,Macintosh,768x1024,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,A few times a year,,arm1_control,5f8614b5dae6f31327b20577,5f8614b5dae6f31327b20577,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 19:43,7/24/2022 19:43,IP Address,100,32,True,7/24/2022 19:43,R_1pKDOfmeOAxPJ8M,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",African American or African (Non-Hispanic),"High school degree or equivalent (e.g., GED)",20.0,Female,True,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Real,,,True,True,7/24/2022 19:45,7/24/2022 19:46,IP Address,100.0,40.0,True,7/24/2022 19:46,R_2BhA60HgTACCqxz,,,,,anonymous,EN,Other,No,,No,No,Often,Often,Often,"Yes, use the responses.",True,1,True,True,False,3,0,0.0,0.0,Keep,False,False,24,False
6,2022-07-24 19:39:00,7/24/2022 19:43,IP Address,100,210,True,7/24/2022 19:43,R_1JCIWhlIT4Mt7KM,,,,,anonymous,EN,,Yes,,Firefox,102,Windows NT 10.0,1536x864,Very little,Angry,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,A few times a year,,arm4_interactive,5e3ce0518134d00d50da79c6,5e3ce0518134d00d50da79c6,3,1,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,Scam,,Details,Scam,,Details,True,True,7/24/2022 19:46,7/24/2022 19:47,IP Address,100,47,True,7/24/2022 19:47,R_3fHp0N56vHQTY4h,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,27.0,Female,True,Real,Click,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,,,,Real,,,True,False,7/24/2022 19:52,7/24/2022 19:53,IP Address,100.0,65.0,True,7/24/2022 19:53,R_2DMu8ZyrtfFjTI9,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Not Sure,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,2,2.0,0.0,Test Results are Incomplete,False,,24,False
7,2022-07-24 19:41:00,7/24/2022 19:45,IP Address,100,200,True,7/24/2022 19:45,R_6JTRHUUcxXw07iF,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Quite a lot,Frustrated,Never,Government is doing too many things better left to businesses and individuals.,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Once a week,,arm1_control,5d2fc2574fc1dd0017fe490a,5d2fc2574fc1dd0017fe490a,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 19:45,7/24/2022 19:46,IP Address,100,62,True,7/24/2022 19:46,R_1gGWdo9EHhq4uG4,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,41.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Real,,,True,True,7/24/2022 19:49,7/24/2022 19:50,IP Address,100.0,71.0,True,7/24/2022 19:50,R_2yax96IISgDKA3e,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,1,3,2.0,0.0,Keep,False,False,24,False
10,2022-07-24 19:42:00,7/24/2022 19:47,IP Address,100,289,True,7/24/2022 19:47,R_2YqVkZyo0rI4wZo,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Disagree,Once a month,,arm4_interactive,62d78ec8555d2bb8098f157e,62d78ec8555d2bb8098f157e,3,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,7/24/2022 19:50,7/24/2022 19:51,IP Address,100,59,True,7/24/2022 19:51,R_3frQXXszkRpy8CJ,,,,,anonymous,EN,"Not employed, NOT looking for work","$100,000 - $149,999",I prefer not to say,Bachelor degree,48.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Real,,,True,True,7/24/2022 19:56,7/24/2022 19:57,IP Address,100.0,83.0,True,7/24/2022 19:57,R_3J4c80W3gCItAYV,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,3,3,3.0,0.0,Keep,False,False,24,False
9,2022-07-24 19:43:00,7/24/2022 19:47,IP Address,100,197,True,7/24/2022 19:47,R_2Ym5AcCa5Y0dzxw,,,,,anonymous,EN,,Yes,,Firefox,102,Windows NT 10.0,1366x768,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Slightly Disagree,Disagree,A few times a year,,arm4_interactive,5ac032d40527ba0001c1ec3c,5ac032d40527ba0001c1ec3c,0,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Real,,,Real,Click,,True,True,7/24/2022 19:49,7/24/2022 19:50,IP Address,100,42,True,7/24/2022 19:50,R_2TRb2feu2XqL6xn,,,,,anonymous,EN,"Not employed, NOT looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,22.0,Female,True,Real,,,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,,,,Scam,,,True,False,7/24/2022 19:52,7/24/2022 19:53,IP Address,100.0,47.0,True,7/24/2022 19:53,R_xDtSiOCJ0GOUkr7,,,,,anonymous,EN,"Someone selling fraudulent goods or services,Other",No,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,1,2,0.0,0.0,Test Results are Incomplete,False,,24,False
