StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Employment,TotalIncome,Race,Education,Age_1,Gender,PID
7/25/2022 21:10,7/25/2022 21:11,IP Address,100,50,TRUE,7/25/2022 21:11,R_pJLQ7HqFpLp5f45,,,,,anonymous,EN,"Not employed, looking for work","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Some high school,20,Male,6093d89c434828b7d04ab3df
7/25/2022 21:15,7/25/2022 21:15,IP Address,100,40,TRUE,7/25/2022 21:15,R_31QsqmPbo6qFjIe,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,31,Male,62d6e24cf74647ef51a16300
7/25/2022 21:16,7/25/2022 21:17,IP Address,100,61,TRUE,7/25/2022 21:17,R_31FpjbQH6dbBawx,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,40,Female,5fd2ee0121083b11eb8a237e
7/25/2022 21:18,7/25/2022 21:19,IP Address,100,42,TRUE,7/25/2022 21:19,R_12xwzXNgG6NIsAf,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",Hispanic,"High school degree or equivalent (e.g., GED)",27,Male,5f064d893d76681a2cabc49e
7/25/2022 21:21,7/25/2022 21:22,IP Address,100,26,TRUE,7/25/2022 21:22,R_1zRN8jaodNqN9tv,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",Asian American or Asian,Graduate or professional degree,32,Female,5c90fd5c26e3ed0001989e17
7/25/2022 21:23,7/25/2022 21:24,IP Address,100,38,TRUE,7/25/2022 21:24,R_z3dwoGH78PlTfDr,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$40,000 - $59,999",African American or African (Non-Hispanic),"High school degree or equivalent (e.g., GED)",32,Male,5be94f66a169160001dafb9d
7/25/2022 21:25,7/25/2022 21:26,IP Address,100,31,TRUE,7/25/2022 21:26,R_3HUpSTEbRLN09IR,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,26,Female,603b2f67a0efdd74faf90ec5
7/25/2022 21:30,7/25/2022 21:30,IP Address,100,37,TRUE,7/25/2022 21:30,R_2WT1U9qH10RyIjz,,,,,anonymous,EN,Retired,"$100,000 - $149,999","White or Caucasian (Non-Hispanic),Asian American or Asian",Graduate or professional degree,56,Female,62d811c885547ef37cb55d9b
7/25/2022 21:32,7/25/2022 21:33,IP Address,100,42,TRUE,7/25/2022 21:33,R_1guNjo2j9uR8h0x,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",Hispanic,Graduate or professional degree,42,Female,62c2fe8e258e63b33c8d7324
7/25/2022 21:32,7/25/2022 21:34,IP Address,100,148,TRUE,7/25/2022 21:34,R_2xS1oIHwXunufsa,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",54,Male,5c832bd24b0de2001b3510fc
7/25/2022 21:34,7/25/2022 21:35,IP Address,100,30,TRUE,7/25/2022 21:35,R_1mI57TJM1P6rygp,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Some college but no degree,40,Male,611547dcc45adf9a07c60aea
7/25/2022 21:35,7/25/2022 21:35,IP Address,100,20,TRUE,7/25/2022 21:35,R_1Y57bEK00PDsl8d,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,21,Female,5f1273feb9ddf60dd2781b2f
7/25/2022 21:35,7/25/2022 21:36,IP Address,100,63,TRUE,7/25/2022 21:36,R_2w6obSpBHhFE6Fo,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Hispanic,"High school degree or equivalent (e.g., GED)",22,Female,610b164074738771ef9acb0a
7/25/2022 21:37,7/25/2022 21:39,IP Address,100,76,TRUE,7/25/2022 21:39,R_3PLlo46E5Q33PPc,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",Hispanic,Some college but no degree,20,Male,610af9910c4d079d84e855f4
7/25/2022 21:39,7/25/2022 21:39,IP Address,100,20,TRUE,7/25/2022 21:39,R_3L7IDrb4dJVbI5z,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",Hispanic,Bachelor degree,,Male,62de7a8c1895ac984c0e0720
7/25/2022 21:39,7/25/2022 21:40,IP Address,100,53,TRUE,7/25/2022 21:40,R_us93BRuIvZl4JLr,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,39,Male,62df54d52a9e3743753d27db
7/25/2022 21:38,7/25/2022 21:40,IP Address,100,66,TRUE,7/25/2022 21:40,R_3oHoNUt56sLGRc5,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Associate degree,20,Female,60fd26e082635f9c32999dd9
7/25/2022 21:41,7/25/2022 21:41,IP Address,100,48,TRUE,7/25/2022 21:41,R_1LBZtQjuzhaJgy0,,,,,anonymous,EN,"Not employed, looking for work","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Some college but no degree,29,Female,61115c76a6032b5860f19bc5
7/25/2022 21:42,7/25/2022 21:43,IP Address,100,52,TRUE,7/25/2022 21:43,R_3kIiaD0Yx0R1jXt,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,37,Female,6086f32713011a558998c7aa
7/25/2022 21:43,7/25/2022 21:43,IP Address,100,34,TRUE,7/25/2022 21:43,R_egSD1K6S7dBVGBX,,,,,anonymous,EN,"Not employed, NOT looking for work","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Some college but no degree,40,Female,610881256b500e6b59e8d58d
