StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID
7/25/2022 21:04,7/25/2022 21:11,IP Address,100,423,TRUE,7/25/2022 21:11,R_UgOGB5ZfHSaRSWB,,,,,anonymous,EN,,Yes,,Edge,103.0.1264.71,Windows NT 10.0,1536x960,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm4_interactive,5fd2ee0121083b11eb8a237e,5fd2ee0121083b11eb8a237e
7/25/2022 21:12,7/25/2022 21:15,IP Address,100,132,TRUE,7/25/2022 21:15,R_suFQcICvLknBnFL,,,,,anonymous,EN,,Yes,,Chrome,102.0.5005.167,Windows NT 10.0,2560x1440,Some,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Once a week,,arm1_control,62d6e24cf74647ef51a16300,62d6e24cf74647ef51a16300
7/25/2022 21:16,7/25/2022 21:18,IP Address,100,121,TRUE,7/25/2022 21:18,R_2zAqzsOFv8EXaYE,,,,,anonymous,EN,,Yes,,Chrome iPhone,103.0.5060.63,iPhone,390x844,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Agree,Slightly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,A few times a week / Daily,,arm4_interactive,5c90fd5c26e3ed0001989e17,5c90fd5c26e3ed0001989e17
7/25/2022 21:13,7/25/2022 21:18,IP Address,100,295,TRUE,7/25/2022 21:18,R_8Bq9UF4g5SW1r8d,,,,,anonymous,EN,,Yes,,Chrome,100.0.4896.127,Windows NT 10.0,1564x1043,Some,Frustrated,Never,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,A few times a week / Daily,,arm1_control,5f064d893d76681a2cabc49e,5f064d893d76681a2cabc49e
7/25/2022 21:19,7/25/2022 21:22,IP Address,100,183,TRUE,7/25/2022 21:22,R_3R7vtQ2bOrnwIW4,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,Frustrated,Never,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Once a week,,arm4_interactive,603b2f67a0efdd74faf90ec5,603b2f67a0efdd74faf90ec5
7/25/2022 21:13,7/25/2022 21:23,IP Address,100,568,TRUE,7/25/2022 21:23,R_2VmfFnb3PuRlxoa,,,,,anonymous,EN,,Yes,,Firefox,102,Windows NT 10.0,1920x1080,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Once a month,,arm1_control,5be94f66a169160001dafb9d,5be94f66a169160001dafb9d
7/25/2022 21:18,7/25/2022 21:23,IP Address,100,326,TRUE,7/25/2022 21:23,R_qx91cpiaGj2qprz,,,,,anonymous,EN,,Yes,,Safari,15.5,Macintosh,1366x768,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Disagree,Disagree,Slightly Agree,Agree,Strongly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Once a week,,arm4_interactive,62d811c885547ef37cb55d9b,62d811c885547ef37cb55d9b
7/25/2022 21:08,7/25/2022 21:10,IP Address,100,136,TRUE,7/25/2022 21:25,R_3CCnH8ZPPOnVHxH,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,2560x1440,Some,Frustrated,Never,Government should do more to solve problems.,Slightly Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Slightly Disagree,Disagree,Disagree,Slightly Disagree,Disagree,Slightly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Once a month,,arm1_control,6093d89c434828b7d04ab3df,6093d89c434828b7d04ab3df
7/25/2022 21:23,7/25/2022 21:31,IP Address,100,516,TRUE,7/25/2022 21:31,R_3R4IvkEpTajXBTT,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,CrOS x86_64 14816.99.0,1410x940,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Disagree,Disagree,Agree,Slightly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Once a week,,arm4_interactive,60fd26e082635f9c32999dd9,60fd26e082635f9c32999dd9
7/25/2022 21:25,7/25/2022 21:32,IP Address,100,433,TRUE,7/25/2022 21:32,R_27p3ap8VvHXbzJ5,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 11,412x915,Quite a lot,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Slightly Agree,A few times a year,,arm1_control,5c832bd24b0de2001b3510fc,5c832bd24b0de2001b3510fc
7/25/2022 21:29,7/25/2022 21:32,IP Address,100,234,TRUE,7/25/2022 21:32,R_1cUEOwvshV3OjzF,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,390x844,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Once a week,,arm1_control,62c2fe8e258e63b33c8d7324,62c2fe8e258e63b33c8d7324
7/25/2022 21:32,7/25/2022 21:33,IP Address,100,71,TRUE,7/25/2022 21:33,R_1gApWIWPF81Jruj,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,414x896,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly Disagree,Disagree,Slightly Disagree,Once a month,,arm4_interactive,5f1273feb9ddf60dd2781b2f,5f1273feb9ddf60dd2781b2f
7/25/2022 21:31,7/25/2022 21:34,IP Address,100,192,TRUE,7/25/2022 21:34,R_2U3CjAZciVHNHGK,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,390x844,Quite a lot,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Disagree,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Once a month,,arm1_control,611547dcc45adf9a07c60aea,611547dcc45adf9a07c60aea
7/25/2022 21:31,7/25/2022 21:35,IP Address,100,235,TRUE,7/25/2022 21:35,R_DdS2Xr2EIgKYzcd,,,,,anonymous,EN,,Yes,,Chrome,99.0.4844.83,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Agree,Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Once a month,,arm1_control,610b164074738771ef9acb0a,610b164074738771ef9acb0a
