,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,previousFraudYN,lose_moneyYN,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB,incomeAmount,race5,employment3,educYears,ageYears,genderI,ageYearsSq,lIncomeAmount,GovtConfScore,TrustInSSAScore,TrustInInternetScore,OnlineShoppingScore,LonelyScore,numCorrect,numFakeLabeledReal,numRealLabeledFake,numRealLabeledReal,numFakeLabeledFake,numEmailsCorrect,numWebsitesCorrect,numLettersCorrect,numSMSesCorrect,numCorrect_Govt,numCorrect_Biz,numEmailsCorrect_Govt,numEmailsCorrect_Biz,numWebsitesCorrect_Govt,numWebsitesCorrect_Biz,numLabeledReal,numLabeledFake,numNoAnswer,Correct_WalmartProduct,Correct_RedCross,Correct_SSA_HP,Correct_mySSA,Correct_AmazonDeliveryDelay,Correct_FB_SSA,Correct_ssa_optout,Correct_replacementCard,Correct_benefitsSuspension,Correct_medicareReview,percentCorrect
0,2022-07-25 21:04:00,7/25/2022 21:11,IP Address,100,423,True,7/25/2022 21:11,R_UgOGB5ZfHSaRSWB,,,,,anonymous,EN,,Yes,,Edge,103.0.1264.71,Windows NT 10.0,1536x960,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm4_interactive,5fd2ee0121083b11eb8a237e,5fd2ee0121083b11eb8a237e,4,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,7/25/2022 21:16,7/25/2022 21:17,IP Address,100,61,True,7/25/2022 21:17,R_31FpjbQH6dbBawx,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,40.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,Details,Scam,,,Scam,,,True,True,7/25/2022 21:21,7/25/2022 21:22,IP Address,100.0,87.0,True,7/25/2022 21:22,R_TvmNZxioa2BiNA5,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,4,3,3.0,0.0,Keep,False,False,24,False,70,W,U,16.0,40.0,1,1600.0,4.248495242049359,9,3.7,4.0,5,1.6666666666666667,8,1,1,4,4,4,3,1,0,5,3,2,2,2,1,5,5,0,True,True,True,True,True,False,True,True,True,False,80.0
7,2022-07-25 21:08:00,7/25/2022 21:10,IP Address,100,136,True,7/25/2022 21:25,R_3CCnH8ZPPOnVHxH,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,2560x1440,Some,Frustrated,Never,Government should do more to solve problems.,Slightly Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Slightly Disagree,Disagree,Disagree,Slightly Disagree,Disagree,Slightly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Once a month,,arm1_control,6093d89c434828b7d04ab3df,6093d89c434828b7d04ab3df,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/25/2022 21:10,7/25/2022 21:11,IP Address,100,50,True,7/25/2022 21:11,R_pJLQ7HqFpLp5f45,,,,,anonymous,EN,"Not employed, looking for work","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Some high school,20.0,Male,True,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Real,,,Real,,,Scam,,,Scam,,,True,True,7/25/2022 21:13,7/25/2022 21:14,IP Address,100.0,81.0,True,7/25/2022 21:14,R_1JWpN5RlQGzENSi,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Often,Often,"Yes, use the responses.",True,1,True,True,False,0,2,3.0,0.0,Keep,False,False,24,False,125,W,U,8.0,20.0,0,400.0,4.8283137373023015,8,2.2,2.125,4,2.6666666666666665,5,3,2,3,2,1,3,1,0,3,2,1,0,1,2,6,4,0,True,False,True,False,False,True,False,True,True,False,50.0
1,2022-07-25 21:12:00,7/25/2022 21:15,IP Address,100,132,True,7/25/2022 21:15,R_suFQcICvLknBnFL,,,,,anonymous,EN,,Yes,,Chrome,102.0.5005.167,Windows NT 10.0,2560x1440,Some,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Once a week,,arm1_control,62d6e24cf74647ef51a16300,62d6e24cf74647ef51a16300,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/25/2022 21:15,7/25/2022 21:15,IP Address,100,40,True,7/25/2022 21:15,R_31QsqmPbo6qFjIe,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,31.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Real,,,True,True,7/25/2022 21:21,7/25/2022 21:22,IP Address,100.0,59.0,True,7/25/2022 21:22,R_O2o5RpBjKRpgMGB,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,1,1.0,0.0,Keep,False,False,24,False,60,W,E,13.0,31.0,0,961.0,4.0943445622221,7,1.7,3.75,5,1.3333333333333333,10,0,0,5,5,4,4,2,0,6,4,2,2,2,2,5,5,0,True,True,True,True,True,True,True,True,True,True,100.0
3,2022-07-25 21:13:00,7/25/2022 21:18,IP Address,100,295,True,7/25/2022 21:18,R_8Bq9UF4g5SW1r8d,,,,,anonymous,EN,,Yes,,Chrome,100.0.4896.127,Windows NT 10.0,1564x1043,Some,Frustrated,Never,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,A few times a week / Daily,,arm1_control,5f064d893d76681a2cabc49e,5f064d893d76681a2cabc49e,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/25/2022 21:18,7/25/2022 21:19,IP Address,100,42,True,7/25/2022 21:19,R_12xwzXNgG6NIsAf,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",Hispanic,"High school degree or equivalent (e.g., GED)",27.0,Male,True,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/25/2022 21:21,7/25/2022 21:22,IP Address,100.0,71.0,True,7/25/2022 21:22,R_1GBW6srYDc9nvky,,,,,anonymous,EN,Someone claiming to be from another government agency (but wasn't),No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,3,2,2.0,0.0,Keep,False,False,24,False,60,H,E,12.0,27.0,0,729.0,4.0943445622221,7,4.3,2.375,A few times a week / Daily,2.0,6,2,2,3,3,2,3,1,0,3,3,1,1,1,2,5,5,0,True,False,True,False,True,True,True,False,True,False,60.0
6,2022-07-25 21:18:00,7/25/2022 21:23,IP Address,100,326,True,7/25/2022 21:23,R_qx91cpiaGj2qprz,,,,,anonymous,EN,,Yes,,Safari,15.5,Macintosh,1366x768,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Disagree,Disagree,Slightly Agree,Agree,Strongly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Once a week,,arm4_interactive,62d811c885547ef37cb55d9b,62d811c885547ef37cb55d9b,3,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,7/25/2022 21:30,7/25/2022 21:30,IP Address,100,37,True,7/25/2022 21:30,R_2WT1U9qH10RyIjz,,,,,anonymous,EN,Retired,"$100,000 - $149,999","White or Caucasian (Non-Hispanic),Asian American or Asian",Graduate or professional degree,56.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Real,,,True,True,7/25/2022 21:37,7/25/2022 21:38,IP Address,100.0,88.0,True,7/25/2022 21:38,R_3OdhvgK1m9zBoQy,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,Yes,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,3,1,3.0,0.0,Keep,False,False,24,False,125,A,R,18.0,56.0,1,3136.0,4.8283137373023015,9,5.2,2.125,5,1.6666666666666667,10,0,0,5,5,4,4,2,0,6,4,2,2,2,2,5,5,0,True,True,True,True,True,True,True,True,True,True,100.0
4,2022-07-25 21:19:00,7/25/2022 21:22,IP Address,100,183,True,7/25/2022 21:22,R_3R7vtQ2bOrnwIW4,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,Frustrated,Never,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Once a week,,arm4_interactive,603b2f67a0efdd74faf90ec5,603b2f67a0efdd74faf90ec5,3,0,Real,,,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,Real,,Details,Real,,Details,True,True,7/25/2022 21:25,7/25/2022 21:26,IP Address,100,31,True,7/25/2022 21:26,R_3HUpSTEbRLN09IR,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,26.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,,Scam,,,Scam,,,True,True,7/25/2022 21:27,7/25/2022 21:28,IP Address,100.0,52.0,True,7/25/2022 21:28,R_2P0UctvV07xMYS7,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,1,0,1.0,0.0,Keep,False,False,24,False,10,W,U,16.0,26.0,1,676.0,2.302585092994046,7,3.0,2.75,5,1.0,8,1,1,4,4,3,4,1,0,4,4,1,2,2,2,5,5,0,True,True,True,True,True,True,False,True,True,False,80.0
8,2022-07-25 21:23:00,7/25/2022 21:31,IP Address,100,516,True,7/25/2022 21:31,R_3R4IvkEpTajXBTT,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,CrOS x86_64 14816.99.0,1410x940,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Disagree,Disagree,Agree,Slightly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Once a week,,arm4_interactive,60fd26e082635f9c32999dd9,60fd26e082635f9c32999dd9,3,0,Real,,Details,Real,,,Scam,,Details,Real,Click,,Real,Click,,Real,,,Real,,Details,Real,Click,Details,True,True,7/25/2022 21:38,7/25/2022 21:40,IP Address,100,66,True,7/25/2022 21:40,R_3oHoNUt56sLGRc5,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Associate degree,20.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,Real,,,True,True,7/25/2022 21:47,7/25/2022 21:49,IP Address,100.0,120.0,True,7/25/2022 21:49,R_O2NO1DUZoeWpG9j,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Other",No,,No,No,Some of the time,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True,True,False,4,3,4.0,0.0,Keep,False,False,24,False,10,W,U,14.0,20.0,1,400.0,2.302585092994046,9,3.3,2.0,5,1.6666666666666667,9,1,0,5,4,4,3,2,0,6,3,2,2,2,1,6,4,0,True,True,True,True,True,False,True,True,True,True,90.0
9,2022-07-25 21:25:00,7/25/2022 21:32,IP Address,100,433,True,7/25/2022 21:32,R_27p3ap8VvHXbzJ5,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 11,412x915,Quite a lot,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Slightly Agree,A few times a year,,arm1_control,5c832bd24b0de2001b3510fc,5c832bd24b0de2001b3510fc,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/25/2022 21:32,7/25/2022 21:34,IP Address,100,148,True,7/25/2022 21:34,R_2xS1oIHwXunufsa,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",54.0,Male,True,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/25/2022 21:46,7/25/2022 21:50,IP Address,100.0,256.0,True,7/25/2022 21:50,R_2CjCYjfx7mz9TZF,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't)",No,,No,No,Hardly ever,Some of the time,Often,"Yes, use the responses.",True,1,True,True,False,4,4,4.0,0.0,Keep,False,False,24,False,30,W,E,12.0,54.0,0,2916.0,3.4011973816621555,9,5.4,5.0,A few times a year,2.0,8,0,2,3,5,3,4,1,0,4,4,1,2,2,2,3,7,0,True,True,True,True,True,True,True,False,True,False,80.0
10,2022-07-25 21:29:00,7/25/2022 21:32,IP Address,100,234,True,7/25/2022 21:32,R_1cUEOwvshV3OjzF,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,390x844,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Once a week,,arm1_control,62c2fe8e258e63b33c8d7324,62c2fe8e258e63b33c8d7324,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/25/2022 21:32,7/25/2022 21:33,IP Address,100,42,True,7/25/2022 21:33,R_1guNjo2j9uR8h0x,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",Hispanic,Graduate or professional degree,42.0,Female,True,Scam,,,Scam,,,Scam,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/25/2022 21:35,7/25/2022 21:36,IP Address,100.0,86.0,True,7/25/2022 21:36,R_24nMS9oxH0qHMkA,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services,Other",Not Sure,,No,Not Sure,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,2,3.0,0.0,Keep,False,False,24,False,125,H,E,18.0,42.0,1,1764.0,4.8283137373023015,8,3.3,3.875,5,2.0,6,0,4,1,5,3,2,1,0,3,3,1,2,1,1,1,9,0,False,True,False,True,True,True,True,False,True,False,60.0
13,2022-07-25 21:31:00,7/25/2022 21:35,IP Address,100,235,True,7/25/2022 21:35,R_DdS2Xr2EIgKYzcd,,,,,anonymous,EN,,Yes,,Chrome,99.0.4844.83,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Agree,Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Once a month,,arm1_control,610b164074738771ef9acb0a,610b164074738771ef9acb0a,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/25/2022 21:35,7/25/2022 21:36,IP Address,100,63,True,7/25/2022 21:36,R_2w6obSpBHhFE6Fo,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Hispanic,"High school degree or equivalent (e.g., GED)",22.0,Female,True,Real,,,Real,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Scam,,Details,Scam,,,Scam,,,True,True,7/25/2022 21:43,7/25/2022 21:44,IP Address,100.0,69.0,True,7/25/2022 21:44,R_1GD2NONsljtvago,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Often,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,3,2.0,0.0,Keep,False,False,24,False,10,H,U,12.0,22.0,1,484.0,2.302585092994046,8,4.3,2.5,4,2.3333333333333335,6,2,2,3,3,2,3,1,0,4,2,1,1,2,1,5,5,0,True,False,True,True,True,False,True,False,True,False,60.0
