StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Employment,TotalIncome,Race,Education,Age_1,Gender,PID
7/26/2022 9:43,7/26/2022 9:44,IP Address,100,69,TRUE,7/26/2022 9:44,R_1HotxaBOkLUaUkP,,,,,anonymous,EN,Retired,"$20,000 - $39,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,67,Male,6158bd2745993bf25a54a521
7/26/2022 9:46,7/26/2022 9:47,IP Address,100,28,TRUE,7/26/2022 9:47,R_3DnK8pYN8K8u1ew,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999",Hispanic,Bachelor degree,,Male,610387c028e578a1677cbfde
7/26/2022 9:49,7/26/2022 9:50,IP Address,100,36,TRUE,7/26/2022 9:50,R_rrmVwjw7Lsb0EH7,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",21,Male,6294b970cd20966a523f54f2
7/26/2022 9:52,7/26/2022 9:53,IP Address,100,61,TRUE,7/26/2022 9:53,R_1cS8HlEwmyAUfmc,,,,,anonymous,EN,"Not employed, NOT looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Some high school,33,Male,612fcbbd5386d9edb42da147
7/26/2022 9:56,7/26/2022 9:56,IP Address,100,32,TRUE,7/26/2022 9:56,R_1rlkAlPxQluO9ET,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Asian American or Asian,Some college but no degree,24,Male,5edfa664aa67fe278e36ff39
7/26/2022 9:57,7/26/2022 9:57,IP Address,100,27,TRUE,7/26/2022 9:57,R_1IAiBd5vGRWBC45,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$100,000 - $149,999",Asian American or Asian,Bachelor degree,24,Female,5c83394a3e93bf0001e143d6
7/26/2022 9:59,7/26/2022 10:00,IP Address,100,53,TRUE,7/26/2022 10:00,R_22lwZgIMXf4uwpi,,,,,anonymous,EN,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,44,Female,5a044fbc074b190001251565
7/26/2022 10:02,7/26/2022 10:02,IP Address,100,39,TRUE,7/26/2022 10:02,R_1WVKvmDocSAZgM9,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,31,Male,613cf84d6df477f261fa5ec4
7/26/2022 10:02,7/26/2022 10:03,IP Address,100,45,TRUE,7/26/2022 10:03,R_BYE3YCXW7n0TNHH,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$40,000 - $59,999",African American or African (Non-Hispanic),Some college but no degree,56,Male,5fb4838f3efce01cc28e7f1b
7/26/2022 10:03,7/26/2022 10:03,IP Address,100,40,TRUE,7/26/2022 10:03,R_qL5FsgMpvZlCRRn,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$60,000 - $79,999",Asian American or Asian,Some college but no degree,25,Male,567064cdb937e4000f2ce44f
7/26/2022 10:08,7/26/2022 10:09,IP Address,100,20,TRUE,7/26/2022 10:09,R_3MSXiFj4bPRzGGX,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$20,000 - $39,999",Hispanic,Bachelor degree,24,Female,628664ed4a596091ae9a6575
7/26/2022 10:09,7/26/2022 10:09,IP Address,100,29,TRUE,7/26/2022 10:09,R_WfCTJKu4t6NfZPr,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Some college but no degree,21,Male,60fdeae64720933d1347ac81
7/26/2022 10:10,7/26/2022 10:10,IP Address,100,32,TRUE,7/26/2022 10:10,R_2TttUhDH0wOzURL,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999","White or Caucasian (Non-Hispanic),Native American, Native Hawaiian or Pacific Islander",Associate degree,26,Female,60fed38a8adb46e44e0869a5
7/26/2022 10:10,7/26/2022 10:11,IP Address,100,23,TRUE,7/26/2022 10:11,R_1IbzXXS9SZxBvNu,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",Hispanic,Bachelor degree,31,Female,5ceac8abb5a9d90001c07ec0
7/26/2022 10:14,7/26/2022 10:15,IP Address,100,22,TRUE,7/26/2022 10:15,R_9QQrNQpPqciRQYN,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",Hispanic,Associate degree,21,Female,6117ba4fd05245c3cc387782
7/26/2022 10:16,7/26/2022 10:17,IP Address,100,51,TRUE,7/26/2022 10:17,R_3dF97mud3ylwTxh,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,54,Female,5f09f9a38bf3690ea1c20c96
7/26/2022 10:17,7/26/2022 10:18,IP Address,100,45,TRUE,7/26/2022 10:18,R_1OxDijWnaV6ibnw,,,,,anonymous,EN,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Associate degree,30,Female,55884984fdf99b4021921e67
7/26/2022 10:18,7/26/2022 10:18,IP Address,100,27,TRUE,7/26/2022 10:18,R_1qfzCb8K1K0G5PW,,,,,anonymous,EN,"Not employed, NOT looking for work","$40,000 - $59,999",Asian American or Asian,Bachelor degree,22,Female,61088bfc77f5657c993c2434
7/26/2022 10:19,7/26/2022 10:19,IP Address,100,22,TRUE,7/26/2022 10:19,R_24PqKeBLU6AQzlV,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,25,Female,60fe144e2343f4683d037e1f
7/26/2022 10:21,7/26/2022 10:21,IP Address,100,25,TRUE,7/26/2022 10:21,R_3Dql3HFlE27lsyA,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,53,Female,5de6bcd545971063d3ff95db
7/26/2022 10:21,7/26/2022 10:22,IP Address,100,41,TRUE,7/26/2022 10:22,R_O1nXaYSEJuiOK2Z,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$100,000 - $149,999","White or Caucasian (Non-Hispanic),Asian American or Asian",,42,Female,55a2fa33fdf99b073cd94947
