StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID
7/26/2022 9:39,7/26/2022 9:42,IP Address,100,213,TRUE,7/26/2022 9:42,R_1GvGx4IChv7MnU8,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,375x667,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Disagree,Slightly Agree,Strongly Agree,Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Once a week,,arm4_interactive,610387c028e578a1677cbfde,610387c028e578a1677cbfde
7/26/2022 9:39,7/26/2022 9:43,IP Address,100,233,TRUE,7/26/2022 9:43,R_SGVOI1H2FzoYoQ9,,,,,anonymous,EN,,Yes,,Firefox,102,Windows NT 10.0,1536x864,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Once a week,,arm1_control,6158bd2745993bf25a54a521,6158bd2745993bf25a54a521
7/26/2022 9:38,7/26/2022 9:45,IP Address,100,434,TRUE,7/26/2022 9:45,R_1gkzoXYRcKlJ3dM,,,,,anonymous,EN,,Yes,,Opera,88.0.4412.85,Windows NT 10.0,1536x864,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Slightly Agree,,Agree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Once a month,,arm4_interactive,6294b970cd20966a523f54f2,6294b970cd20966a523f54f2
7/26/2022 9:48,7/26/2022 9:52,IP Address,100,237,TRUE,7/26/2022 9:52,R_e5KFeCaLnTwSFtD,,,,,anonymous,EN,,Yes,,Firefox,102,Windows NT 10.0,1920x1080,Very little,Frustrated,Never,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a month,,arm1_control,612fcbbd5386d9edb42da147,612fcbbd5386d9edb42da147
7/26/2022 9:48,7/26/2022 9:53,IP Address,100,291,TRUE,7/26/2022 9:53,R_blyKFS0yAw2TAqZ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Agree,Strongly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,arm4_interactive,5edfa664aa67fe278e36ff39,5edfa664aa67fe278e36ff39
7/26/2022 9:52,7/26/2022 9:55,IP Address,100,185,TRUE,7/26/2022 9:55,R_2E5bjKhxS6Ppo6P,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 11,377x816,Some,Frustrated,Most of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Once a week,,arm4_interactive,5a044fbc074b190001251565,5a044fbc074b190001251565
7/26/2022 9:53,7/26/2022 9:57,IP Address,100,182,TRUE,7/26/2022 9:57,R_1eODqrHCSawzJrU,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Very little,Angry,Never,Government should do more to solve problems.,Slightly Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,,arm1_control,5c83394a3e93bf0001e143d6,5c83394a3e93bf0001e143d6
7/26/2022 9:56,7/26/2022 10:00,IP Address,100,264,TRUE,7/26/2022 10:00,R_Pz9SqAN75M6PGKJ,,,,,anonymous,EN,,Yes,,Firefox,102,Windows NT 10.0,1920x1080,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a month,,arm4_interactive,567064cdb937e4000f2ce44f,567064cdb937e4000f2ce44f
7/26/2022 10:00,7/26/2022 10:02,IP Address,100,118,TRUE,7/26/2022 10:02,R_R82GPqNXbQ3iDex,,,,,anonymous,EN,,Yes,,Chrome iPhone,103.0.5060.63,iPhone,414x896,None at all,Angry,Never,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm1_control,613cf84d6df477f261fa5ec4,613cf84d6df477f261fa5ec4
7/26/2022 9:59,7/26/2022 10:02,IP Address,100,222,TRUE,7/26/2022 10:02,R_2afwTnQaSASsPbZ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Disagree,Disagree,Slightly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly Disagree,Disagree,Disagree,A few times a year,,arm1_control,5fb4838f3efce01cc28e7f1b,5fb4838f3efce01cc28e7f1b
