,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,previousFraudYN,lose_moneyYN,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB,incomeAmount,race5,employment3,educYears,ageYears,genderI,ageYearsSq,lIncomeAmount,GovtConfScore,TrustInSSAScore,TrustInInternetScore,OnlineShoppingScore,LonelyScore,numCorrect,numFakeLabeledReal,numRealLabeledFake,numRealLabeledReal,numFakeLabeledFake,numEmailsCorrect,numWebsitesCorrect,numLettersCorrect,numSMSesCorrect,numCorrect_Govt,numCorrect_Biz,numEmailsCorrect_Govt,numEmailsCorrect_Biz,numWebsitesCorrect_Govt,numWebsitesCorrect_Biz,numLabeledReal,numLabeledFake,numNoAnswer,Correct_RedCross,Correct_SSA_HP,Correct_mySSA,Correct_AmazonDeliveryDelay,Correct_FB_SSA,Correct_ssa_optout,Correct_WalmartProduct,Correct_medicareReview,Correct_replacementCard,Correct_benefitsSuspension,percentCorrect
2,2022-07-26 09:38:00,7/26/2022 9:45,IP Address,100,434,True,7/26/2022 9:45,R_1gkzoXYRcKlJ3dM,,,,,anonymous,EN,,Yes,,Opera,88.0.4412.85,Windows NT 10.0,1536x864,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Slightly Agree,,Agree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Once a month,,arm4_interactive,6294b970cd20966a523f54f2,6294b970cd20966a523f54f2,4,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,7/26/2022 9:49,7/26/2022 9:50,IP Address,100.0,36.0,True,7/26/2022 9:50,R_rrmVwjw7Lsb0EH7,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",21.0,Male,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Real,,,Real,,Details,Scam,,,True,True,7/26/2022 9:53,7/26/2022 9:55,IP Address,100.0,102.0,True,7/26/2022 9:55,R_1nTKe4lGyP9Hvk3,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,4,1.0,4.0,0.0,Keep,False,False,24,False,30,W,U,12.0,21.0,0.0,441.0,3.4011973816621555,8,,3.375,4,1.0,10,0,0,5,5,4,4,2,0,6,4,2,2,2,2,5,5,0,True,True,True,True,True,True,True,True,True,True,100.0
4,2022-07-26 09:48:00,7/26/2022 9:53,IP Address,100,291,True,7/26/2022 9:53,R_blyKFS0yAw2TAqZ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Agree,Strongly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,arm4_interactive,5edfa664aa67fe278e36ff39,5edfa664aa67fe278e36ff39,4,0,Real,,,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,7/26/2022 9:56,7/26/2022 9:56,IP Address,100.0,32.0,True,7/26/2022 9:56,R_1rlkAlPxQluO9ET,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Asian American or Asian,Some college but no degree,24.0,Male,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Real,,,Real,,Details,Scam,,,True,True,7/26/2022 10:00,7/26/2022 10:01,IP Address,100.0,47.0,True,7/26/2022 10:01,R_Q6z2BZje5UDqhKV,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,3,1.0,1.0,0.0,Keep,False,False,24,False,10,A,U,13.0,24.0,0.0,576.0,2.302585092994046,9,4.7,3.25,5,2.0,10,0,0,5,5,4,4,2,0,6,4,2,2,2,2,5,5,0,True,True,True,True,True,True,True,True,True,True,100.0
5,2022-07-26 09:52:00,7/26/2022 9:55,IP Address,100,185,True,7/26/2022 9:55,R_2E5bjKhxS6Ppo6P,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 11,377x816,Some,Frustrated,Most of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Once a week,,arm4_interactive,5a044fbc074b190001251565,5a044fbc074b190001251565,4,1,Real,,,Real,Click,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Real,,,True,True,7/26/2022 9:59,7/26/2022 10:00,IP Address,100.0,53.0,True,7/26/2022 10:00,R_22lwZgIMXf4uwpi,,,,,anonymous,EN,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,44.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,Click,,Scam,,Details,Scam,,,Scam,,,Real,,Details,Scam,,,True,True,7/26/2022 10:06,7/26/2022 10:06,IP Address,100.0,53.0,True,7/26/2022 10:06,R_RJPdE8IHnSiYLx7,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,Yes,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,1,3.0,1.0,0.0,Keep,False,False,24,False,60,W,U,13.0,44.0,1.0,1936.0,4.0943445622221,10,4.8,3.375,5,2.0,8,0,2,3,5,4,3,1,0,5,3,2,2,2,1,3,7,0,True,True,True,True,True,True,False,False,True,True,80.0
6,2022-07-26 09:53:00,7/26/2022 9:57,IP Address,100,182,True,7/26/2022 9:57,R_1eODqrHCSawzJrU,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Very little,Angry,Never,Government should do more to solve problems.,Slightly Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,,arm1_control,5c83394a3e93bf0001e143d6,5c83394a3e93bf0001e143d6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 9:57,7/26/2022 9:57,IP Address,100.0,27.0,True,7/26/2022 9:57,R_1IAiBd5vGRWBC45,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$100,000 - $149,999",Asian American or Asian,Bachelor degree,24.0,Female,True,Real,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 10:00,7/26/2022 10:01,IP Address,100.0,46.0,True,7/26/2022 10:01,R_1Fy4IxzbwODMVV7,,,,,anonymous,EN,,,,,No,Often,Hardly ever,Often,"Yes, use the responses.",True,1,True,False,False,1,0.0,1.0,0.0,Keep,False,False,24,False,125,A,U,16.0,24.0,1.0,576.0,4.8283137373023015,6,4.0,3.125,A few times a year,2.3333333333333335,6,1,3,2,4,2,3,1,0,4,2,1,1,2,1,3,7,0,False,True,True,True,True,True,False,False,False,True,60.0
9,2022-07-26 09:59:00,7/26/2022 10:02,IP Address,100,222,True,7/26/2022 10:02,R_2afwTnQaSASsPbZ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Disagree,Disagree,Slightly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly Disagree,Disagree,Disagree,A few times a year,,arm1_control,5fb4838f3efce01cc28e7f1b,5fb4838f3efce01cc28e7f1b,0,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:02,7/26/2022 10:03,IP Address,100.0,45.0,True,7/26/2022 10:03,R_BYE3YCXW7n0TNHH,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$40,000 - $59,999",African American or African (Non-Hispanic),Some college but no degree,56.0,Male,True,Real,,,Real,,,Real,,,Real,Click,,Scam,,,Real,,,Real,,,Real,,,Real,,,Scam,,,True,True,7/26/2022 10:06,7/26/2022 10:07,IP Address,100.0,64.0,True,7/26/2022 10:07,R_6x1YSqKZd8bpXgd,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,2.0,2.0,0.0,Keep,False,False,24,False,60,B,U,13.0,56.0,0.0,3136.0,4.0943445622221,8,2.4,3.0,A few times a year,1.6666666666666667,7,3,0,5,2,2,3,2,0,4,3,1,1,1,2,8,2,0,False,True,False,True,True,False,True,True,True,True,70.0
10,2022-07-26 10:04:00,7/26/2022 10:07,IP Address,100,127,True,7/26/2022 10:07,R_6YFS6YI539p5DdT,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,None at all,Angry,Never,Government should do more to solve problems.,Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm4_interactive,5ceac8abb5a9d90001c07ec0,5ceac8abb5a9d90001c07ec0,4,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,7/26/2022 10:10,7/26/2022 10:11,IP Address,100.0,23.0,True,7/26/2022 10:11,R_1IbzXXS9SZxBvNu,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",Hispanic,Bachelor degree,31.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Scam,,,Scam,,,Scam,,Details,Scam,,,True,True,7/26/2022 10:14,7/26/2022 10:16,IP Address,100.0,88.0,True,7/26/2022 10:16,R_2rwpekcrz4RcDNX,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,0,0.0,3.0,0.0,Keep,False,False,24,False,30,H,E,16.0,31.0,1.0,961.0,3.4011973816621555,5,4.0,3.5,4,1.0,6,1,3,2,4,3,2,1,0,4,2,1,2,2,0,3,7,0,True,True,True,True,False,True,False,False,False,True,60.0
14,2022-07-26 10:08:00,7/26/2022 10:12,IP Address,100,269,True,7/26/2022 10:12,R_2Wvs5cdVjKkOBS0,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Very little,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm4_interactive,61088bfc77f5657c993c2434,61088bfc77f5657c993c2434,4,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,7/26/2022 10:18,7/26/2022 10:18,IP Address,100.0,27.0,True,7/26/2022 10:18,R_1qfzCb8K1K0G5PW,,,,,anonymous,EN,"Not employed, NOT looking for work","$40,000 - $59,999",Asian American or Asian,Bachelor degree,22.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,True,True,7/26/2022 10:21,7/26/2022 10:22,IP Address,100.0,58.0,True,7/26/2022 10:22,R_5AUkVV5LcN7fgRj,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Other",No,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,3,0.0,2.0,0.0,Keep,False,False,24,False,60,A,U,16.0,22.0,1.0,484.0,4.0943445622221,6,4.3,3.0,5,1.6666666666666667,8,1,1,4,4,4,3,1,0,5,3,2,2,2,1,5,5,0,True,True,True,True,False,True,True,False,True,True,80.0
18,2022-07-26 10:11:00,7/26/2022 10:16,IP Address,100,295,True,7/26/2022 10:16,R_1mOgvfJ0tAh02uf,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Some,Basically content,Only some of the time,Government should do more to solve problems.,Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,A few times a year,,arm4_interactive,60e6a16e78554362aa29b908,60e6a16e78554362aa29b908,4,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Scam,,Details,Real,,,True,True,7/26/2022 10:21,7/26/2022 10:22,IP Address,100.0,44.0,True,7/26/2022 10:22,R_1LLuDfzP0wpMwnS,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",Asian American or Asian,Bachelor degree,36.0,Male,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,True,True,7/26/2022 10:24,7/26/2022 10:25,IP Address,100.0,64.0,True,7/26/2022 10:25,R_3qpq8dzFuH43fuB,,,,,anonymous,EN,Other,No,,No,Yes,Often,Often,Often,"Yes, use the responses.",True,1,True,True,False,3,2.0,2.0,0.0,Keep,False,False,24,False,60,A,E,16.0,36.0,0.0,1296.0,4.0943445622221,10,4.8,3.75,A few times a year,3.0,8,1,1,4,4,4,3,1,0,5,3,2,2,2,1,5,5,0,True,True,True,True,False,True,True,False,True,True,80.0
16,2022-07-26 10:12:00,7/26/2022 10:16,IP Address,100,207,True,7/26/2022 10:16,R_2tyQRDlZIMa1JHL,,,,,anonymous,EN,,Yes,,Edge,103.0.1264.71,Windows NT 10.0,1600x900,Some,Frustrated,Most of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Once a month,,arm1_control,5f09f9a38bf3690ea1c20c96,5f09f9a38bf3690ea1c20c96,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:16,7/26/2022 10:17,IP Address,100.0,51.0,True,7/26/2022 10:17,R_3dF97mud3ylwTxh,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,54.0,Female,True,Real,,Details,Real,,,Real,,,Real,,Details,Real,,,Real,,Details,Real,,,Scam,,,Real,,Details,Scam,,,True,True,7/26/2022 10:20,7/26/2022 10:21,IP Address,100.0,62.0,True,7/26/2022 10:21,R_3ltPxBbcqT8WoFW,,,,,anonymous,EN,Other,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,2,3.0,2.0,0.0,Keep,False,False,24,False,60,W,E,13.0,54.0,1.0,2916.0,4.0943445622221,10,5.2,3.875,4,1.0,5,4,1,4,1,2,2,1,0,3,2,1,1,1,1,8,2,0,False,True,False,True,False,False,True,False,True,True,50.0
20,2022-07-26 10:15:00,7/26/2022 10:17,IP Address,100,124,True,7/26/2022 10:17,R_1K7pz2NUIYtNRqh,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 11,412x877,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Slightly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Once a month,,arm1_control,55884984fdf99b4021921e67,55884984fdf99b4021921e67,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:17,7/26/2022 10:18,IP Address,100.0,45.0,True,7/26/2022 10:18,R_1OxDijWnaV6ibnw,,,,,anonymous,EN,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Associate degree,30.0,Female,True,Real,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,,Scam,,,Real,,Details,Scam,,,True,True,7/26/2022 10:20,7/26/2022 10:20,IP Address,100.0,37.0,True,7/26/2022 10:20,R_2TmHmpcktor4rpH,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,2.0,0.0,0.0,Keep,False,False,24,False,60,W,U,14.0,30.0,1.0,900.0,4.0943445622221,8,5.9,3.0,4,2.0,7,2,1,4,3,2,4,1,0,4,3,1,1,2,2,6,4,0,False,True,True,True,True,False,True,False,True,True,70.0
