,PID,surveyArm,trustScore,incomeAmount,race5,employment3,educYears,marriedI,ageYears,genderI,ageYearsSq,lIncomeAmount,numCorrect,numFakeLabeledReal,numRealLabeledFake,numRealLabeledReal,numFakeLabeledFake,numEmailsCorrect,numLettersCorrect,numSMSesCorrect,numCorrect_SSA,numCorrect_Other,numEmailsCorrect_SSA,numEmailsCorrect_Other,numLabeledReal,numLabeledFake,numNoAnswer,percentCorrect,TestRound,GovtConfScore,SuscPersuasionScore,SelfControlScore,SuscPersuasionScore_NoSelfControl,GenTrustScore,TrustInSSAScore,TrustInInternetScore,OnlineShoppingScore,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views
11,5ec9cf3ed4642d4ebb802b42,arm2_written_techniques,0.0,125.0,W,E,18.0,0.0,49.5,0.0,2450.25,4.828313737302302,9.0,0.0,3.0,2.0,7.0,7.0,1.0,1.0,4.0,5.0,2.0,5.0,2.0,10.0,0.0,75.0,4.0,10.0,2.4166666666666665,1.6666666666666667,3.0,2.8,3.8,1.5,4,Quite a lot,Frustrated,Only some of the time,Government should do more to solve problems.
15,5e1217864c81b289d5bc13b3,arm3_existingssa,2.0,60.0,W,E,16.0,1.0,29.5,0.0,870.25,4.0943445622221,6.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,7.0,0.0,50.0,4.0,9.0,3.25,2.6666666666666665,3.875,3.0,4.5,4.625,4,Some,Frustrated,Most of the time,Government is doing too many things better left to businesses and individuals.
16,5e1217864c81b289d5bc13b3,arm3_existingssa,2.0,60.0,W,E,16.0,1.0,29.5,0.0,870.25,4.0943445622221,6.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,7.0,0.0,50.0,4.0,11.0,3.5833333333333335,3.3333333333333335,4.125,3.2,4.6,5.0,4,Some,Basically content,Most of the time,Government should do more to solve problems.
21,60ff9a9aad04eb7ef6cae70a,arm4_interactive_training,0.0,30.0,W,U,13.0,0.0,21.5,0,462.25,3.401197381662155,5.0,6.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,10.0,2.0,0.0,41.66666666666667,6.0,8.0,3.75,4.0,4.125,2.8,5.4,3.375,3,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.
22,5dfd35cb7bf572a2bb30b26f,arm4_interactive_training,3.0,70.0,W,R,14.0,0.0,69.5,1.0,4830.25,4.248495242049359,10.0,0.0,2.0,3.0,7.0,6.0,2.0,2.0,6.0,4.0,3.0,3.0,3.0,9.0,0.0,83.33333333333334,4.0,11.0,3.4166666666666665,2.6666666666666665,4.125,4.0,4.8,3.75,6,Quite a lot,Frustrated,Most of the time,Government should do more to solve problems.
23,5e5e11aed2420e129dc155ce,arm2_written_techniques,0.0,90.0,W,U,16.0,1.0,29.5,1.0,870.25,4.499809670330265,8.0,1.0,3.0,2.0,6.0,6.0,1.0,1.0,4.0,4.0,2.0,4.0,3.0,9.0,0.0,66.66666666666666,4.0,7.0,3.3333333333333335,4.333333333333333,3.375,3.0,4.0,4.625,5,Very little,Angry,Only some of the time,Government should do more to solve problems.
24,5c5dba4ed86a7f000191e5d5,arm2_written_techniques,3.0,70.0,W,E,14.0,0.0,39.5,0.0,1560.25,4.248495242049359,8.0,2.0,2.0,3.0,5.0,5.0,1.0,2.0,3.0,5.0,1.0,4.0,5.0,7.0,0.0,66.66666666666666,4.0,9.0,3.8333333333333335,4.0,4.25,3.6,4.3,3.75,4,Some,Basically content,Only some of the time,Government is doing too many things better left to businesses and individuals.
25,60f838095603e27ca51820a7,arm4_interactive_training,3.0,90.0,W,R,16.0,,59.5,0,3540.25,4.499809670330265,7.0,1.0,0.0,3.0,4.0,7.0,0.0,0.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,58.33333333333334,6.0,10.0,2.6666666666666665,2.0,3.25,4.0,5.4,3.25,5,Quite a lot,Frustrated,Only some of the time,Government should do more to solve problems.
26,60641f06b9c8e77f4605064a,arm1_control,2.0,30.0,W,R,13.0,0.0,59.5,1,3540.25,3.401197381662155,5.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,3.0,6.0,6.0,0.0,41.66666666666667,6.0,7.0,2.9166666666666665,1.6666666666666667,3.75,3.2,4.8,4.25,5,Very little,Angry,Only some of the time,Government should do more to solve problems.
27,5cb882d33f0af9000159e00f,arm4_interactive_training,0.0,60.0,W,E,12.0,1.0,59.5,1,3540.25,4.0943445622221,4.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,3.0,1.0,3.0,5.0,3.0,4.0,33.33333333333333,6.0,9.0,2.3333333333333335,1.6666666666666667,2.875,2.0,4.7,1.875,5,Some,Frustrated,Only some of the time,Government should do more to solve problems.
28,5e9c8deb90dd470441c7f98e,arm2_written_techniques,0.0,175.0,W,U,18.0,1.0,59.5,1.0,3540.25,5.164785973923514,5.0,4.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,0.0,2.0,6.0,6.0,0.0,41.66666666666667,4.0,5.0,2.25,1.0,3.0,,,2.75,6,None at all,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.
29,5de2b1568f5cd52ecc1b14b8,arm4_interactive_training,3.0,30.0,W,E,12.0,0.0,39.5,0.0,1560.25,3.401197381662155,8.0,2.0,2.0,3.0,5.0,7.0,0.0,1.0,3.0,5.0,2.0,5.0,5.0,7.0,0.0,66.66666666666666,4.0,9.0,3.1666666666666665,2.6666666666666665,3.75,4.0,6.0,3.0,6,Some,Frustrated,Only some of the time,Government should do more to solve problems.
30,606cba49bb285f26a3afee25,arm3_existingssa,3.0,30.0,W,R,13.0,0.0,59.5,0.0,3540.25,3.401197381662155,5.0,3.0,4.0,1.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,8.0,0.0,41.66666666666667,4.0,7.0,3.25,3.3333333333333335,3.625,,4.4,4.125,5,Some,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.
31,5d63179aa3b94d0001da4bb6,arm4_interactive_training,0.0,90.0,W,E,14.0,1.0,59.5,1,3540.25,4.499809670330265,9.0,2.0,1.0,4.0,5.0,6.0,1.0,2.0,4.0,5.0,2.0,4.0,6.0,6.0,0.0,75.0,6.0,8.0,2.6666666666666665,1.6666666666666667,3.375,4.0,,4.0,3,Very little,Frustrated,Only some of the time,Government should do more to solve problems.
33,5a94c0b7b5e2110001c6891e,arm1_control,3.0,175.0,A,E,16.0,1.0,49.5,0,2450.25,5.164785973923514,6.0,5.0,1.0,4.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,2.0,9.0,3.0,0.0,50.0,6.0,9.0,4.0,3.6666666666666665,4.625,4.0,5.2,3.75,5,Some,Frustrated,Only some of the time,Government should do more to solve problems.
34,5dfe8e7bdc8535b21b18ea2f,arm3_existingssa,3.0,60.0,W,E,18.0,1.0,39.5,0.0,1560.25,4.0943445622221,8.0,4.0,0.0,5.0,3.0,5.0,1.0,2.0,4.0,4.0,2.0,3.0,9.0,3.0,0.0,66.66666666666666,4.0,8.0,2.9166666666666665,2.3333333333333335,3.5,3.2,3.9,1.625,4,Very little,Frustrated,Only some of the time,Government should do more to solve problems.
35,5e1f8fbfb202032c463f3e06,arm1_control,3.0,60.0,W,U,16.0,0.0,59.5,1,3540.25,4.0943445622221,8.0,4.0,0.0,5.0,3.0,4.0,2.0,2.0,4.0,4.0,1.0,3.0,9.0,3.0,0.0,66.66666666666666,6.0,8.0,2.5833333333333335,2.0,3.125,3.8,3.8,4.0,3,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.
36,6102e4f5caf1aed4d071c696,arm1_control,1.0,60.0,W,R,13.0,1.0,59.5,1,3540.25,4.0943445622221,4.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,7.0,5.0,0.0,33.33333333333333,6.0,11.0,,4.0,,,4.6,3.75,4,Quite a lot,Basically content,Most of the time,Government is doing too many things better left to businesses and individuals.
