StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent,MetaInfo_Browser,MetaInfo_Version,MetaInfo_Operating System,MetaInfo_Resolution,PID,SuscPersuasion_1,SuscPersuasion_2,SuscPersuasion_3,SuscPersuasion_4,SuscPersuasion_5,SuscPersuasion_6,SuscPersuasion_7,SuscPersuasion_8,SuscPersuasion_9,SuscPersuasion_10,SuscPersuasion_11,SuscPersuasion_12,GenTrust_1,GenTrust_2,GenTrust_3,GenTrust_4,GenTrust_5,GenTrust_6,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views,TrustInSSA_1,TrustInSSA_2,TrustInSSA_3,TrustInSSA_4,TrustInSSA_5,TrustInSSA_6,TrustInSSA_7,TrustInSSA_8,TrustInSSA_9,TrustInSSA_10,TrustInInternet_1,TrustInInternet_2,TrustInInternet_3,TrustInInternet_4,TrustInInternet_5,TrustInInternet_6,TrustInInternet_7,TrustInInternet_8,OnlineShopping,HonestyCheck,PROLIFIC_PID,UserAgent
3/3/2022 14:38,3/3/2022 14:44,IP Address,100,365,TRUE,3/3/2022 14:44,R_3Ld7y1tP63sRX8n,,,,,anonymous,EN,Yes,,,,,60073bbacd735e1dafaf493e,Disagree,Slightly Agree,Strongly Disagree,Agree,Slightly Disagree,Strongly Disagree,Slightly Agree,Strongly Disagree,Disagree,Disagree,Slightly Agree,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Strongly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Few times a year,"Yes, use the responses.",60073bbacd735e1dafaf493e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36"
3/3/2022 14:50,3/3/2022 14:52,IP Address,100,166,TRUE,3/3/2022 14:52,R_3eacaOvsmqvbrma,,,,,anonymous,EN,Yes,,,,,602d87421dd2cb340e99cbb1,Disagree,Slightly Agree,Disagree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Disagree,Agree,Agree,Disagree,Slightly Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Agree,Agree,Slightly Disagree,Agree,Neither Agree nor Disagree,Agree,Slightly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Few times a week/Daily,"Yes, use the responses.",602d87421dd2cb340e99cbb1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36"
3/3/2022 14:54,3/3/2022 14:58,IP Address,100,264,TRUE,3/3/2022 14:58,R_2R9rOYsWY4BU8YI,,,,,anonymous,EN,Yes,,,,,607a85c1a886b02bb116babb,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Once a month,"Yes, use the responses.",607a85c1a886b02bb116babb,"Mozilla/5.0 (Linux; Android 10; SM-A205U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36"
3/3/2022 14:57,3/3/2022 15:02,IP Address,100,297,TRUE,3/3/2022 15:02,R_O23SgOznIdi3xkJ,,,,,anonymous,EN,Yes,,,,,6135a925c42061f541414f34,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Few times a week/Daily,"Yes, use the responses.",6135a925c42061f541414f34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.62"
3/3/2022 15:07,3/3/2022 15:11,IP Address,100,201,TRUE,3/3/2022 15:11,R_0JaMu1FK7FAJqzn,,,,,anonymous,EN,Yes,,,,,5f810b88592c911b7d9accef,Slightly Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Slightly Disagree,Once a week,"Yes, use the responses.",5f810b88592c911b7d9accef,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36"
3/3/2022 15:10,3/3/2022 15:13,IP Address,100,191,TRUE,3/3/2022 15:13,R_3kdMjJ9mJmFdfLH,,,,,anonymous,EN,Yes,,,,,5e4f0e104335e236a2b8aead,Disagree,Neither Agree nor Disagree,Strongly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Once a week,"Yes, use the responses.",5e4f0e104335e236a2b8aead,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG-SM-G930A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Mobile Safari/537.36"
3/3/2022 15:05,3/3/2022 15:16,IP Address,100,673,TRUE,3/3/2022 15:16,R_1kXhl7OsKGETeGC,,,,,anonymous,EN,Yes,,,,,60d86d6c0f4b31dab174a376,Agree,Disagree,Disagree,Disagree,Slightly Disagree,Slightly Agree,Strongly Disagree,Disagree,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Agree,Agree,Slightly Disagree,Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Once a month,"Yes, use the responses.",60d86d6c0f4b31dab174a376,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36"
3/3/2022 15:14,3/3/2022 15:17,IP Address,100,122,TRUE,3/3/2022 15:17,R_2vkqmBMjcQPTS4g,,,,,anonymous,EN,Yes,,,,,6109b06dfa1c2030742239ec,Disagree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Agree,Slightly Disagree,Agree,Strongly Agree,Disagree,Slightly Agree,,,,,,,Some,Basically content,Most of the time,Government should do more to solve problems.,Agree,Slightly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Strongly Agree,Slightly Disagree,Disagree,Agree,Disagree,Few times a year,"Yes, use the responses.",6109b06dfa1c2030742239ec,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
3/3/2022 15:19,3/3/2022 15:23,IP Address,100,232,TRUE,3/3/2022 15:23,R_2v97Y0bkpynLpjE,,,,,anonymous,EN,Yes,,,,,5de30ab87292b632fe85729d,Strongly Disagree,Agree,Strongly Disagree,Slightly Agree,Neither Agree nor Disagree,Strongly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Agree,Disagree,Neither Agree nor Disagree,Slightly Agree,Disagree,Once a week,"Yes, use the responses.",5de30ab87292b632fe85729d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
3/3/2022 15:21,3/3/2022 15:23,IP Address,100,154,TRUE,3/3/2022 15:23,R_1F2qERmODCAlAsK,,,,,anonymous,EN,Yes,,,,,5cbdf79716ab74000172d916,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Slightly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Agree,Agree,Once a week,"Yes, use the responses.",5cbdf79716ab74000172d916,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36"
