StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Employment,TotalIncome,Race,Education,Age_1,Gender,PID
7/30/2022 7:04,7/30/2022 7:05,100,68,TRUE,7/30/2022 7:06,R_1iaki9nv0LxI8G2,Retired,"$60,000 - $79,999",White or Caucasian (Non-Hispanic),Associate degree,69,Female,629796bda2a3a22b3e9d159d
7/30/2022 7:05,7/30/2022 7:06,100,51,TRUE,7/30/2022 7:06,R_2eX48tCYQSgovWz,"Employed, working 30 or more hours per week","$60,000 - $79,999",Asian American or Asian,Bachelor degree,31,Female,5e25be7c5514e680ef436338
7/30/2022 7:13,7/30/2022 7:14,100,67,TRUE,7/30/2022 7:14,R_3fTeUzppMB5sAZG,Retired,"$100,000 - $149,999","Native American, Native Hawaiian or Pacific Islander",Associate degree,60,Female,5d5067b25371ae00191f69c4
7/30/2022 7:16,7/30/2022 7:17,100,99,TRUE,7/30/2022 7:17,R_6GABj76VvGXwquB,"Employed, working 30 or more hours per week","$40,000 - $59,999",African American or African (Non-Hispanic),Bachelor degree,33,Male,62c7b44340785bc85ce9054a
7/30/2022 7:17,7/30/2022 7:18,100,88,TRUE,7/30/2022 7:18,R_2WGYdHJiJJetuhC,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,41,Female,5cce4682f2ba8e00017f3de2
7/30/2022 7:18,7/30/2022 7:18,100,30,TRUE,7/30/2022 7:18,R_w7Y0k2gTiEQA8OB,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,25,Male,60ee018de21e9a2830566094
7/30/2022 7:18,7/30/2022 7:18,100,28,TRUE,7/30/2022 7:18,R_1hAs9RphKhj067n,"Employed, working 1-29 hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Some college but no degree,20,Male,62bdbe823331cbd3bdf805a6
7/30/2022 7:20,7/30/2022 7:20,100,47,TRUE,7/30/2022 7:20,R_3EzEt1RTLLoY2Xz,"Employed, working 1-29 hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,33,Female,5ad7c794c25ea000018848d1
7/30/2022 7:24,7/30/2022 7:24,100,26,TRUE,7/30/2022 7:24,R_1esgbvRJKXNCuex,"Not employed, looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",30,Male,5d8a29c082fec30001d9c24a
7/30/2022 7:24,7/30/2022 7:25,100,62,TRUE,7/30/2022 7:25,R_30i1nQmHRE8EPf7,"Employed, working 1-29 hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,43,Female,5de7283098e7956ab99b23e0
