StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID
7/30/2022 7:00,7/30/2022 7:04,100,254,TRUE,7/30/2022 7:04,R_3j3zficJA1HGgI7,,,Yes,,Safari iPhone,15.6,iPhone,390x844,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Strongly Disagree,Slightly Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Slightly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,A few times a week / Daily,,arm1_control,629796bda2a3a22b3e9d159d,629796bda2a3a22b3e9d159d
7/30/2022 7:02,7/30/2022 7:05,100,197,TRUE,7/30/2022 7:05,R_pnpqiTXEIyEIsBX,,,Yes,,Chrome,103.0.0.0,Android 12,393x851,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Slightly Disagree,Disagree,Agree,Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Once a month,,arm2_generalinfo,5e25be7c5514e680ef436338,5e25be7c5514e680ef436338
7/30/2022 7:09,7/30/2022 7:13,100,241,TRUE,7/30/2022 7:13,R_2uPozhe9N47jQNa,,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1442x811,Quite a lot,Frustrated,Most of the time,Government is doing too many things better left to businesses and individuals.,Agree,Strongly Disagree,Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,A few times a week / Daily,,arm3_tips,5d5067b25371ae00191f69c4,5d5067b25371ae00191f69c4
7/30/2022 7:09,7/30/2022 7:16,100,422,TRUE,7/30/2022 7:16,R_1LImNiSZ4Lu0CYU,,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,A few times a year,,arm2_generalinfo,62c7b44340785bc85ce9054a,62c7b44340785bc85ce9054a
7/30/2022 7:11,7/30/2022 7:16,100,305,TRUE,7/30/2022 7:16,R_3PKY4xSNaOQ3iWg,,,Yes,,Safari iPhone,15.5,iPhone,390x844,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Strongly Disagree,Slightly Agree,Slightly Disagree,Agree,Agree,Slightly Disagree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,A few times a week / Daily,,arm4_interactive,5ad7c794c25ea000018848d1,5ad7c794c25ea000018848d1
7/30/2022 7:12,7/30/2022 7:17,100,282,TRUE,7/30/2022 7:17,R_5mpnPU9Zsmv14Z3,,,Yes,,Chrome,103.0.0.0,Android 8.1.0,360x640,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Agree,Agree,Slightly Agree,Agree,Agree,Slightly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Once a month,,arm3_tips,5cce4682f2ba8e00017f3de2,5cce4682f2ba8e00017f3de2
7/30/2022 7:13,7/30/2022 7:18,100,277,TRUE,7/30/2022 7:18,R_3D87YfARWLsslR9,,,Yes,,Safari iPhone,15.6,iPhone,390x844,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Disagree,Disagree,Slightly Agree,Agree,Agree,Agree,Slightly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Once a month,,arm1_control,60ee018de21e9a2830566094,60ee018de21e9a2830566094
7/30/2022 7:16,7/30/2022 7:18,100,93,TRUE,7/30/2022 7:18,R_2ahiKIhzvFuAicr,,,Yes,,Safari,15.5,Macintosh,1440x900,Some,Frustrated,Most of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Once a month,,arm1_control,62bdbe823331cbd3bdf805a6,62bdbe823331cbd3bdf805a6
7/30/2022 7:18,7/30/2022 7:23,100,306,TRUE,7/30/2022 7:23,R_31FdzzspcisCGNf,,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Some,Angry,Never,Government should do more to solve problems.,Slightly Disagree,Slightly Agree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Disagree,Agree,Slightly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Once a month,,arm2_generalinfo,5c0a22affe40eb00016262b6,5c0a22affe40eb00016262b6
7/30/2022 7:21,7/30/2022 7:24,100,170,TRUE,7/30/2022 7:24,R_2WxnFLKHuG9qYng,,,Yes,,Safari,15.5,Macintosh,810x1080,Some,Basically content,Only some of the time,Government should do more to solve problems.,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Once a week,,arm3_tips,5de7283098e7956ab99b23e0,5de7283098e7956ab99b23e0
