StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,PID
7/30/2022 7:09,7/30/2022 7:10,100,63,TRUE,7/30/2022 7:10,R_1DYaD0cybCUEsom,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5e25be7c5514e680ef436338
7/30/2022 7:13,7/30/2022 7:14,100,79,TRUE,7/30/2022 7:14,R_REOVycz8JodXGj7,Someone selling fraudulent goods or services,No,,No,Yes,Often,Often,Often,"Yes, use the responses.",629796bda2a3a22b3e9d159d
7/30/2022 7:17,7/30/2022 7:18,100,83,TRUE,7/30/2022 7:18,R_eQy0MIWGbzTzp1D,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,Yes,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",5d5067b25371ae00191f69c4
7/30/2022 7:20,7/30/2022 7:21,100,113,TRUE,7/30/2022 7:21,R_1lt0oFoT0IzrBGr,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",62bdbe823331cbd3bdf805a6
7/30/2022 7:21,7/30/2022 7:24,100,151,TRUE,7/30/2022 7:24,R_3nUEmP0pj5aY7a1,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",60ee018de21e9a2830566094
7/30/2022 7:23,7/30/2022 7:24,100,73,TRUE,7/30/2022 7:24,R_3pbupnw7eXx5NFX,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",5ad7c794c25ea000018848d1
7/30/2022 7:24,7/30/2022 7:27,100,152,TRUE,7/30/2022 7:27,R_1hVZkb3xIyTn0Hj,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Not Sure,Some of the time,Hardly ever,Some of the time,"Yes, use the responses.",62c7b44340785bc85ce9054a
7/30/2022 7:27,7/30/2022 7:29,100,111,TRUE,7/30/2022 7:29,R_1PbZZJFEM0IN6qI,Someone selling fraudulent goods or services,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",5d8a29c082fec30001d9c24a
7/30/2022 7:28,7/30/2022 7:29,100,70,TRUE,7/30/2022 7:29,R_2zUQwo2KAs6iXUc,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5de7283098e7956ab99b23e0
7/30/2022 7:28,7/30/2022 7:30,100,90,TRUE,7/30/2022 7:30,R_3LbhRmFTWvBUoaa,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't)",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5cce4682f2ba8e00017f3de2
