,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,Duration (in seconds)_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,Duration (in seconds)_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave
1391,2022-07-30 06:39:00,7/30/2022 6:42,IP Address,100,181,True,7/30/2022 6:42,R_1j9VTRSmfYJ8q2J,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Strongly Disagree,,,,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,,Strongly Disagree,,Strongly Disagree,,,,,,Once a year,,arm4_interactive,Steve30July,Steve30July,0,0,Real,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Real,,,True,True,7/30/2022 6:44,7/30/2022 6:45,IP Address,100.0,28.0,True,7/30/2022 6:45,R_323AkR5b0oVgtPn,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",I prefer not to say,Graduate or professional degree,46.0,Male,True,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,True,True,7/30/2022 6:45,7/30/2022 6:46,IP Address,100.0,23.0,True,7/30/2022 6:46,R_1eIsneRoxJI4cJv,,,,,anonymous,EN,,,,,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True
1392,2022-07-30 07:00:00,7/30/2022 7:04,IP Address,100,254,True,7/30/2022 7:04,R_3j3zficJA1HGgI7,,,,,anonymous,EN,,Yes,,Safari iPhone,15.6,iPhone,390x844,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Strongly Disagree,Slightly Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Slightly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,A few times a week / Daily,,arm1_control,629796bda2a3a22b3e9d159d,629796bda2a3a22b3e9d159d,4,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:04,7/30/2022 7:05,IP Address,100.0,68.0,True,7/30/2022 7:06,R_1iaki9nv0LxI8G2,,,,,anonymous,EN,Retired,"$60,000 - $79,999",White or Caucasian (Non-Hispanic),Associate degree,69.0,Female,True,Real,,,Real,,Details,Real,Click,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,Details,Real,,,,,,True,False,7/30/2022 7:13,7/30/2022 7:14,IP Address,100.0,79.0,True,7/30/2022 7:14,R_REOVycz8JodXGj7,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,Yes,Often,Often,Often,"Yes, use the responses.",True,1,True
1393,2022-07-30 07:02:00,7/30/2022 7:05,IP Address,100,197,True,7/30/2022 7:05,R_pnpqiTXEIyEIsBX,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 12,393x851,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Slightly Disagree,Disagree,Agree,Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Once a month,,arm2_generalinfo,5e25be7c5514e680ef436338,5e25be7c5514e680ef436338,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:05,7/30/2022 7:06,IP Address,100.0,51.0,True,7/30/2022 7:06,R_2eX48tCYQSgovWz,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",Asian American or Asian,Bachelor degree,31.0,Female,True,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Both,,,Real,,,Scam,,,Scam,,,True,True,7/30/2022 7:09,7/30/2022 7:10,IP Address,100.0,63.0,True,7/30/2022 7:10,R_1DYaD0cybCUEsom,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True
1394,2022-07-30 07:09:00,7/30/2022 7:13,IP Address,100,241,True,7/30/2022 7:13,R_2uPozhe9N47jQNa,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1442x811,Quite a lot,Frustrated,Most of the time,Government is doing too many things better left to businesses and individuals.,Agree,Strongly Disagree,Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,A few times a week / Daily,,arm3_tips,5d5067b25371ae00191f69c4,5d5067b25371ae00191f69c4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:13,7/30/2022 7:14,IP Address,100.0,67.0,True,7/30/2022 7:14,R_3fTeUzppMB5sAZG,,,,,anonymous,EN,Retired,"$100,000 - $149,999","Native American, Native Hawaiian or Pacific Islander",Associate degree,60.0,Female,True,Scam,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Scam,,,True,True,7/30/2022 7:17,7/30/2022 7:18,IP Address,100.0,83.0,True,7/30/2022 7:18,R_eQy0MIWGbzTzp1D,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,Yes,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True
1395,2022-07-30 07:09:00,7/30/2022 7:16,IP Address,100,422,True,7/30/2022 7:16,R_1LImNiSZ4Lu0CYU,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,A few times a year,,arm2_generalinfo,62c7b44340785bc85ce9054a,62c7b44340785bc85ce9054a,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:16,7/30/2022 7:17,IP Address,100.0,99.0,True,7/30/2022 7:17,R_6GABj76VvGXwquB,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",African American or African (Non-Hispanic),Bachelor degree,33.0,Male,True,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Real,,,Scam,,,Scam,,,True,True,7/30/2022 7:24,7/30/2022 7:27,IP Address,100.0,152.0,True,7/30/2022 7:27,R_1hVZkb3xIyTn0Hj,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Not Sure,Some of the time,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True
1396,2022-07-30 07:11:00,7/30/2022 7:16,IP Address,100,305,True,7/30/2022 7:16,R_3PKY4xSNaOQ3iWg,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,390x844,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Strongly Disagree,Slightly Agree,Slightly Disagree,Agree,Agree,Slightly Disagree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,A few times a week / Daily,,arm4_interactive,5ad7c794c25ea000018848d1,5ad7c794c25ea000018848d1,3,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,Real,,,True,True,7/30/2022 7:20,7/30/2022 7:20,IP Address,100.0,47.0,True,7/30/2022 7:20,R_3EzEt1RTLLoY2Xz,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,33.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,,,,True,False,7/30/2022 7:23,7/30/2022 7:24,IP Address,100.0,73.0,True,7/30/2022 7:24,R_3pbupnw7eXx5NFX,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True
1397,2022-07-30 07:12:00,7/30/2022 7:17,IP Address,100,282,True,7/30/2022 7:17,R_5mpnPU9Zsmv14Z3,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 8.1.0,360x640,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Agree,Agree,Slightly Agree,Agree,Agree,Slightly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Once a month,,arm3_tips,5cce4682f2ba8e00017f3de2,5cce4682f2ba8e00017f3de2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:17,7/30/2022 7:18,IP Address,100.0,88.0,True,7/30/2022 7:18,R_2WGYdHJiJJetuhC,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,41.0,Female,True,Real,,,Scam,,,Real,,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,Details,Scam,,,Scam,,,True,True,7/30/2022 7:28,7/30/2022 7:30,IP Address,100.0,90.0,True,7/30/2022 7:30,R_3LbhRmFTWvBUoaa,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't)",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True
1398,2022-07-30 07:13:00,7/30/2022 7:18,IP Address,100,277,True,7/30/2022 7:18,R_3D87YfARWLsslR9,,,,,anonymous,EN,,Yes,,Safari iPhone,15.6,iPhone,390x844,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Disagree,Disagree,Slightly Agree,Agree,Agree,Agree,Slightly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Once a month,,arm1_control,60ee018de21e9a2830566094,60ee018de21e9a2830566094,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:18,7/30/2022 7:18,IP Address,100.0,30.0,True,7/30/2022 7:18,R_w7Y0k2gTiEQA8OB,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,25.0,Male,True,Real,,,Scam,,,Scam,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,,,,True,False,7/30/2022 7:21,7/30/2022 7:24,IP Address,100.0,151.0,True,7/30/2022 7:24,R_3nUEmP0pj5aY7a1,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True
1399,2022-07-30 07:16:00,7/30/2022 7:18,IP Address,100,93,True,7/30/2022 7:18,R_2ahiKIhzvFuAicr,,,,,anonymous,EN,,Yes,,Safari,15.5,Macintosh,1440x900,Some,Frustrated,Most of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Once a month,,arm1_control,62bdbe823331cbd3bdf805a6,62bdbe823331cbd3bdf805a6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:18,7/30/2022 7:18,IP Address,100.0,28.0,True,7/30/2022 7:18,R_1hAs9RphKhj067n,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Some college but no degree,20.0,Male,True,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Real,,,,,,True,False,7/30/2022 7:20,7/30/2022 7:21,IP Address,100.0,113.0,True,7/30/2022 7:21,R_1lt0oFoT0IzrBGr,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True
1400,2022-07-30 07:18:00,7/30/2022 7:23,IP Address,100,306,True,7/30/2022 7:23,R_31FdzzspcisCGNf,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Some,Angry,Never,Government should do more to solve problems.,Slightly Disagree,Slightly Agree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Disagree,Agree,Slightly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Once a month,,arm2_generalinfo,5c0a22affe40eb00016262b6,5c0a22affe40eb00016262b6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:23,7/30/2022 7:25,IP Address,100.0,82.0,True,7/30/2022 7:25,R_3HjC3i5n4vOVLhv,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,27.0,Female,True,Real,,,Scam,,Details,Real,,,Real,,,Real,,Details,Scam,,,Real,,Details,Scam,,,Real,,,Scam,,,True,True,7/30/2022 7:32,7/30/2022 7:33,IP Address,100.0,88.0,True,7/30/2022 7:33,R_10x7RMGYq4kAt82,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Hardly ever,Often,"Yes, use the responses.",True,1,True
