,StartDate,EndDate,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB,incomeAmount,race5,employment3,educYears,ageYears,genderI,ageYearsSq,lIncomeAmount,fraudExperience_SSA,fraudExperience_Govt,fraudExperience_Biz,fraudExperience_YN,fraudLoss_YN,fraudLoss_Amount,GovtConfScore,TrustInSSAScore,TrustInInternetScore,OnlineShoppingScore,LonelyScore,numCorrect,numFakeLabeledReal,numRealLabeledFake,numRealLabeledReal,numFakeLabeledFake,numEmailsCorrect,numWebsitesCorrect,numLettersCorrect,numSMSesCorrect,numCorrect_Govt,numCorrect_Biz,numEmailsCorrect_Govt,numEmailsCorrect_Biz,numWebsitesCorrect_Govt,numWebsitesCorrect_Biz,numLabeledReal,numLabeledFake,numNoAnswer,Correct_WalmartProduct,Correct_RedCross,Correct_SSA_HP,Correct_mySSA,Correct_AmazonDeliveryDelay,Correct_FB_SSA,Correct_ssa_optout,Correct_replacementCard,Correct_medicareReview,Correct_benefitsSuspension,droppedFinalQuestion,percentCorrect,percentCorrect_Email,percentCorrect_Web,percentCorrect_Letter,percentCorrect_Govt,percentCorrect_Biz,percentCorrect_Scam,percentCorrect_Real
0,2022-07-30 07:00:00,7/30/2022 7:04,100,254,True,7/30/2022 7:04,R_3j3zficJA1HGgI7,,,Yes,,Safari iPhone,15.6,iPhone,390x844,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Strongly Disagree,Slightly Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Slightly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,A few times a week / Daily,,arm1_control,629796bda2a3a22b3e9d159d,629796bda2a3a22b3e9d159d,4,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:04,7/30/2022 7:05,100.0,68.0,True,7/30/2022 7:06,R_1iaki9nv0LxI8G2,Retired,"$60,000 - $79,999",White or Caucasian (Non-Hispanic),Associate degree,69.0,Female,True,Real,,,Real,,Details,Real,Click,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,Details,Real,,,,,,True,False,7/30/2022 7:13,7/30/2022 7:14,100.0,79.0,True,7/30/2022 7:14,R_REOVycz8JodXGj7,Someone selling fraudulent goods or services,No,,No,Yes,Often,Often,Often,"Yes, use the responses.",True,1,True,2,3.0,3.0,0.0,Keep,False,False,24,False,70.0,W,R,14,69.0,1.0,4761.0,4.248495242049359,False,False,True,True,False,0.0,9.0,6.1,2.875,6,3.0,6,3,0,5,1,2,3,1,0,4,2,1,1,2,1,8,1,1,True,False,True,True,True,False,False,True,True,False,True,60.0,50.0,75.0,50.0,66.66666666666666,50.0,20.0,100.0
1,2022-07-30 07:02:00,7/30/2022 7:05,100,197,True,7/30/2022 7:05,R_pnpqiTXEIyEIsBX,,,Yes,,Chrome,103.0.0.0,Android 12,393x851,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Slightly Disagree,Disagree,Agree,Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Once a month,,arm2_generalinfo,5e25be7c5514e680ef436338,5e25be7c5514e680ef436338,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:05,7/30/2022 7:06,100.0,51.0,True,7/30/2022 7:06,R_2eX48tCYQSgovWz,"Employed, working 30 or more hours per week","$60,000 - $79,999",Asian American or Asian,Bachelor degree,31.0,Female,True,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Both,,,Real,,,Scam,,,Scam,,,True,True,7/30/2022 7:09,7/30/2022 7:10,100.0,63.0,True,7/30/2022 7:10,R_1DYaD0cybCUEsom,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,1,2.0,2.0,0.0,Keep,False,False,24,False,70.0,A,E,16,31.0,1.0,961.0,4.248495242049359,False,False,True,True,False,0.0,9.0,4.7,2.125,4,2.0,8,0,1,4,4,3,4,1,0,4,4,1,2,2,2,4,5,1,True,True,True,True,True,True,False,True,False,True,False,80.0,75.0,100.0,50.0,66.66666666666666,100.0,80.0,80.0
3,2022-07-30 07:09:00,7/30/2022 7:16,100,422,True,7/30/2022 7:16,R_1LImNiSZ4Lu0CYU,,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,A few times a year,,arm2_generalinfo,62c7b44340785bc85ce9054a,62c7b44340785bc85ce9054a,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:16,7/30/2022 7:17,100.0,99.0,True,7/30/2022 7:17,R_6GABj76VvGXwquB,"Employed, working 30 or more hours per week","$40,000 - $59,999",African American or African (Non-Hispanic),Bachelor degree,33.0,Male,True,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Real,,,Scam,,,Scam,,,True,True,7/30/2022 7:24,7/30/2022 7:27,100.0,152.0,True,7/30/2022 7:27,R_1hVZkb3xIyTn0Hj,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Not Sure,Some of the time,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True,4,4.0,4.0,0.0,Keep,False,False,24,False,60.0,B,E,16,33.0,0.0,1089.0,4.0943445622221,True,True,True,True,False,0.0,9.0,5.1,3.125,3,1.6666666666666667,7,2,1,4,3,3,3,1,0,4,3,2,1,1,2,6,4,0,True,False,True,False,True,True,True,True,False,True,False,70.0,75.0,75.0,50.0,66.66666666666666,75.0,60.0,80.0
2,2022-07-30 07:09:00,7/30/2022 7:13,100,241,True,7/30/2022 7:13,R_2uPozhe9N47jQNa,,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1442x811,Quite a lot,Frustrated,Most of the time,Government is doing too many things better left to businesses and individuals.,Agree,Strongly Disagree,Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,A few times a week / Daily,,arm3_tips,5d5067b25371ae00191f69c4,5d5067b25371ae00191f69c4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:13,7/30/2022 7:14,100.0,67.0,True,7/30/2022 7:14,R_3fTeUzppMB5sAZG,Retired,"$100,000 - $149,999","Native American, Native Hawaiian or Pacific Islander",Associate degree,60.0,Female,True,Scam,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Scam,,,True,True,7/30/2022 7:17,7/30/2022 7:18,100.0,83.0,True,7/30/2022 7:18,R_eQy0MIWGbzTzp1D,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,Yes,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True,2,3.0,3.0,0.0,Keep,False,False,24,False,125.0,O,R,14,60.0,1.0,3600.0,4.8283137373023015,False,True,True,True,False,0.0,10.0,6.8,3.875,6,1.3333333333333333,7,1,2,3,4,3,3,1,0,4,3,1,2,2,1,4,6,0,False,True,True,True,True,True,False,True,False,True,False,70.0,75.0,75.0,50.0,66.66666666666666,75.0,80.0,60.0
4,2022-07-30 07:11:00,7/30/2022 7:16,100,305,True,7/30/2022 7:16,R_3PKY4xSNaOQ3iWg,,,Yes,,Safari iPhone,15.5,iPhone,390x844,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Strongly Disagree,Slightly Agree,Slightly Disagree,Agree,Agree,Slightly Disagree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,A few times a week / Daily,,arm4_interactive,5ad7c794c25ea000018848d1,5ad7c794c25ea000018848d1,3,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,Real,,,True,True,7/30/2022 7:20,7/30/2022 7:20,100.0,47.0,True,7/30/2022 7:20,R_3EzEt1RTLLoY2Xz,"Employed, working 1-29 hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,33.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,,,,True,False,7/30/2022 7:23,7/30/2022 7:24,100.0,73.0,True,7/30/2022 7:24,R_3pbupnw7eXx5NFX,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,3,2.0,2.0,0.0,Keep,False,False,24,False,125.0,W,U,18,33.0,1.0,1089.0,4.8283137373023015,True,True,True,True,False,0.0,9.0,5.2,3.5,6,1.6666666666666667,8,1,0,5,3,4,3,1,0,5,3,2,2,2,1,6,3,1,True,True,True,True,True,False,True,True,True,False,True,80.0,100.0,75.0,50.0,83.33333333333334,75.0,60.0,100.0
5,2022-07-30 07:12:00,7/30/2022 7:17,100,282,True,7/30/2022 7:17,R_5mpnPU9Zsmv14Z3,,,Yes,,Chrome,103.0.0.0,Android 8.1.0,360x640,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Agree,Agree,Slightly Agree,Agree,Agree,Slightly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Once a month,,arm3_tips,5cce4682f2ba8e00017f3de2,5cce4682f2ba8e00017f3de2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:17,7/30/2022 7:18,100.0,88.0,True,7/30/2022 7:18,R_2WGYdHJiJJetuhC,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,41.0,Female,True,Real,,,Scam,,,Real,,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,Details,Scam,,,Scam,,,True,True,7/30/2022 7:28,7/30/2022 7:30,100.0,90.0,True,7/30/2022 7:30,R_3LbhRmFTWvBUoaa,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't)",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,3,4.0,3.0,0.0,Keep,False,False,24,False,30.0,W,E,13,41.0,1.0,1681.0,3.4011973816621555,True,True,False,True,False,0.0,9.0,5.7,3.875,4,2.0,7,2,1,4,3,3,3,1,0,4,3,1,2,2,1,6,4,0,True,True,True,True,True,False,False,True,False,True,False,70.0,75.0,75.0,50.0,66.66666666666666,75.0,60.0,80.0
6,2022-07-30 07:13:00,7/30/2022 7:18,100,277,True,7/30/2022 7:18,R_3D87YfARWLsslR9,,,Yes,,Safari iPhone,15.6,iPhone,390x844,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Disagree,Disagree,Slightly Agree,Agree,Agree,Agree,Slightly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Once a month,,arm1_control,60ee018de21e9a2830566094,60ee018de21e9a2830566094,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:18,7/30/2022 7:18,100.0,30.0,True,7/30/2022 7:18,R_w7Y0k2gTiEQA8OB,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,25.0,Male,True,Real,,,Scam,,,Scam,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,,,,True,False,7/30/2022 7:21,7/30/2022 7:24,100.0,151.0,True,7/30/2022 7:24,R_3nUEmP0pj5aY7a1,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,3,0.0,4.0,0.0,Keep,False,False,24,False,70.0,W,E,16,25.0,0.0,625.0,4.248495242049359,False,True,True,True,False,0.0,8.0,1.2,2.625,4,1.0,6,1,2,3,3,3,3,0,0,2,4,1,2,1,2,4,5,1,True,True,False,True,True,True,False,True,False,False,True,60.0,75.0,75.0,0.0,33.33333333333333,100.0,60.0,60.0
7,2022-07-30 07:16:00,7/30/2022 7:18,100,93,True,7/30/2022 7:18,R_2ahiKIhzvFuAicr,,,Yes,,Safari,15.5,Macintosh,1440x900,Some,Frustrated,Most of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Once a month,,arm1_control,62bdbe823331cbd3bdf805a6,62bdbe823331cbd3bdf805a6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:18,7/30/2022 7:18,100.0,28.0,True,7/30/2022 7:18,R_1hAs9RphKhj067n,"Employed, working 1-29 hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Some college but no degree,20.0,Male,True,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Real,,,,,,True,False,7/30/2022 7:20,7/30/2022 7:21,100.0,113.0,True,7/30/2022 7:21,R_1lt0oFoT0IzrBGr,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,0,0.0,4.0,0.0,Keep,False,False,24,False,90.0,W,U,13,20.0,0.0,400.0,4.499809670330265,False,True,True,True,False,0.0,10.0,4.9,3.625,4,1.0,8,0,1,4,4,3,4,1,0,4,4,1,2,2,2,4,5,1,True,True,True,True,True,True,True,False,True,False,True,80.0,75.0,100.0,50.0,66.66666666666666,100.0,80.0,80.0
8,2022-07-30 07:18:00,7/30/2022 7:23,100,306,True,7/30/2022 7:23,R_31FdzzspcisCGNf,,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Some,Angry,Never,Government should do more to solve problems.,Slightly Disagree,Slightly Agree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Disagree,Agree,Slightly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Once a month,,arm2_generalinfo,5c0a22affe40eb00016262b6,5c0a22affe40eb00016262b6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:23,7/30/2022 7:25,100.0,82.0,True,7/30/2022 7:25,R_3HjC3i5n4vOVLhv,"Employed, working 1-29 hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,27.0,Female,True,Real,,,Scam,,Details,Real,,,Real,,,Real,,Details,Scam,,,Real,,Details,Scam,,,Real,,,Scam,,,True,True,7/30/2022 7:32,7/30/2022 7:33,100.0,88.0,True,7/30/2022 7:33,R_10x7RMGYq4kAt82,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Hardly ever,Often,"Yes, use the responses.",True,1,True,3,4.0,3.0,0.0,Keep,False,False,24,False,10.0,W,U,16,27.0,1.0,729.0,2.302585092994046,False,False,True,True,False,0.0,7.0,2.4,3.875,4,2.0,7,2,1,4,3,2,3,2,0,3,4,0,2,1,2,6,4,0,True,True,True,False,True,True,False,False,True,True,False,70.0,50.0,75.0,100.0,50.0,100.0,60.0,80.0
10,2022-07-30 07:21:00,7/30/2022 7:24,100,171,True,7/30/2022 7:24,R_2EsCxQLkohAe4Ol,,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Quite a lot,Basically content,Most of the time,Government is doing too many things better left to businesses and individuals.,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Never,,arm1_control,5d8a29c082fec30001d9c24a,5d8a29c082fec30001d9c24a,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/30/2022 7:24,7/30/2022 7:24,100.0,26.0,True,7/30/2022 7:24,R_1esgbvRJKXNCuex,"Not employed, looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",30.0,Male,True,Real,,,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,True,True,7/30/2022 7:27,7/30/2022 7:29,100.0,111.0,True,7/30/2022 7:29,R_1PbZZJFEM0IN6qI,Someone selling fraudulent goods or services,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,1,0.0,4.0,0.0,Keep,False,False,24,False,30.0,W,U,12,30.0,0.0,900.0,3.4011973816621555,False,False,True,True,False,0.0,11.0,4.9,1.375,1,1.0,7,3,0,5,2,2,3,2,0,5,2,1,1,2,1,8,2,0,True,False,True,True,True,False,False,True,True,True,False,70.0,50.0,75.0,100.0,83.33333333333334,50.0,40.0,100.0
