StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Employment,TotalIncome,Race,Education,Age_1,Gender,PID
8/10/2022 19:25,8/10/2022 19:26,IP Address,100,48,TRUE,8/10/2022 19:26,R_3n6oQX2BiHfwIZ4,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",19,Female,5ff4bac1d92c4a412a2c19a2
8/10/2022 19:33,8/10/2022 19:34,IP Address,100,87,TRUE,8/10/2022 19:34,R_2U3fhCPICJ4bP4z,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Some college but no degree,25,Male,5fba22a55e3daf97361fcd07
8/10/2022 19:34,8/10/2022 19:35,IP Address,100,64,TRUE,8/10/2022 19:35,R_6u6xm84Ugxq93SF,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,33,Female,5f49b686fc6fe952cf94d25d
8/10/2022 19:41,8/10/2022 19:41,IP Address,100,28,TRUE,8/10/2022 19:41,R_2dEYOFEt70bNany,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,21,Female,615142d2000fda80675923df
8/10/2022 19:42,8/10/2022 19:42,IP Address,100,35,TRUE,8/10/2022 19:42,R_30r55eTTpGJYLeM,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",Asian American or Asian,Bachelor degree,,Female,5e82d6d1f44676000a274347
8/10/2022 19:45,8/10/2022 19:45,IP Address,100,49,TRUE,8/10/2022 19:45,R_2rOTy4dNcHumW7M,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,54,Female,623484788ce4384a8618ea4a
8/10/2022 19:46,8/10/2022 19:46,IP Address,100,37,TRUE,8/10/2022 19:47,R_1PekNLLG2SeZeZq,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,27,Female,5a864d7caa46dd00016bae76
8/10/2022 19:47,8/10/2022 19:48,IP Address,100,30,TRUE,8/10/2022 19:48,R_rp5hXjQSMoGj2CZ,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,22,Female,60ffe5e2de461ed008e09d9e
8/10/2022 19:50,8/10/2022 19:51,IP Address,100,31,TRUE,8/10/2022 19:51,R_2z6kwkKJaMQ9dbQ,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,23,Female,61098fe06c36048d19f69629
8/10/2022 19:50,8/10/2022 19:51,IP Address,100,56,TRUE,8/10/2022 19:51,R_2y2vQxE5WAsRoeO,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,46,Female,5d1595d71ae42000191bc23c
8/10/2022 19:52,8/10/2022 19:52,IP Address,100,50,TRUE,8/10/2022 19:52,R_3NOrhxlYjmAV2hO,,,,,anonymous,EN,"Not employed, NOT looking for work","$20,000 - $39,999",Asian American or Asian,Some college but no degree,20,Female,5f338121e1ca2a19a97cd433
8/10/2022 19:54,8/10/2022 19:55,IP Address,100,38,TRUE,8/10/2022 19:55,R_UosFLcLaOGaJr6F,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999","White or Caucasian (Non-Hispanic),Asian American or Asian",Bachelor degree,34,Female,5dd731f816d10c6dc5f812b6
8/10/2022 19:56,8/10/2022 19:56,IP Address,100,20,TRUE,8/10/2022 19:56,R_1pEcR3qYHJf0ZcT,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",28,Male,6291395df95f13a81f5ea2dd
8/10/2022 19:57,8/10/2022 19:59,IP Address,100,71,TRUE,8/10/2022 19:59,R_3RmUgR1JVjocrUi,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",Asian American or Asian,Graduate or professional degree,33,Male,5e71538a5a6f13000be49db8
8/10/2022 19:59,8/10/2022 20:00,IP Address,100,35,TRUE,8/10/2022 20:00,R_POPngf4argcmWMF,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,32,Female,610789ba8948b4b6cdfd4907
8/10/2022 19:59,8/10/2022 20:01,IP Address,100,139,TRUE,8/10/2022 20:01,R_syU2S3aElXPeLFT,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",African American or African (Non-Hispanic),"High school degree or equivalent (e.g., GED)",42,Female,5f5e6cd10dad3d0e268e569f
8/10/2022 20:01,8/10/2022 20:01,IP Address,100,36,TRUE,8/10/2022 20:01,R_1LTLAq7hiEtv15W,,,,,anonymous,EN,"Disabled, not able to work","$0 - $19,999",White or Caucasian (Non-Hispanic),Some college but no degree,38,Male,5ab0a8f9c4e8f200014b5d81
