StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID
8/10/2022 19:23,8/10/2022 19:25,IP Address,100,154,TRUE,8/10/2022 19:25,R_2t3RfmzUvGxivmW,,,,,anonymous,EN,,Yes,,Safari iPhone,15.6,iPhone,414x896,Some,Basically content,Most of the time,Government should do more to solve problems.,Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Once a month,,arm1_control,5ff4bac1d92c4a412a2c19a2,5ff4bac1d92c4a412a2c19a2
8/10/2022 19:28,8/10/2022 19:31,IP Address,100,176,TRUE,8/10/2022 19:31,R_3Rz9tNODriDTmBR,,,,,anonymous,EN,,Yes,,Chrome iPhone,104.0.5112.71,iPhone,375x667,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Once a month,,arm4_interactive,5f49b686fc6fe952cf94d25d,5f49b686fc6fe952cf94d25d
8/10/2022 19:29,8/10/2022 19:33,IP Address,100,229,TRUE,8/10/2022 19:33,R_SPs7g10ZMx6QTHr,,,,,anonymous,EN,,Yes,,Firefox,64,Ubuntu,1366x768,None at all,Angry,Never,Government is doing too many things better left to businesses and individuals.,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,A few times a year,,arm1_control,5fba22a55e3daf97361fcd07,5fba22a55e3daf97361fcd07
8/10/2022 19:31,8/10/2022 19:37,IP Address,100,371,TRUE,8/10/2022 19:37,R_s7GkBRzffv7umlP,,,,,anonymous,EN,,Yes,,Safari iPhone,15.6,iPhone,375x667,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,A few times a year,,arm4_interactive,5a864d7caa46dd00016bae76,5a864d7caa46dd00016bae76
8/10/2022 19:39,8/10/2022 19:41,IP Address,100,115,TRUE,8/10/2022 19:41,R_eniQgjd5xnRZgNr,,,,,anonymous,EN,,Yes,,Opera,89.0.4447.64,Windows NT 10.0,2560x1440,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Disagree,Slightly Disagree,Slightly Agree,Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,A few times a year,,arm1_control,615142d2000fda80675923df,615142d2000fda80675923df
8/10/2022 19:38,8/10/2022 19:42,IP Address,100,220,TRUE,8/10/2022 19:42,R_Rgj0KhPLjAAppRf,,,,,anonymous,EN,,Yes,,Safari iPhone,15.6,iPhone,375x812,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Once a week,,arm4_interactive,623484788ce4384a8618ea4a,623484788ce4384a8618ea4a
8/10/2022 19:39,8/10/2022 19:42,IP Address,100,170,TRUE,8/10/2022 19:42,R_bQ1kpN5GzajQxVv,,,,,anonymous,EN,,Yes,,Safari,15.3,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,,arm1_control,5e82d6d1f44676000a274347,5e82d6d1f44676000a274347
8/10/2022 19:40,8/10/2022 19:44,IP Address,100,213,TRUE,8/10/2022 19:44,R_33EiqxDe3poNain,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Android 12,360x800,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Once a week,,arm4_interactive,60ffe5e2de461ed008e09d9e,60ffe5e2de461ed008e09d9e
8/10/2022 19:48,8/10/2022 19:50,IP Address,100,122,TRUE,8/10/2022 19:50,R_1PTNgDyaDsPxqfZ,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,414x896,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,arm1_control,61098fe06c36048d19f69629,61098fe06c36048d19f69629
8/10/2022 19:47,8/10/2022 19:50,IP Address,100,176,TRUE,8/10/2022 19:50,R_1JFQ4r1B51arAIn,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Windows NT 10.0,2560x1440,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Agree,Agree,Agree,Disagree,Slightly Disagree,Slightly Agree,Strongly Disagree,Agree,Agree,Agree,Slightly Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Once a month,,arm1_control,5d1595d71ae42000191bc23c,5d1595d71ae42000191bc23c
8/10/2022 19:48,8/10/2022 19:52,IP Address,100,196,TRUE,8/10/2022 19:52,R_3J7MlLdtnZzjbPz,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1739x979,None at all,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Agree,Agree,Agree,Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,A few times a week / Daily,,arm1_control,5f338121e1ca2a19a97cd433,5f338121e1ca2a19a97cd433
8/10/2022 19:48,8/10/2022 19:54,IP Address,100,345,TRUE,8/10/2022 19:54,R_Rgdx4qI9RwhglEJ,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Android 12,385x854,Some,Angry,Most of the time,Government should do more to solve problems.,Slightly Agree,,Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Once a month,,arm4_interactive,610789ba8948b4b6cdfd4907,610789ba8948b4b6cdfd4907
8/10/2022 19:52,8/10/2022 19:54,IP Address,100,134,TRUE,8/10/2022 19:54,R_3NUHfv3h2BQKsvG,,,,,anonymous,EN,,Yes,,Firefox,103,Windows NT 10.0,1920x1080,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Slightly Agree,Strongly Disagree,Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Slightly Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Once a month,,arm1_control,5dd731f816d10c6dc5f812b6,5dd731f816d10c6dc5f812b6
8/10/2022 19:51,8/10/2022 19:55,IP Address,100,277,TRUE,8/10/2022 19:55,R_2wmXyrPuCGLZ7mo,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,arm4_interactive,5e71538a5a6f13000be49db8,5e71538a5a6f13000be49db8
8/10/2022 19:51,8/10/2022 19:56,IP Address,100,298,TRUE,8/10/2022 19:56,R_3CHntSQRmceXIab,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Windows NT 10.0,2560x1080,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm4_interactive,5f79809ea692be01b666c74a,5f79809ea692be01b666c74a
8/10/2022 19:54,8/10/2022 19:56,IP Address,100,99,TRUE,8/10/2022 19:56,R_cImyAlmpvbQcOJj,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1366x768,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,A few times a year,,arm1_control,6291395df95f13a81f5ea2dd,6291395df95f13a81f5ea2dd
8/10/2022 19:48,8/10/2022 19:59,IP Address,100,623,TRUE,8/10/2022 19:59,R_1IsWZAURKW2J9lm,,,,,anonymous,EN,,Yes,,Chrome,103.0.5060.134,Windows NT 10.0,1280x720,Very little,Basically content,Only some of the time,Government is doing too many things better left to businesses and individuals.,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Once a month,,arm1_control,5f5e6cd10dad3d0e268e569f,5f5e6cd10dad3d0e268e569f
8/10/2022 19:53,8/10/2022 20:00,IP Address,100,394,TRUE,8/10/2022 20:00,R_3DcK8xbmkvP6MIv,,,,,anonymous,EN,,Yes,,Safari iPhone,15.6,iPhone,375x812,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm4_interactive,614f3724aa07723253829250,614f3724aa07723253829250
8/10/2022 19:58,8/10/2022 20:01,IP Address,100,164,TRUE,8/10/2022 20:01,R_1DZjSGQv7lc4fq0,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Android 10,424x848,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Agree,Slightly Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Agree,Slightly Agree,A few times a year,,arm1_control,5ab0a8f9c4e8f200014b5d81,5ab0a8f9c4e8f200014b5d81
8/10/2022 19:46,8/10/2022 20:01,IP Address,100,864,TRUE,8/10/2022 20:01,R_2TpCVSQvsbvCGrF,,,,,anonymous,EN,,Yes,,Chrome,99.0.4844.88,Android 12,385x854,Very little,Angry,Only some of the time,Government should do more to solve problems.,Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Agree,A few times a year,,arm1_control,5e2e002111e6fc000bf563fc,5e2e002111e6fc000bf563fc
8/10/2022 19:53,8/10/2022 20:01,IP Address,100,499,TRUE,8/10/2022 20:01,R_2U9ksfwl3H1MGZ3,,,,,anonymous,EN,,Yes,,Edge,103.0.1264.49,Windows NT 10.0,1366x768,Very little,Frustrated,Never,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Agree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Once a week,,arm4_interactive,60ff2fba1d8a372fa630afa3,60ff2fba1d8a372fa630afa3
8/10/2022 19:56,8/10/2022 20:01,IP Address,100,286,TRUE,8/10/2022 20:01,R_125zwxTFrTgBCsn,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1366x768,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Once a month,,arm4_interactive,6108e0f394ea82edc8b1884a,6108e0f394ea82edc8b1884a
8/10/2022 19:48,8/10/2022 20:02,IP Address,100,828,TRUE,8/10/2022 20:02,R_2zGs0RBTuyR25m5,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Very little,Angry,Never,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Strongly Disagree,Slightly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm4_interactive,60c12c0450fc37e8e2fd0e99,60c12c0450fc37e8e2fd0e99
8/10/2022 20:00,8/10/2022 20:02,IP Address,100,155,TRUE,8/10/2022 20:02,R_325dSlaRTH8DrPs,,,,,anonymous,EN,,Yes,,Edge,104.0.1293.47,Windows NT 10.0,1440x900,Some,Basically content,Most of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Once a week,,arm1_control,5e40c6d2aa21c630069197ea,5e40c6d2aa21c630069197ea
8/10/2022 19:59,8/10/2022 20:03,IP Address,100,224,TRUE,8/10/2022 20:03,R_1P6r0R5cd9GLJUi,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Android 12,412x915,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Once a month,,arm4_interactive,62f18a81b0ea9de9d3afe89e,62f18a81b0ea9de9d3afe89e
8/10/2022 20:01,8/10/2022 20:04,IP Address,100,167,TRUE,8/10/2022 20:04,R_3kjQRuED8i7k3Y3,,,,,anonymous,EN,,Yes,,Safari,15.6,Macintosh,1512x982,Quite a lot,Frustrated,Most of the time,Government is doing too many things better left to businesses and individuals.,Agree,Slightly Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Slightly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,A few times a week / Daily,,arm1_control,62db75296ae2aad4c57a9eb8,62db75296ae2aad4c57a9eb8
8/10/2022 20:01,8/10/2022 20:04,IP Address,100,148,TRUE,8/10/2022 20:04,R_WClhUDbd1OA3X3P,,,,,anonymous,EN,,Yes,,Chrome,101.0.4951.64,Macintosh,1440x900,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm1_control,61116b456808a7f913285600,61116b456808a7f913285600
8/10/2022 20:02,8/10/2022 20:04,IP Address,100,147,TRUE,8/10/2022 20:04,R_2QYBfXFlyADfQOG,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1366x768,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,arm4_interactive,5f6eab3fe024d03f963a0ae2,5f6eab3fe024d03f963a0ae2
8/10/2022 19:56,8/10/2022 20:06,IP Address,100,569,TRUE,8/10/2022 20:06,R_3kL1QVVxRWJ9kNC,,,,,anonymous,EN,,Yes,,Edge,104.0.1293.47,Windows NT 10.0,1600x900,Some,Frustrated,Most of the time,Government should do more to solve problems.,Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Agree,Slightly Agree,Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm4_interactive,62d458437af301fdbda37ebf,62d458437af301fdbda37ebf
8/10/2022 20:06,8/10/2022 20:09,IP Address,100,172,TRUE,8/10/2022 20:09,R_1f0EG9nTNktZt3D,,,,,anonymous,EN,,Yes,,Chrome iPhone,93.0.4577.78,iPhone,375x667,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,,arm1_control,5e6a34ed08a6ec0a7f75df79,5e6a34ed08a6ec0a7f75df79
8/10/2022 20:05,8/10/2022 20:09,IP Address,100,255,TRUE,8/10/2022 20:09,R_23TY0HgpqKb28Iw,,,,,anonymous,EN,,Yes,,Chrome iPhone,104.0.5112.88,iPhone,428x926,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Slightly Agree,Strongly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,arm4_interactive,60b7d18beb67181cd97d7ac5,60b7d18beb67181cd97d7ac5
8/10/2022 20:07,8/10/2022 20:10,IP Address,100,179,TRUE,8/10/2022 20:10,R_2zptQlhMNEtRJom,,,,,anonymous,EN,,Yes,,Chrome,96.0.4664.104,Android 9,412x846,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Once a week,,arm1_control,62f2fcb8232d903d57e64e0f,62f2fcb8232d903d57e64e0f
8/10/2022 20:07,8/10/2022 20:10,IP Address,100,203,TRUE,8/10/2022 20:10,R_3HOn5mqDqNguhj2,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1920x1080,Some,Angry,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Once a week,,arm4_interactive,5c297e03da51990001e341d1,5c297e03da51990001e341d1
