,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB,incomeAmount,race5,employment3,educYears,ageYears,genderI,ageYearsSq,lIncomeAmount,fraudExperience_SSA,fraudExperience_Govt,fraudExperience_Biz,fraudExperience_YN,fraudLoss_YN,fraudLoss_Amount,GovtConfScore,TrustInSSAScore,TrustInInternetScore,OnlineShoppingScore,LonelyScore,numCorrect,numFakeLabeledReal,numRealLabeledFake,numRealLabeledReal,numFakeLabeledFake,numEmailsCorrect,numWebsitesCorrect,numLettersCorrect,numSMSesCorrect,numCorrect_Govt,numCorrect_Biz,numEmailsCorrect_Govt,numEmailsCorrect_Biz,numWebsitesCorrect_Govt,numWebsitesCorrect_Biz,numLabeledReal,numLabeledFake,numNoAnswer,Correct_WalmartProduct,Correct_RedCross,Correct_SSA_HP,Correct_mySSA,Correct_AmazonDeliveryDelay,Correct_FB_SSA,Correct_ssa_optout,Correct_replacementCard,Correct_medicareReview,Correct_benefitsSuspension,droppedFinalQuestion,percentCorrect,percentCorrect_Email,percentCorrect_Web,percentCorrect_Letter,percentCorrect_Govt,percentCorrect_Biz,percentCorrect_Scam,percentCorrect_Real
0,2022-08-10 19:23:00,8/10/2022 19:25,IP Address,100,154,True,8/10/2022 19:25,R_2t3RfmzUvGxivmW,,,,,anonymous,EN,,Yes,,Safari iPhone,15.6,iPhone,414x896,Some,Basically content,Most of the time,Government should do more to solve problems.,Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Once a month,,arm1_control,5ff4bac1d92c4a412a2c19a2,5ff4bac1d92c4a412a2c19a2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/10/2022 19:25,8/10/2022 19:26,IP Address,100,48,True,8/10/2022 19:26,R_3n6oQX2BiHfwIZ4,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",19.0,Female,True,Real,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,True,True,8/10/2022 19:29,8/10/2022 19:30,IP Address,100,71,True,8/10/2022 19:30,R_C2m5KoebFaVFbY5,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,Not Sure,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,0,2,2,0,Keep,False,False,24,False,10,W,E,12,19.0,1,361.0,2.302585092994046,False,False,True,True,False,0.0,11,5.8,3.875,4,2.0,7,3,0,5,2,2,4,1,0,4,3,1,1,2,2,8,2,0,True,False,True,True,True,True,False,True,True,False,False,70.0,50.0,100.0,50.0,66.66666666666666,75.0,40.0,100.0
1,2022-08-10 19:28:00,8/10/2022 19:31,IP Address,100,176,True,8/10/2022 19:31,R_3Rz9tNODriDTmBR,,,,,anonymous,EN,,Yes,,Chrome iPhone,104.0.5112.71,iPhone,375x667,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Once a month,,arm4_interactive,5f49b686fc6fe952cf94d25d,5f49b686fc6fe952cf94d25d,3,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,8/10/2022 19:34,8/10/2022 19:35,IP Address,100,64,True,8/10/2022 19:35,R_6u6xm84Ugxq93SF,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,33.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Scam,,,True,True,8/10/2022 19:38,8/10/2022 19:39,IP Address,100,54,True,8/10/2022 19:39,R_248xpLiM6CPt2a1,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,1,3,1,0,Keep,False,False,24,False,60,W,U,18,33.0,1,1089.0,4.0943445622221,False,False,True,True,False,0.0,9,4.2,3.375,4,2.0,9,0,1,4,5,4,4,1,0,5,4,2,2,2,2,4,6,0,True,True,True,True,True,True,True,True,False,True,False,90.0,100.0,100.0,50.0,83.33333333333334,100.0,100.0,80.0
2,2022-08-10 19:29:00,8/10/2022 19:33,IP Address,100,229,True,8/10/2022 19:33,R_SPs7g10ZMx6QTHr,,,,,anonymous,EN,,Yes,,Firefox,64,Ubuntu,1366x768,None at all,Angry,Never,Government is doing too many things better left to businesses and individuals.,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,A few times a year,,arm1_control,5fba22a55e3daf97361fcd07,5fba22a55e3daf97361fcd07,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/10/2022 19:33,8/10/2022 19:34,IP Address,100,87,True,8/10/2022 19:34,R_2U3fhCPICJ4bP4z,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Some college but no degree,25.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Scam,,,True,True,8/10/2022 19:38,8/10/2022 19:39,IP Address,100,88,True,8/10/2022 19:39,R_22REMhSGdjTecYf,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,2,4,3,0,Keep,False,False,24,False,10,W,E,13,25.0,0,625.0,2.302585092994046,False,True,True,True,False,0.0,4,1.0,,3,2.0,9,0,1,4,5,4,4,1,0,5,4,2,2,2,2,4,6,0,True,True,True,True,True,True,True,True,False,True,False,90.0,100.0,100.0,50.0,83.33333333333334,100.0,100.0,80.0
3,2022-08-10 19:31:00,8/10/2022 19:37,IP Address,100,371,True,8/10/2022 19:37,R_s7GkBRzffv7umlP,,,,,anonymous,EN,,Yes,,Safari iPhone,15.6,iPhone,375x667,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,A few times a year,,arm4_interactive,5a864d7caa46dd00016bae76,5a864d7caa46dd00016bae76,3,0,Real,,,Real,,,Scam,,Details,Real,,,Real,,,Scam,Click,,Real,,Details,Scam,,Details,True,True,8/10/2022 19:46,8/10/2022 19:46,IP Address,100,37,True,8/10/2022 19:47,R_1PekNLLG2SeZeZq,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,27.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,True,True,8/10/2022 19:54,8/10/2022 19:55,IP Address,100,69,True,8/10/2022 19:55,R_Dq4MKjxo2RfDtTz,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Some of the time,Some of the time,Often,"Yes, use the responses.",True,1,True,3,1,2,0,Keep,False,False,24,False,30,W,E,16,27.0,1,729.0,3.4011973816621555,True,True,True,True,False,0.0,9,3.9,3.5,3,2.3333333333333335,9,1,0,5,4,4,3,2,0,6,3,2,2,2,1,6,4,0,True,True,True,True,True,False,True,True,True,True,False,90.0,100.0,75.0,100.0,100.0,75.0,80.0,100.0
5,2022-08-10 19:38:00,8/10/2022 19:42,IP Address,100,220,True,8/10/2022 19:42,R_Rgj0KhPLjAAppRf,,,,,anonymous,EN,,Yes,,Safari iPhone,15.6,iPhone,375x812,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Once a week,,arm4_interactive,623484788ce4384a8618ea4a,623484788ce4384a8618ea4a,3,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,8/10/2022 19:45,8/10/2022 19:45,IP Address,100,49,True,8/10/2022 19:45,R_2rOTy4dNcHumW7M,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,54.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,,Real,,,Scam,,,True,True,8/10/2022 19:49,8/10/2022 19:50,IP Address,100,57,True,8/10/2022 19:50,R_3G8uEVbFmx0foFq,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,2,2,1,0,Keep,False,False,24,False,125,W,E,18,54.0,1,2916.0,4.8283137373023015,False,True,True,True,False,0.0,8,5.2,4.875,5,1.0,8,2,0,5,3,3,3,2,0,5,3,1,2,2,1,7,3,0,True,True,True,True,True,False,False,True,True,True,False,80.0,75.0,75.0,100.0,83.33333333333334,75.0,60.0,100.0
4,2022-08-10 19:39:00,8/10/2022 19:41,IP Address,100,115,True,8/10/2022 19:41,R_eniQgjd5xnRZgNr,,,,,anonymous,EN,,Yes,,Opera,89.0.4447.64,Windows NT 10.0,2560x1440,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Disagree,Slightly Disagree,Slightly Agree,Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,A few times a year,,arm1_control,615142d2000fda80675923df,615142d2000fda80675923df,0,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/10/2022 19:41,8/10/2022 19:41,IP Address,100,28,True,8/10/2022 19:41,R_2dEYOFEt70bNany,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,21.0,Female,True,Real,,,Real,,,Real,Click,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,8/10/2022 19:43,8/10/2022 19:44,IP Address,100,61,True,8/10/2022 19:44,R_xr0RsZVYRpZ8gvf,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Yes,1000.0,Yes,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,0,0,1,0,Keep,False,False,24,False,30,W,E,13,21.0,1,441.0,3.4011973816621555,True,True,True,True,True,1000.0,8,2.0,2.75,3,2.0,7,1,2,3,4,2,4,1,0,4,3,1,1,2,2,4,6,0,True,False,True,True,True,True,True,False,False,True,False,70.0,50.0,100.0,50.0,66.66666666666666,75.0,80.0,60.0
6,2022-08-10 19:39:00,8/10/2022 19:42,IP Address,100,170,True,8/10/2022 19:42,R_bQ1kpN5GzajQxVv,,,,,anonymous,EN,,Yes,,Safari,15.3,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,,arm1_control,5e82d6d1f44676000a274347,5e82d6d1f44676000a274347,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/10/2022 19:42,8/10/2022 19:42,IP Address,100,35,True,8/10/2022 19:42,R_30r55eTTpGJYLeM,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",Asian American or Asian,Bachelor degree,,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,Scam,,,True,True,8/10/2022 19:45,8/10/2022 19:46,IP Address,100,52,True,8/10/2022 19:46,R_3CbFRGvuTy0prCF,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Often,Some of the time,Often,"Yes, use the responses.",True,1,True,1,1,0,0,Keep,False,False,24,False,30,A,E,16,,1,,3.4011973816621555,False,False,True,True,False,0.0,9,4.1,3.0,3,2.6666666666666665,8,1,1,4,4,4,3,1,0,5,3,2,2,2,1,5,5,0,True,True,True,True,True,False,True,True,False,True,False,80.0,100.0,75.0,50.0,83.33333333333334,75.0,80.0,80.0
7,2022-08-10 19:40:00,8/10/2022 19:44,IP Address,100,213,True,8/10/2022 19:44,R_33EiqxDe3poNain,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Android 12,360x800,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Once a week,,arm4_interactive,60ffe5e2de461ed008e09d9e,60ffe5e2de461ed008e09d9e,4,0,Real,,Details,Real,,,Scam,Click,Details,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,8/10/2022 19:47,8/10/2022 19:48,IP Address,100,30,True,8/10/2022 19:48,R_rp5hXjQSMoGj2CZ,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,22.0,Female,True,Real,,,Real,,Details,Real,,,Real,,,Real,,Details,Real,,,Real,,Details,Real,,Details,Scam,,,Scam,,,True,True,8/10/2022 19:51,8/10/2022 19:52,IP Address,100,56,True,8/10/2022 19:52,R_24GYZPfpt5zVDF8,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True,2,0,1,0,Keep,False,False,24,False,60,W,E,16,22.0,1,484.0,4.0943445622221,False,True,True,True,False,0.0,8,4.5,3.75,5,1.3333333333333333,5,4,1,4,1,2,2,1,0,3,2,1,1,1,1,8,2,0,True,False,True,False,True,False,False,True,False,True,False,50.0,50.0,50.0,50.0,50.0,50.0,20.0,80.0
19,2022-08-10 19:46:00,8/10/2022 20:01,IP Address,100,864,True,8/10/2022 20:01,R_2TpCVSQvsbvCGrF,,,,,anonymous,EN,,Yes,,Chrome,99.0.4844.88,Android 12,385x854,Very little,Angry,Only some of the time,Government should do more to solve problems.,Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Agree,A few times a year,,arm1_control,5e2e002111e6fc000bf563fc,5e2e002111e6fc000bf563fc,3,2,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/10/2022 20:01,8/10/2022 20:02,IP Address,100,51,True,8/10/2022 20:02,R_1qXujCp5CBKd41d,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,54.0,Female,True,Real,,,Real,Click,Details,Real,Click,,Real,,,Real,,Details,Scam,,,Real,,Details,Real,,,Real,,,Scam,,,True,True,8/10/2022 20:09,8/10/2022 20:11,IP Address,100,124,True,8/10/2022 20:11,R_OMRg1m2SlEOOvG9,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't)",No,,No,No,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,4,2,4,0,Keep,False,False,24,False,30,W,E,13,54.0,1,2916.0,3.4011973816621555,True,True,False,True,False,0.0,7,5.3,4.0,3,1.3333333333333333,7,3,0,5,2,2,3,2,0,4,3,1,1,1,2,8,2,0,True,False,True,False,True,True,False,True,True,True,False,70.0,50.0,75.0,100.0,66.66666666666666,75.0,40.0,100.0
9,2022-08-10 19:47:00,8/10/2022 19:50,IP Address,100,176,True,8/10/2022 19:50,R_1JFQ4r1B51arAIn,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Windows NT 10.0,2560x1440,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Agree,Agree,Agree,Disagree,Slightly Disagree,Slightly Agree,Strongly Disagree,Agree,Agree,Agree,Slightly Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Once a month,,arm1_control,5d1595d71ae42000191bc23c,5d1595d71ae42000191bc23c,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/10/2022 19:50,8/10/2022 19:51,IP Address,100,56,True,8/10/2022 19:51,R_2y2vQxE5WAsRoeO,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,46.0,Female,True,Real,,,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,True,True,8/10/2022 19:57,8/10/2022 19:58,IP Address,100,53,True,8/10/2022 19:58,R_2OOvJPOnB6C9Iqv,,,,,anonymous,EN,"Someone claiming to be from the company where you work (but wasn't),Someone selling fraudulent goods or services,Other",No,,Yes,No,Some of the time,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True,1,3,0,0,Keep,False,False,24,False,70,W,E,16,46.0,1,2116.0,4.248495242049359,False,False,True,True,False,0.0,8,5.0,5.625,4,1.6666666666666667,7,3,0,5,2,2,3,2,0,5,2,1,1,2,1,8,2,0,True,False,True,True,True,False,False,True,True,True,False,70.0,50.0,75.0,100.0,83.33333333333334,50.0,40.0,100.0
