StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Employment,TotalIncome,Race,Education,Age_1,Gender,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,KeepResponse,PID
8/14/2022 16:13,8/14/2022 16:15,IP Address,100,143,TRUE,8/14/2022 16:15,R_6ide6retn45qKeB,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999",Hispanic,Some college but no degree,44,Male,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,Yes,No,"Yes, use the responses.",62e8db6f495d93a29697bfc5
8/14/2022 16:18,8/14/2022 16:19,IP Address,100,74,TRUE,8/14/2022 16:19,R_da0QrW5QxgTtceB,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,30,Female,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,"Yes, use the responses.",592d00d3b885e8000191bc39
8/14/2022 16:19,8/14/2022 16:20,IP Address,100,67,TRUE,8/14/2022 16:20,R_Caz6o58eLp2CDhT,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999","White or Caucasian (Non-Hispanic),Asian American or Asian",Some college but no degree,28,Male,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,Yes,"Yes, use the responses.",62f817bf9a82e485208c0dae
8/14/2022 16:20,8/14/2022 16:22,IP Address,100,113,TRUE,8/14/2022 16:22,R_1l490z3CMVJmPur,,,,,anonymous,EN,"Not employed, looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",35,Female,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,"Yes, use the responses.",5f5d686b73b8275cd43f2e8e
8/14/2022 16:22,8/14/2022 16:23,IP Address,100,79,TRUE,8/14/2022 16:23,R_24iO1Miikmq0Ly9,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,51,Female,Someone selling fraudulent goods or services,No,,No,No,"Yes, use the responses.",5be8eb4d40b06b0001372c77
8/14/2022 16:09,8/14/2022 16:24,IP Address,100,912,TRUE,8/14/2022 16:24,R_3oTGP3LjO8A7oLe,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",African American or African (Non-Hispanic),Graduate or professional degree,59,Male,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Yes,100,Yes,Yes,"Yes, use the responses.",62dd7568b19e505bb6b46ec9
8/14/2022 16:23,8/14/2022 16:24,IP Address,100,87,TRUE,8/14/2022 16:24,R_2TFNICNt6eOohcl,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999","White or Caucasian (Non-Hispanic),Hispanic",Some college but no degree,38,Female,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,"Yes, use the responses.",6111e37fe81d1932ae8de5e8
8/14/2022 16:24,8/14/2022 16:25,IP Address,100,73,TRUE,8/14/2022 16:25,R_2Bh40liwcHcFXFV,,,,,anonymous,EN,"Not employed, looking for work","$100,000 - $149,999",Asian American or Asian,Bachelor degree,40,Female,,,,,Yes,"Yes, use the responses.",60fcfce36f95b06cbe038fca
8/14/2022 16:24,8/14/2022 16:25,IP Address,100,88,TRUE,8/14/2022 16:25,R_1qa2OH59E2KvwLW,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,26,Female,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,"Yes, use the responses.",6175b0ddd46446a6335f0a3e
8/14/2022 16:25,8/14/2022 16:26,IP Address,100,114,TRUE,8/14/2022 16:26,R_3MDnGQgm3NJmMpO,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$20,000 - $39,999",Asian American or Asian,Some college but no degree,24,Male,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,"Yes, use the responses.",5ec1ba7ad1e98a5ef21513ea
