StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,surveyArm,PROLIFIC_PID,PID
8/14/2022 16:07,8/14/2022 16:13,IP Address,100,332,TRUE,8/14/2022 16:13,R_pnHnKg6P6KLCtcB,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1366x768,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Disagree,A few times a week / Daily,arm1_control,62e8db6f495d93a29697bfc5,62e8db6f495d93a29697bfc5
8/14/2022 16:21,8/14/2022 16:24,IP Address,100,163,TRUE,8/14/2022 16:24,R_3EYFRux972vfoLi,,,,,anonymous,EN,Yes,,Chrome,103.0.0.0,Macintosh,1512x982,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Strongly Agree,Agree,Slightly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,A few times a week / Daily,arm1_control,60fcfce36f95b06cbe038fca,60fcfce36f95b06cbe038fca
8/14/2022 16:21,8/14/2022 16:24,IP Address,100,157,TRUE,8/14/2022 16:24,R_rlF3zfNeAxuZu0N,,,,,anonymous,EN,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,arm1_control,6175b0ddd46446a6335f0a3e,6175b0ddd46446a6335f0a3e
8/14/2022 16:24,8/14/2022 16:27,IP Address,100,184,TRUE,8/14/2022 16:27,R_2uvts5sH3Oo683X,,,,,anonymous,EN,Yes,,Safari iPhone,15.4,iPhone,375x812,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Disagree,A few times a year,arm1_control,614e0b3ee93e8fc461c3c266,614e0b3ee93e8fc461c3c266
8/14/2022 16:28,8/14/2022 16:33,IP Address,100,324,TRUE,8/14/2022 16:33,R_3Dnz9qUgDXI9Y7A,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1366x768,None at all,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Slightly Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Disagree,A few times a year,arm1_control,6079ff1600ff2b7455e1c3e0,6079ff1600ff2b7455e1c3e0
8/14/2022 16:34,8/14/2022 16:36,IP Address,100,128,TRUE,8/14/2022 16:36,R_27HdSFCxcq6nRKy,,,,,anonymous,EN,Yes,,Safari iPhone,15.4,iPhone,375x812,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Agree,Slightly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Once a month,arm1_control,5cbf87e2a4f6cd000172a1ec,5cbf87e2a4f6cd000172a1ec
8/14/2022 16:35,8/14/2022 16:39,IP Address,100,219,TRUE,8/14/2022 16:39,R_26nzpRlhLuEK6Sk,,,,,anonymous,EN,Yes,,Chrome iPhone,85.0.4183.109,iPhone,375x667,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Agree,Agree,Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,A few times a week / Daily,arm1_control,5fbc23920d22730b85393ead,5fbc23920d22730b85393ead
8/14/2022 16:39,8/14/2022 16:41,IP Address,100,147,TRUE,8/14/2022 16:41,R_1C9fhWDYzCzZiu4,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,2560x1080,None at all,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Strongly Agree,Disagree,Slightly Agree,Disagree,Slightly Agree,Agree,Agree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,A few times a week / Daily,arm1_control,6033a745a39025078ff19a17,6033a745a39025078ff19a17
8/14/2022 16:43,8/14/2022 16:46,IP Address,100,144,TRUE,8/14/2022 16:46,R_BRMeCGCYwSIUvbr,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Linux x86_64,1440x900,Some,Angry,Never,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Agree,Agree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Once a month,arm1_control,59eb4fb0d838ae0001850e4f,59eb4fb0d838ae0001850e4f
8/14/2022 16:43,8/14/2022 16:47,IP Address,100,235,TRUE,8/14/2022 16:47,R_1DHyZ6lgvi2Rx1e,,,,,anonymous,EN,Yes,,Chrome,103.0.0.0,Macintosh,1280x720,Some,Basically content,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,arm1_control,5e880ca3f2ece749db94ccc7,5e880ca3f2ece749db94ccc7
