,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB
2697,2022-08-03 06:26:00,8/3/2022 6:28,IP Address,100,135,True,8/3/2022 6:28,R_2VlQFD37G0NBUUK,,,,,anonymous,EN,Yes,,,Chrome iPhone,103.0.5060.63,iPhone,375x812,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Once a week,B319663,arm2_generalinfo,,B319663,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 6:28,8/3/2022 6:29,IP Address,100.0,27.0,True,8/3/2022 6:29,R_2xDi25CGOq3vXTi,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,35.0,Female,True,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,,,,True,False,8/3/2022 6:32,8/3/2022 6:32,IP Address,100.0,36.0,True,8/3/2022 6:32,R_yKoilRn2hxGnMrL,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,Yes,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,1,0.0,0.0,0.0,Keep,False,False,7,True
2698,2022-08-03 06:31:00,8/3/2022 6:32,IP Address,100,55,True,8/3/2022 6:32,R_1OSTs43tAOl8qEC,,,,,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B864104,notSet,,B864104,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,1,True,0,,,,No to Consent: First Survey,False,,7,True
2699,2022-08-03 06:32:00,8/3/2022 6:33,IP Address,100,41,True,8/3/2022 6:33,R_1DqWBtj9JPNEgxV,,,,,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B933336,notSet,,B933336,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,1,True,0,,,,No to Consent: First Survey,False,,7,True
2701,2022-08-03 06:37:00,8/3/2022 6:47,IP Address,100,609,True,8/3/2022 6:47,R_3PuXnqyhM2JoxwI,,,,,anonymous,EN,Yes,,,Chrome,92.0.4515.131,Android 11,432x960,Some,Basically content,Most of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Once a month,B403759,arm3_tips,,B403759,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 6:47,8/3/2022 6:48,IP Address,100.0,57.0,True,8/3/2022 6:48,R_3rYg0SDIG0WXZeU,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",African American or African (Non-Hispanic),Bachelor degree,72.0,Female,True,Real,,,Real,,,Real,,,Scam,,,Real,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,False,1,True,4,1.0,,,Incomplete: Third Survey,False,,7,True
2700,2022-08-03 06:41:00,8/3/2022 6:42,IP Address,100,68,True,8/3/2022 6:42,R_spPBOYmDV9Vnb7H,,,,,anonymous,EN,Yes,,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Slightly Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Strongly Agree,Slightly Agree,,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,,Neither Agree nor Disagree,Once a week,B929989,arm1_control,,B929989,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 6:42,8/3/2022 6:42,IP Address,100.0,23.0,True,8/3/2022 6:42,R_1Gy2wfYMXoS9FM7,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",52.0,Female,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,1,True,0,0.0,,,Incomplete: Third Survey,False,,7,True
2702,2022-08-03 06:43:00,8/3/2022 6:50,IP Address,100,430,True,8/3/2022 6:50,R_2XguZ6tvzvToRK2,,,,,anonymous,EN,Yes,,,Chrome,103.0.0.0,Android 12,360x780,None at all,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Slightly Agree,Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,B614615,arm4_interactive,,B614615,0,0,Real,,,Real,Click,,Scam,,,Real,,,Scam,Click,,Scam,,,Real,Click,,Real,Click,,True,True,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,1,True,3,,,,Incomplete: Third Survey,False,,7,True
2705,2022-08-03 06:54:00,8/3/2022 7:02,IP Address,100,456,True,8/3/2022 7:02,R_1gkmg5bqfugraoQ,,,,,anonymous,EN,Yes,,,Safari iPhone,15.6,iPhone,375x812,Quite a lot,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Strongly Disagree,Strongly Disagree,Agree,Slightly Agree,Strongly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Once a month,B337874,arm3_tips,,B337874,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 7:02,8/3/2022 7:03,IP Address,100.0,100.0,True,8/3/2022 7:03,R_PU3BhpdSvVnfKBX,,,,,anonymous,EN,Retired,,White or Caucasian (Non-Hispanic),Graduate or professional degree,73.0,Male,True,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,,,,True,False,8/3/2022 7:10,8/3/2022 7:13,IP Address,100.0,160.0,True,8/3/2022 7:13,R_28U8E4A56aHFOkg,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,Yes,Not Sure,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,4,3.0,4.0,0.0,Keep,False,False,7,True
2703,2022-08-03 06:55:00,8/3/2022 6:59,IP Address,100,241,True,8/3/2022 6:59,R_3g8eyEioWdXA7l5,,,,,anonymous,EN,Yes,,,Safari iPad,15.6,iPad,744x1133,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Slightly Agree,Strongly Disagree,Once a week,B802403,arm2_generalinfo,,B802403,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 6:59,8/3/2022 7:00,IP Address,100.0,58.0,True,8/3/2022 7:00,R_3qe5k9EAsQ1wPoo,,,,,anonymous,EN,Retired,,White or Caucasian (Non-Hispanic),Bachelor degree,65.0,Female,True,Real,,,Scam,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,False,1,True,2,1.0,,,Incomplete: Third Survey,False,,7,True
2704,2022-08-03 06:59:00,8/3/2022 6:59,IP Address,100,35,True,8/3/2022 6:59,R_DuYVRmzbuXKJAfT,,,,,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B651704,notSet,,B651704,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,1,True,0,,,,No to Consent: First Survey,False,,7,True
2706,2022-08-03 07:02:00,8/3/2022 7:06,IP Address,100,231,True,8/3/2022 7:06,R_3hiO7NXAtZ0OA2M,,,,,anonymous,EN,Yes,,,Safari iPhone,15.5,iPhone,390x844,Very little,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Disagree,Slightly Agree,Agree,Strongly Disagree,Slightly Agree,Strongly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Disagree,Slightly Disagree,Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,A few times a week / Daily,B974621,arm1_control,,B974621,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 7:06,8/3/2022 7:07,IP Address,100.0,42.0,True,8/3/2022 7:07,R_SJHikkDO1bNEket,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,38.0,Female,True,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,,,,True,False,8/3/2022 7:11,8/3/2022 7:12,IP Address,100.0,73.0,True,8/3/2022 7:12,R_1mPK4JMU8ehpEiq,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,2,0.0,1.0,0.0,Keep,False,False,7,True
