StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,surveyArm,PROLIFIC_PID,PID
8/14/2022 16:05,8/14/2022 16:09,IP Address,100,236,TRUE,8/14/2022 16:09,R_1N81d73B0wL1fXs,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1280x720,Quite a lot,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Agree,Slightly Disagree,Slightly Agree,A few times a week / Daily,arm2_generalinfo,62dd7568b19e505bb6b46ec9,62dd7568b19e505bb6b46ec9
8/14/2022 16:07,8/14/2022 16:13,IP Address,100,332,TRUE,8/14/2022 16:13,R_pnHnKg6P6KLCtcB,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1366x768,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Disagree,A few times a week / Daily,arm1_control,62e8db6f495d93a29697bfc5,62e8db6f495d93a29697bfc5
8/14/2022 16:05,8/14/2022 16:14,IP Address,100,539,TRUE,8/14/2022 16:14,R_3E9ZiPxTMUykne0,,,,,anonymous,EN,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Very little,Angry,Never,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Disagree,Slightly Disagree,Agree,Disagree,Neither Agree nor Disagree,Slightly Agree,Disagree,Disagree,Slightly Agree,Slightly Disagree,Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,arm4_interactive,5f5d686b73b8275cd43f2e8e,5f5d686b73b8275cd43f2e8e
8/14/2022 16:16,8/14/2022 16:18,IP Address,100,113,TRUE,8/14/2022 16:18,R_veHSOsdAw72C9ON,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1366x768,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,A few times a week / Daily,arm3_tips,592d00d3b885e8000191bc39,592d00d3b885e8000191bc39
8/14/2022 16:15,8/14/2022 16:19,IP Address,100,191,TRUE,8/14/2022 16:19,R_1jqywPltBZKMX1d,,,,,anonymous,EN,Yes,,Edge,104.0.1293.54,Windows NT 10.0,1920x1080,Quite a lot,Frustrated,Never,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Once a month,arm2_generalinfo,62f817bf9a82e485208c0dae,62f817bf9a82e485208c0dae
8/14/2022 16:17,8/14/2022 16:20,IP Address,100,181,TRUE,8/14/2022 16:20,R_3qQnvmiX7rjXl2r,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,CrOS x86_64 14909.100.0,1226x817,Some,Angry,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,arm4_interactive,6111e37fe81d1932ae8de5e8,6111e37fe81d1932ae8de5e8
8/14/2022 16:19,8/14/2022 16:22,IP Address,100,185,TRUE,8/14/2022 16:22,R_2dFpJjYqpkwyPmh,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Android 12,385x854,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,A few times a year,arm3_tips,5be8eb4d40b06b0001372c77,5be8eb4d40b06b0001372c77
8/14/2022 16:21,8/14/2022 16:24,IP Address,100,163,TRUE,8/14/2022 16:24,R_3EYFRux972vfoLi,,,,,anonymous,EN,Yes,,Chrome,103.0.0.0,Macintosh,1512x982,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Strongly Agree,Agree,Slightly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,A few times a week / Daily,arm1_control,60fcfce36f95b06cbe038fca,60fcfce36f95b06cbe038fca
8/14/2022 16:21,8/14/2022 16:24,IP Address,100,157,TRUE,8/14/2022 16:24,R_rlF3zfNeAxuZu0N,,,,,anonymous,EN,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,arm1_control,6175b0ddd46446a6335f0a3e,6175b0ddd46446a6335f0a3e
8/14/2022 16:19,8/14/2022 16:25,IP Address,100,341,TRUE,8/14/2022 16:25,R_T6s1OyRCUAJ3ccN,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1600x900,None at all,Angry,Never,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Disagree,Disagree,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Disagree,Slightly Disagree,A few times a year,arm2_generalinfo,5ec1ba7ad1e98a5ef21513ea,5ec1ba7ad1e98a5ef21513ea
