StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Lonely1,Lonely2,Lonely3,KeepResponse,PID
9/2/2022 16:58,9/2/2022 16:58,IP Address,100,22,TRUE,9/2/2022 16:58,R_2y102vqbyXlSlcL,,,,,anonymous,EN,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",60464af829e5bf0e3f123752
9/2/2022 16:58,9/2/2022 16:59,IP Address,100,33,TRUE,9/2/2022 16:59,R_T8jOGzOT6GfsE8x,,,,,anonymous,EN,Often,Often,Often,"Yes, use the responses.",5f52abb4c62ac45a1bac3ac5
9/2/2022 16:58,9/2/2022 16:59,IP Address,100,44,TRUE,9/2/2022 16:59,R_1rpRo1YkQuy3DLi,,,,,anonymous,EN,Some of the time,Often,Some of the time,"Yes, use the responses.",6176a7811be49dbec3887a7a
9/2/2022 16:58,9/2/2022 16:59,IP Address,100,47,TRUE,9/2/2022 16:59,R_1daiAdqeyO8mjoA,,,,,anonymous,EN,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",5ecc17baf40bde40e681a6c0
9/2/2022 16:59,9/2/2022 17:00,IP Address,100,49,TRUE,9/2/2022 17:00,R_2czLQuscakZQkDb,,,,,anonymous,EN,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",613a6fb7dea617114d9e0a0f
9/2/2022 17:00,9/2/2022 17:01,IP Address,100,48,TRUE,9/2/2022 17:01,R_yQHkX0d2NBqFQvT,,,,,anonymous,EN,Often,Often,Often,"No, the responses shouldn't be used.",5f9765e68112f6137e06db5d
9/2/2022 17:00,9/2/2022 17:01,IP Address,100,50,TRUE,9/2/2022 17:01,R_3QPO9aCYMKgcuRP,,,,,anonymous,EN,Some of the time,Often,Often,"Yes, use the responses.",5f5c983ce742b548181ef1e7
9/2/2022 17:00,9/2/2022 17:01,IP Address,100,32,TRUE,9/2/2022 17:01,R_1n91VUTXsmU7iP9,,,,,anonymous,EN,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5da9eddb59f3710012836dae
9/2/2022 17:00,9/2/2022 17:01,IP Address,100,85,TRUE,9/2/2022 17:01,R_1jIpb0raNdPlciN,,,,,anonymous,EN,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5aabc1b875d3c50001260cb0
9/2/2022 17:00,9/2/2022 17:01,IP Address,100,51,TRUE,9/2/2022 17:01,R_RVoARFmPf78PGvf,,,,,anonymous,EN,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",61230876ad65890ff8619511
9/2/2022 17:01,9/2/2022 17:01,IP Address,100,38,TRUE,9/2/2022 17:01,R_1zyw82N9IoCn2X7,,,,,anonymous,EN,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5f514e2a5552dd37bc2060f3
9/2/2022 17:00,9/2/2022 17:01,IP Address,100,41,TRUE,9/2/2022 17:01,R_svAWOyxVkyR0Khr,,,,,anonymous,EN,Some of the time,Hardly ever,Some of the time,"Yes, use the responses.",60a2d1593f270f92fa69305d
9/2/2022 17:01,9/2/2022 17:02,IP Address,100,57,TRUE,9/2/2022 17:02,R_w5hpLmOXGxTkRFf,,,,,anonymous,EN,Some of the time,Often,Often,"Yes, use the responses.",5f4d2135061bf00dc540271b
9/2/2022 17:01,9/2/2022 17:02,IP Address,100,76,TRUE,9/2/2022 17:02,R_1r7xMOXV1LYwyuK,,,,,anonymous,EN,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5e6ff326d44cb20009e2d3ba
9/2/2022 17:02,9/2/2022 17:02,IP Address,100,26,TRUE,9/2/2022 17:02,R_12D5GBnk6w5UmEf,,,,,anonymous,EN,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5e979756281ba326b104d3e8
