StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID
7/26/2022 21:47,7/26/2022 21:49,IP Address,100,118,TRUE,7/26/2022 21:49,R_1FRmtNQsYlcAlKC,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1504x1003,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Once a week,,arm4_interactive,5cbdf79716ab74000172d916,5cbdf79716ab74000172d916
7/26/2022 21:48,7/26/2022 21:51,IP Address,100,192,TRUE,7/26/2022 21:51,R_2P5PW6AiD8TpHxh,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 12,360x780,Very little,Angry,Only some of the time,Government should do more to solve problems.,Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Once a week,,arm1_control,629a6460a0232815dab01a01,629a6460a0232815dab01a01
7/26/2022 21:49,7/26/2022 21:51,IP Address,100,154,TRUE,7/26/2022 21:51,R_1N8Ns3ophoYMFiP,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1280x800,Very little,Frustrated,Never,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Agree,Disagree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm4_interactive,62ce5c37b5a67bbb6b9c6b38,62ce5c37b5a67bbb6b9c6b38
7/26/2022 21:51,7/26/2022 21:54,IP Address,100,188,TRUE,7/26/2022 21:54,R_1dzB3zFyRtm2RwY,,,,,anonymous,EN,,Yes,,Chrome,102.0.0.0,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Strongly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Once a month,,arm1_control,60fedf86ca61ce0772081b1c,60fedf86ca61ce0772081b1c
7/26/2022 21:50,7/26/2022 21:55,IP Address,100,328,TRUE,7/26/2022 21:55,R_1M5wCslqp62tFCv,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Quite a lot,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Slightly Agree,Disagree,Once a month,,arm4_interactive,5ae3223938df950001455e66,5ae3223938df950001455e66
7/26/2022 21:53,7/26/2022 21:55,IP Address,100,157,TRUE,7/26/2022 21:55,R_2E0qmlYEqdnwwk7,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm1_control,60fd4c8c2a0edfae3f73c044,60fd4c8c2a0edfae3f73c044
7/26/2022 21:58,7/26/2022 22:00,IP Address,100,103,TRUE,7/26/2022 22:00,R_1Ebx54xc7vHwKS0,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,414x896,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a week / Daily,,arm1_control,62c70b2c6fc5a87b4d96fd2d,62c70b2c6fc5a87b4d96fd2d
7/26/2022 21:56,7/26/2022 22:01,IP Address,100,323,TRUE,7/26/2022 22:01,R_31HMjHkcWj43ksK,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1280x720,Very little,Angry,Never,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Agree,Strongly Agree,Agree,Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Once a week,,arm4_interactive,60838b319c8df481f1074157,60838b319c8df481f1074157
7/26/2022 22:01,7/26/2022 22:02,IP Address,100,57,TRUE,7/26/2022 22:02,R_vSsugWtUQeAsXsJ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Very little,Frustrated,Never,Government should do more to solve problems.,Disagree,Slightly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Once a month,,arm1_control,612a99791ca3e168247a1bf0,612a99791ca3e168247a1bf0
7/26/2022 22:01,7/26/2022 22:04,IP Address,100,192,TRUE,7/26/2022 22:04,R_vYpHq9r6fLf09ax,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Disagree,Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Agree,Once a week,,arm4_interactive,5d33c8bef7b9c100015ae7d1,5d33c8bef7b9c100015ae7d1
