,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,Duration (in seconds)_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,Duration (in seconds)_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave
0,2022-07-26 21:47:00,7/26/2022 21:49,IP Address,100,118,True,7/26/2022 21:49,R_1FRmtNQsYlcAlKC,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1504x1003,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Once a week,,arm4_interactive,5cbdf79716ab74000172d916,5cbdf79716ab74000172d916,0,1,Real,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Real,,,True,True,7/26/2022 21:52,7/26/2022 21:53,IP Address,100.0,29.0,True,7/26/2022 21:53,R_3R7vbc4X7QvMvUV,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",Asian American or Asian,Bachelor degree,30.0,Female,True,Real,,,Scam,Click,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,True,True,7/26/2022 21:55,7/26/2022 21:56,IP Address,100.0,58.0,True,7/26/2022 21:56,R_1IRX89ucE3vQrZ9,,,,,anonymous,EN,Someone claiming to be from another government agency (but wasn't),No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True
1,2022-07-26 21:48:00,7/26/2022 21:51,IP Address,100,192,True,7/26/2022 21:51,R_2P5PW6AiD8TpHxh,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 12,360x780,Very little,Angry,Only some of the time,Government should do more to solve problems.,Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Once a week,,arm1_control,629a6460a0232815dab01a01,629a6460a0232815dab01a01,4,2,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 21:51,7/26/2022 21:52,IP Address,100.0,65.0,True,7/26/2022 21:52,R_24ldCK3RojODlzI,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,31.0,Female,True,Scam,Click,,Scam,Click,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Scam,,,Scam,,,Real,,Details,True,True,7/26/2022 22:25,7/26/2022 22:34,IP Address,100.0,532.0,True,7/26/2022 22:34,R_1hYAwU6rdpx2yA9,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Often,"Yes, use the responses.",True,1,True
2,2022-07-26 21:49:00,7/26/2022 21:51,IP Address,100,154,True,7/26/2022 21:51,R_1N8Ns3ophoYMFiP,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1280x800,Very little,Frustrated,Never,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Agree,Disagree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm4_interactive,62ce5c37b5a67bbb6b9c6b38,62ce5c37b5a67bbb6b9c6b38,4,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,7/26/2022 21:54,7/26/2022 21:55,IP Address,100.0,32.0,True,7/26/2022 21:55,R_3QLYcGxhhXmldTp,,,,,anonymous,EN,"Not employed, NOT looking for work","$80,000 - $99,999",Asian American or Asian,Bachelor degree,24.0,Female,True,Real,,,Real,,Details,Real,,,Real,,,Real,,Details,Real,,,Real,,Details,Real,,,Scam,,,Real,,Details,True,True,7/26/2022 21:58,7/26/2022 21:59,IP Address,100.0,44.0,True,7/26/2022 21:59,R_rdp77vop0Zc3vDb,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True
3,2022-07-26 21:51:00,7/26/2022 21:54,IP Address,100,188,True,7/26/2022 21:54,R_1dzB3zFyRtm2RwY,,,,,anonymous,EN,,Yes,,Chrome,102.0.0.0,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Strongly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Once a month,,arm1_control,60fedf86ca61ce0772081b1c,60fedf86ca61ce0772081b1c,4,3,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 21:54,7/26/2022 21:55,IP Address,100.0,58.0,True,7/26/2022 21:55,R_1f90EFKHVAteFmU,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Some college but no degree,19.0,Female,True,Real,,,Real,Click,Details,Real,Click,,Real,,,Real,,Details,Scam,Click,,Real,,Details,Scam,,,Scam,,,Scam,,Details,True,True,7/26/2022 21:59,7/26/2022 22:00,IP Address,100.0,72.0,True,7/26/2022 22:00,R_1QgWUh79yHObWzn,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True
4,2022-07-26 21:50:00,7/26/2022 21:55,IP Address,100,328,True,7/26/2022 21:55,R_1M5wCslqp62tFCv,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Quite a lot,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Slightly Agree,Disagree,Once a month,,arm4_interactive,5ae3223938df950001455e66,5ae3223938df950001455e66,3,0,Real,,,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,7/26/2022 22:00,7/26/2022 22:01,IP Address,100.0,47.0,True,7/26/2022 22:01,R_2fd5VMcnNKnjC2u,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999","White or Caucasian (Non-Hispanic),Native American, Native Hawaiian or Pacific Islander",Associate degree,44.0,Male,True,Real,,,Scam,,,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Scam,,,Scam,,,Real,,Details,True,True,7/26/2022 22:05,7/26/2022 22:06,IP Address,100.0,79.0,True,7/26/2022 22:06,R_1rq6zChBYD8y8Hl,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True
5,2022-07-26 21:53:00,7/26/2022 21:55,IP Address,100,157,True,7/26/2022 21:55,R_2E0qmlYEqdnwwk7,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm1_control,60fd4c8c2a0edfae3f73c044,60fd4c8c2a0edfae3f73c044,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 21:55,7/26/2022 21:56,IP Address,100.0,58.0,True,7/26/2022 21:56,R_1mgVL32AnJmGxnL,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",19.0,Female,True,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 21:59,7/26/2022 22:00,IP Address,100.0,68.0,True,7/26/2022 22:00,R_3kvt4KKr7rRi0E4,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True
6,2022-07-26 21:58:00,7/26/2022 22:00,IP Address,100,103,True,7/26/2022 22:00,R_1Ebx54xc7vHwKS0,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,414x896,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a week / Daily,,arm1_control,62c70b2c6fc5a87b4d96fd2d,62c70b2c6fc5a87b4d96fd2d,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:00,7/26/2022 22:00,IP Address,100.0,30.0,True,7/26/2022 22:00,R_1BWtFMgeB0ZCaWM,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,37.0,Male,True,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,,,,True,False,7/26/2022 22:01,7/26/2022 22:02,IP Address,100.0,58.0,True,7/26/2022 22:02,R_3pgu5UVSlniwgEK,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True
7,2022-07-26 21:56:00,7/26/2022 22:01,IP Address,100,323,True,7/26/2022 22:01,R_31HMjHkcWj43ksK,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1280x720,Very little,Angry,Never,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Agree,Strongly Agree,Agree,Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Once a week,,arm4_interactive,60838b319c8df481f1074157,60838b319c8df481f1074157,4,0,Real,Click,,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Real,,Details,True,True,7/26/2022 22:06,7/26/2022 22:07,IP Address,100.0,47.0,True,7/26/2022 22:07,R_1GDhsiWE7onAPsQ,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Some college but no degree,20.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Scam,,,Scam,,,Real,,Details,True,True,7/26/2022 22:10,7/26/2022 22:12,IP Address,100.0,75.0,True,7/26/2022 22:12,R_24OY0wu7NG8N4Ck,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Other",No,,No,No,Some of the time,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True
8,2022-07-26 22:01:00,7/26/2022 22:02,IP Address,100,57,True,7/26/2022 22:02,R_vSsugWtUQeAsXsJ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Very little,Frustrated,Never,Government should do more to solve problems.,Disagree,Slightly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Once a month,,arm1_control,612a99791ca3e168247a1bf0,612a99791ca3e168247a1bf0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:02,7/26/2022 22:02,IP Address,100.0,26.0,True,7/26/2022 22:02,R_2PdRX4rBByDtfwv,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",Asian American or Asian,Associate degree,28.0,Female,True,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Real,,,True,True,7/26/2022 22:03,7/26/2022 22:04,IP Address,100.0,48.0,True,7/26/2022 22:04,R_2vYVpEae8BhXS1X,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,Yes,No,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True
9,2022-07-26 22:01:00,7/26/2022 22:04,IP Address,100,192,True,7/26/2022 22:04,R_vYpHq9r6fLf09ax,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Disagree,Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Agree,Once a week,,arm4_interactive,5d33c8bef7b9c100015ae7d1,5d33c8bef7b9c100015ae7d1,4,0,Real,,,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Real,,Details,True,True,7/26/2022 22:05,7/26/2022 22:06,IP Address,100.0,31.0,True,7/26/2022 22:06,R_3sdHkBUJdQbRxlw,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,37.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Scam,,,Scam,,,Real,,Details,True,True,7/26/2022 22:07,7/26/2022 22:08,IP Address,100.0,39.0,True,7/26/2022 22:08,R_0wcNL6CFcJGd9u1,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True
