,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,previousFraudYN,lose_moneyYN,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB,incomeAmount,race5,employment3,educYears,ageYears,genderI,ageYearsSq,lIncomeAmount,GovtConfScore,TrustInSSAScore,TrustInInternetScore,OnlineShoppingScore,LonelyScore,numCorrect,numFakeLabeledReal,numRealLabeledFake,numRealLabeledReal,numFakeLabeledFake,numEmailsCorrect,numWebsitesCorrect,numLettersCorrect,numSMSesCorrect,numCorrect_Govt,numCorrect_Biz,numEmailsCorrect_Govt,numEmailsCorrect_Biz,numWebsitesCorrect_Govt,numWebsitesCorrect_Biz,numLabeledReal,numLabeledFake,numNoAnswer,Correct_WalmartProduct,Correct_RedCross,Correct_SSA_HP,Correct_mySSA,Correct_AmazonDeliveryDelay,Correct_FB_SSA,Correct_ssa_optout,Correct_medicareReview,Correct_benefitsSuspension,Correct_replacementCard,percentCorrect
1,2022-07-26 21:48:00,7/26/2022 21:51,IP Address,100,192,True,7/26/2022 21:51,R_2P5PW6AiD8TpHxh,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 12,360x780,Very little,Angry,Only some of the time,Government should do more to solve problems.,Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Once a week,,arm1_control,629a6460a0232815dab01a01,629a6460a0232815dab01a01,4,2,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 21:51,7/26/2022 21:52,IP Address,100.0,65.0,True,7/26/2022 21:52,R_24ldCK3RojODlzI,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,31.0,Female,True,Scam,Click,,Scam,Click,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Scam,,,Scam,,,Real,,Details,True,True,7/26/2022 22:25,7/26/2022 22:34,IP Address,100.0,532.0,True,7/26/2022 22:34,R_1hYAwU6rdpx2yA9,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Often,"Yes, use the responses.",True,1,True,True,False,1,3.0,4.0,0.0,Keep,False,False,24,False,30,W,U,16,31.0,1.0,961.0,3.4011973816621555,7,4.5,4.375,5,1.6666666666666667,7,1,2,3,4,3,3,1,0,4,3,1,2,2,1,4,6,0,False,True,True,True,True,True,False,False,True,True,70.0
2,2022-07-26 21:49:00,7/26/2022 21:51,IP Address,100,154,True,7/26/2022 21:51,R_1N8Ns3ophoYMFiP,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1280x800,Very little,Frustrated,Never,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Agree,Disagree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm4_interactive,62ce5c37b5a67bbb6b9c6b38,62ce5c37b5a67bbb6b9c6b38,4,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,7/26/2022 21:54,7/26/2022 21:55,IP Address,100.0,32.0,True,7/26/2022 21:55,R_3QLYcGxhhXmldTp,,,,,anonymous,EN,"Not employed, NOT looking for work","$80,000 - $99,999",Asian American or Asian,Bachelor degree,24.0,Female,True,Real,,,Real,,Details,Real,,,Real,,,Real,,Details,Real,,,Real,,Details,Real,,,Scam,,,Real,,Details,True,True,7/26/2022 21:58,7/26/2022 21:59,IP Address,100.0,44.0,True,7/26/2022 21:59,R_rdp77vop0Zc3vDb,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,0.0,0.0,0.0,Keep,False,False,24,False,90,A,U,16,24.0,1.0,576.0,4.499809670330265,7,3.6,3.5,4,1.3333333333333333,6,4,0,5,1,2,2,2,0,4,2,1,1,1,1,9,1,0,True,False,True,False,True,False,False,True,True,True,60.0
4,2022-07-26 21:50:00,7/26/2022 21:55,IP Address,100,328,True,7/26/2022 21:55,R_1M5wCslqp62tFCv,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Quite a lot,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Slightly Agree,Disagree,Once a month,,arm4_interactive,5ae3223938df950001455e66,5ae3223938df950001455e66,3,0,Real,,,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,7/26/2022 22:00,7/26/2022 22:01,IP Address,100.0,47.0,True,7/26/2022 22:01,R_2fd5VMcnNKnjC2u,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999","White or Caucasian (Non-Hispanic),Native American, Native Hawaiian or Pacific Islander",Associate degree,44.0,Male,True,Real,,,Scam,,,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Scam,,,Scam,,,Real,,Details,True,True,7/26/2022 22:05,7/26/2022 22:06,IP Address,100.0,79.0,True,7/26/2022 22:06,R_1rq6zChBYD8y8Hl,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,3,2.0,3.0,0.0,Keep,False,False,24,False,10,O,U,14,44.0,0.0,1936.0,2.302585092994046,9,3.9,4.25,4,1.0,8,1,1,4,4,4,3,1,0,5,3,2,2,2,1,5,5,0,True,True,True,True,True,False,True,False,True,True,80.0
3,2022-07-26 21:51:00,7/26/2022 21:54,IP Address,100,188,True,7/26/2022 21:54,R_1dzB3zFyRtm2RwY,,,,,anonymous,EN,,Yes,,Chrome,102.0.0.0,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Strongly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Once a month,,arm1_control,60fedf86ca61ce0772081b1c,60fedf86ca61ce0772081b1c,4,3,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 21:54,7/26/2022 21:55,IP Address,100.0,58.0,True,7/26/2022 21:55,R_1f90EFKHVAteFmU,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Some college but no degree,19.0,Female,True,Real,,,Real,Click,Details,Real,Click,,Real,,,Real,,Details,Scam,Click,,Real,,Details,Scam,,,Scam,,,Scam,,Details,True,True,7/26/2022 21:59,7/26/2022 22:00,IP Address,100.0,72.0,True,7/26/2022 22:00,R_1QgWUh79yHObWzn,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,1,3.0,2.0,0.0,Keep,False,False,24,False,175,W,U,13,19.0,1.0,361.0,5.1647859739235145,9,5.6,4.125,4,1.6666666666666667,5,3,2,3,2,1,3,1,0,2,3,0,1,1,2,6,4,0,True,False,True,False,True,True,False,False,True,False,50.0
5,2022-07-26 21:53:00,7/26/2022 21:55,IP Address,100,157,True,7/26/2022 21:55,R_2E0qmlYEqdnwwk7,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm1_control,60fd4c8c2a0edfae3f73c044,60fd4c8c2a0edfae3f73c044,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 21:55,7/26/2022 21:56,IP Address,100.0,58.0,True,7/26/2022 21:56,R_1mgVL32AnJmGxnL,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",19.0,Female,True,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 21:59,7/26/2022 22:00,IP Address,100.0,68.0,True,7/26/2022 22:00,R_3kvt4KKr7rRi0E4,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,1,3.0,2.0,0.0,Keep,False,False,24,False,10,W,E,12,19.0,1.0,361.0,2.302585092994046,9,4.5,3.75,5,2.0,7,1,2,3,4,3,3,1,0,3,4,1,2,1,2,4,6,0,True,True,True,False,True,True,True,False,True,False,70.0
7,2022-07-26 21:56:00,7/26/2022 22:01,IP Address,100,323,True,7/26/2022 22:01,R_31HMjHkcWj43ksK,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1280x720,Very little,Angry,Never,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Agree,Strongly Agree,Agree,Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Once a week,,arm4_interactive,60838b319c8df481f1074157,60838b319c8df481f1074157,4,0,Real,Click,,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Real,,Details,True,True,7/26/2022 22:06,7/26/2022 22:07,IP Address,100.0,47.0,True,7/26/2022 22:07,R_1GDhsiWE7onAPsQ,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Some college but no degree,20.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Scam,,,Scam,,,Real,,Details,True,True,7/26/2022 22:10,7/26/2022 22:12,IP Address,100.0,75.0,True,7/26/2022 22:12,R_24OY0wu7NG8N4Ck,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Other",No,,No,No,Some of the time,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True,True,False,3,2.0,2.0,0.0,Keep,False,False,24,False,125,W,U,13,20.0,1.0,400.0,4.8283137373023015,5,3.0,3.125,5,1.6666666666666667,8,1,1,4,4,4,3,1,0,5,3,2,2,2,1,5,5,0,True,True,True,True,True,False,True,False,True,True,80.0
9,2022-07-26 22:01:00,7/26/2022 22:04,IP Address,100,192,True,7/26/2022 22:04,R_vYpHq9r6fLf09ax,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Disagree,Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Agree,Once a week,,arm4_interactive,5d33c8bef7b9c100015ae7d1,5d33c8bef7b9c100015ae7d1,4,0,Real,,,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Real,,Details,True,True,7/26/2022 22:05,7/26/2022 22:06,IP Address,100.0,31.0,True,7/26/2022 22:06,R_3sdHkBUJdQbRxlw,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,37.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Scam,,,Scam,,,Real,,Details,True,True,7/26/2022 22:07,7/26/2022 22:08,IP Address,100.0,39.0,True,7/26/2022 22:08,R_0wcNL6CFcJGd9u1,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,1,0.0,0.0,0.0,Keep,False,False,24,False,90,W,E,16,37.0,1.0,1369.0,4.499809670330265,8,6.1,3.75,5,1.0,8,1,1,4,4,3,4,1,0,4,4,1,2,2,2,5,5,0,True,True,True,True,True,True,False,False,True,True,80.0
10,2022-07-26 22:02:00,7/26/2022 22:05,IP Address,100,141,True,7/26/2022 22:05,R_2EyDKNpeNDr5Kdi,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 12,412x869,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm1_control,60fc9ec40fc7b1dcaa96cff1,60fc9ec40fc7b1dcaa96cff1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:05,7/26/2022 22:05,IP Address,100.0,50.0,True,7/26/2022 22:05,R_28RP7nWR3JZXEFS,,,,,anonymous,EN,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Associate degree,24.0,Female,True,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,True,True,7/26/2022 22:07,7/26/2022 22:08,IP Address,100.0,46.0,True,7/26/2022 22:08,R_3p3DwYLBKFkq444,,,,,anonymous,EN,Someone claiming to be from another government agency (but wasn't),No,,No,No,Some of the time,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,2.0,0.0,0.0,Keep,False,False,24,False,60,W,U,14,24.0,1.0,576.0,4.0943445622221,7,4.0,3.25,4,1.6666666666666667,5,3,2,3,2,2,1,2,0,3,2,1,1,0,1,6,4,0,True,False,False,False,True,False,True,True,True,False,50.0
14,2022-07-26 22:05:00,7/26/2022 22:09,IP Address,100,236,True,7/26/2022 22:09,R_3NKwH9lSoboP6zO,,,,,anonymous,EN,,Yes,,Chrome,96.0.4664.104,Android 12,412x869,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Disagree,Agree,Slightly Agree,Slightly Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Disagree,Once a month,,arm4_interactive,62e03a215cc42e0a2d50868c,62e03a215cc42e0a2d50868c,4,0,Real,,Details,Real,Click,,Scam,,Details,Real,,,Real,Click,,Scam,,,Real,,Details,Scam,,Details,True,True,7/26/2022 22:18,7/26/2022 22:19,IP Address,100.0,33.0,True,7/26/2022 22:19,R_3hnEZzsjOTLTKQw,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Bachelor degree,26.0,Other,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,,Scam,,,Real,,Details,True,True,7/26/2022 22:28,7/26/2022 22:30,IP Address,100.0,69.0,True,7/26/2022 22:30,R_3m94AwbVmozr8l0,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,2,0.0,2.0,0.0,Keep,False,False,24,False,125,W,E,16,26.0,,676.0,4.8283137373023015,8,3.8,3.5,4,1.0,8,2,0,5,3,3,3,2,0,5,3,1,2,2,1,7,3,0,True,True,True,True,True,False,False,True,True,True,80.0
15,2022-07-26 22:06:00,7/26/2022 22:10,IP Address,100,204,True,7/26/2022 22:10,R_31FAoHVB9fDEyNo,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,CrOS x86_64 14816.131.0,1366x768,Very little,Angry,Never,Government should do more to solve problems.,Slightly Agree,Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Agree,Strongly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Once a month,,arm1_control,62e097c92160176b0b9c2619,62e097c92160176b0b9c2619,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:10,7/26/2022 22:10,IP Address,100.0,42.0,True,7/26/2022 22:10,R_3DbA8JVCJhUbUiq,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",36.0,Female,True,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 22:13,7/26/2022 22:14,IP Address,100.0,62.0,True,7/26/2022 22:14,R_1FfhcMhYtt369YR,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Some of the time,Some of the time,Often,"Yes, use the responses.",True,1,True,True,False,2,1.0,1.0,0.0,Keep,False,False,24,False,30,W,E,12,36.0,1.0,1296.0,3.4011973816621555,6,1.9,3.5,4,2.3333333333333335,6,2,2,3,3,3,2,1,0,3,3,1,2,1,1,5,5,0,True,True,True,False,True,False,True,False,True,False,60.0
