StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Employment,TotalIncome,Race,Education,Age_1,Gender,PID
7/29/2022 19:08,7/29/2022 19:08,IP Address,100,20,TRUE,7/29/2022 19:08,R_1osZsVqo7b3rGW9,,,,,anonymous,EN,Retired,"$40,000 - $59,999",Asian American or Asian,Graduate or professional degree,28,,Steve29July
7/29/2022 19:18,7/29/2022 19:19,IP Address,100,86,TRUE,7/29/2022 19:19,R_brpKKyifgflwLMR,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Hispanic,"High school degree or equivalent (e.g., GED)",25,Female,5c28884289f035000174bfbe
7/29/2022 19:20,7/29/2022 19:21,IP Address,100,53,TRUE,7/29/2022 19:21,R_R8GA0S5CngyvkWZ,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,30,Male,60ca31796780c7d97cbf46ae
7/29/2022 19:20,7/29/2022 19:22,IP Address,100,118,TRUE,7/29/2022 19:22,R_1gN2G8qm4nIJKDl,,,,,anonymous,EN,"Not employed, looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,30,Female,5d58ff5f0569c500191eab3b
7/29/2022 19:21,7/29/2022 19:22,IP Address,100,51,TRUE,7/29/2022 19:22,R_11XS6OGCLw6Czq0,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",Asian American or Asian,Bachelor degree,25,Female,5e82d6d1f44676000a274347
7/29/2022 19:26,7/29/2022 19:27,IP Address,100,34,TRUE,7/29/2022 19:27,R_D1C9drh5mnTxiff,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Hispanic,Bachelor degree,22,Female,610abc8316396c8f578f7b2b
7/29/2022 19:26,7/29/2022 19:27,IP Address,100,81,TRUE,7/29/2022 19:27,R_23WXIse3fQEUUcR,,,,,anonymous,EN,"Not employed, looking for work","$100,000 - $149,999","Asian American or Asian,Hispanic",Graduate or professional degree,23,Female,61085ecb96bc2a8c2bffa47f
7/29/2022 19:30,7/29/2022 19:31,IP Address,100,53,TRUE,7/29/2022 19:31,R_5tdo06PsjoB9myB,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,50,Female,60fcc98f62f37fd44a4184df
7/29/2022 19:31,7/29/2022 19:31,IP Address,100,19,TRUE,7/29/2022 19:31,R_2EyO2aYoXYskMPZ,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999",Asian American or Asian,Some college but no degree,21,Male,5fc620bd1fb5ab1eb2a9975a
7/29/2022 19:32,7/29/2022 19:33,IP Address,100,61,TRUE,7/29/2022 19:33,R_2pJe1Lq23QbCSQI,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,33,Male,62e455e0c0c64273340382fd
