StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID
7/29/2022 19:07,7/29/2022 19:08,IP Address,100,36,TRUE,7/29/2022 19:08,R_2P7OH02XNX4MooJ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,Frustrated,Most of the time,Government is doing too many things better left to businesses and individuals.,Neither Agree nor Disagree,Slightly Disagree,Disagree,Slightly Disagree,Strongly Disagree,,Strongly Disagree,Strongly Disagree,,,,,,Slightly Disagree,,,Disagree,Strongly Disagree,Once a year,,arm1_control,Steve29July,Steve29July
7/29/2022 19:11,7/29/2022 19:17,IP Address,100,358,TRUE,7/29/2022 19:17,R_1jCCxVpChyXeCfJ,,,,,anonymous,EN,,Yes,,Safari,15.3,Macintosh,1440x900,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,A few times a year,,arm4_interactive,5e82d6d1f44676000a274347,5e82d6d1f44676000a274347
7/29/2022 19:12,7/29/2022 19:18,IP Address,100,326,TRUE,7/29/2022 19:18,R_vAfA9nCbR3fSdrz,,,,,anonymous,EN,,Yes,,Firefox,103,Windows NT 10.0,1536x864,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Once a month,,arm2_generalinfo,5c28884289f035000174bfbe,5c28884289f035000174bfbe
7/29/2022 19:16,7/29/2022 19:20,IP Address,100,227,TRUE,7/29/2022 19:20,R_CZXB7UqVHuA1Woh,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1366x768,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,A few times a week / Daily,,arm3_tips,5d58ff5f0569c500191eab3b,5d58ff5f0569c500191eab3b
7/29/2022 19:16,7/29/2022 19:20,IP Address,100,206,TRUE,7/29/2022 19:20,R_3O0bc8irdeTm7lw,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Android 12,393x786,Very little,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Strongly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm3_tips,60ca31796780c7d97cbf46ae,60ca31796780c7d97cbf46ae
7/29/2022 19:21,7/29/2022 19:26,IP Address,100,293,TRUE,7/29/2022 19:26,R_1exDJw9JbUVxLDJ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x1024,Very little,Angry,Never,Government should do more to solve problems.,Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,arm2_generalinfo,61085ecb96bc2a8c2bffa47f,61085ecb96bc2a8c2bffa47f
7/29/2022 19:17,7/29/2022 19:26,IP Address,100,553,TRUE,7/29/2022 19:26,R_ums9w1GwHM3uxRD,,,,,anonymous,EN,,Yes,,Safari,14.1.2,Macintosh,1440x900,Very little,Angry,Never,Government should do more to solve problems.,Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm1_control,610abc8316396c8f578f7b2b,610abc8316396c8f578f7b2b
7/29/2022 19:26,7/29/2022 19:28,IP Address,100,119,TRUE,7/29/2022 19:28,R_1j6YaauoXu2ST3B,,,,,anonymous,EN,,Yes,,Opera,89.0.4447.64,Windows NT 10.0,2560x1440,Some,Basically content,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Strongly Disagree,Slightly Agree,Agree,Agree,Strongly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Disagree,Slightly Agree,Disagree,Slightly Agree,Disagree,A few times a year,,arm4_interactive,5fc620bd1fb5ab1eb2a9975a,5fc620bd1fb5ab1eb2a9975a
7/29/2022 19:27,7/29/2022 19:30,IP Address,100,201,TRUE,7/29/2022 19:30,R_ysSk346V7pK1uFz,,,,,anonymous,EN,,Yes,,Safari iPhone,15.6,iPhone,428x926,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly Disagree,Disagree,Disagree,Disagree,Slightly Disagree,Disagree,A few times a week / Daily,,arm3_tips,60fcc98f62f37fd44a4184df,60fcc98f62f37fd44a4184df
7/29/2022 19:25,7/29/2022 19:30,IP Address,100,274,TRUE,7/29/2022 19:30,R_2vbKrqSz8OriHjO,,,,,anonymous,EN,,Yes,,Chrome,102.0.0.0,CrOS x86_64 14695.107.0,1536x864,Very little,Angry,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Agree,Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,Slightly Disagree,Disagree,Once a week,,arm4_interactive,60fd88c5b5da4621ddaed661,60fd88c5b5da4621ddaed661
7/29/2022 19:27,7/29/2022 19:32,IP Address,100,275,TRUE,7/29/2022 19:32,R_31pfdcJOlZ8Sjyi,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1680x1050,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,arm2_generalinfo,62e455e0c0c64273340382fd,62e455e0c0c64273340382fd
7/29/2022 19:29,7/29/2022 19:32,IP Address,100,177,TRUE,7/29/2022 19:32,R_2s6zWsUtfRCE0AT,,,,,anonymous,EN,,Yes,,Safari,15.4,Macintosh,1440x900,Some,Angry,Never,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a month,,arm1_control,60fdfebf34e9b78c0d472d1e,60fdfebf34e9b78c0d472d1e
7/29/2022 19:27,7/29/2022 19:32,IP Address,100,312,TRUE,7/29/2022 19:32,R_BM46eollfoDA73r,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 11,432x960,Some,Frustrated,Never,Government should do more to solve problems.,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Slightly Disagree,Disagree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Once a month,,arm3_tips,62e405958a2c7c7e7f98e8fd,62e405958a2c7c7e7f98e8fd
