,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB
0,2022-07-29 19:07:00,7/29/2022 19:08,IP Address,100,36,True,7/29/2022 19:08,R_2P7OH02XNX4MooJ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,Very little,Frustrated,Most of the time,Government is doing too many things better left to businesses and individuals.,Neither Agree nor Disagree,Slightly Disagree,Disagree,Slightly Disagree,Strongly Disagree,,Strongly Disagree,Strongly Disagree,,,,,,Slightly Disagree,,,Disagree,Strongly Disagree,Once a year,,arm1_control,Steve29July,Steve29July,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/29/2022 19:08,7/29/2022 19:08,IP Address,100,20,True,7/29/2022 19:08,R_1osZsVqo7b3rGW9,,,,,anonymous,EN,Retired,"$40,000 - $59,999",Asian American or Asian,Graduate or professional degree,28,,True,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,False,1,True,0,0,,,Too Fast,False,,11,False
1,2022-07-29 19:11:00,7/29/2022 19:17,IP Address,100,358,True,7/29/2022 19:17,R_1jCCxVpChyXeCfJ,,,,,anonymous,EN,,Yes,,Safari,15.3,Macintosh,1440x900,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,A few times a year,,arm4_interactive,5e82d6d1f44676000a274347,5e82d6d1f44676000a274347,3,0,Real,,Details,Real,,,Scam,,,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,7/29/2022 19:21,7/29/2022 19:22,IP Address,100,51,True,7/29/2022 19:22,R_11XS6OGCLw6Czq0,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",Asian American or Asian,Bachelor degree,25,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,,,,True,False,7/29/2022 19:25,7/29/2022 19:26,IP Address,100.0,76.0,True,7/29/2022 19:26,R_WfjGV6UGjfdIS9H,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Other",No,,No,No,Often,Often,Often,"Yes, use the responses.",True,1,True,4,2,2.0,0.0,Keep,False,False,24,False
2,2022-07-29 19:12:00,7/29/2022 19:18,IP Address,100,326,True,7/29/2022 19:18,R_vAfA9nCbR3fSdrz,,,,,anonymous,EN,,Yes,,Firefox,103,Windows NT 10.0,1536x864,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Once a month,,arm2_generalinfo,5c28884289f035000174bfbe,5c28884289f035000174bfbe,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/29/2022 19:18,7/29/2022 19:19,IP Address,100,86,True,7/29/2022 19:19,R_brpKKyifgflwLMR,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Hispanic,"High school degree or equivalent (e.g., GED)",25,Female,True,Real,,,Scam,,Details,Real,,,Real,,,Real,,Details,Real,,,Real,,Details,Real,,,Real,,,,,,True,False,7/29/2022 19:26,7/29/2022 19:27,IP Address,100.0,80.0,True,7/29/2022 19:27,R_1d0P2oI4i2GrX6C,,,,,anonymous,EN,Other,No,,No,No,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True,3,4,3.0,0.0,Keep,False,False,24,False
3,2022-07-29 19:16:00,7/29/2022 19:20,IP Address,100,227,True,7/29/2022 19:20,R_CZXB7UqVHuA1Woh,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1366x768,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,A few times a week / Daily,,arm3_tips,5d58ff5f0569c500191eab3b,5d58ff5f0569c500191eab3b,4,3,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/29/2022 19:20,7/29/2022 19:22,IP Address,100,118,True,7/29/2022 19:22,R_1gN2G8qm4nIJKDl,,,,,anonymous,EN,"Not employed, looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,30,Female,True,Real,,,Real,,Details,Real,Click,,Scam,,,Real,Click,Details,Scam,Click,,Scam,,Details,Real,,Details,Scam,,,Scam,,,True,True,7/29/2022 19:37,7/29/2022 19:38,IP Address,100.0,59.0,True,7/29/2022 19:38,R_3MJTksSXSB8qxVI,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Often,"Yes, use the responses.",True,1,True,2,4,1.0,0.0,Keep,False,False,24,False
4,2022-07-29 19:16:00,7/29/2022 19:20,IP Address,100,206,True,7/29/2022 19:20,R_3O0bc8irdeTm7lw,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Android 12,393x786,Very little,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Strongly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm3_tips,60ca31796780c7d97cbf46ae,60ca31796780c7d97cbf46ae,4,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/29/2022 19:20,7/29/2022 19:21,IP Address,100,53,True,7/29/2022 19:21,R_R8GA0S5CngyvkWZ,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,30,Male,True,Real,,,Real,,Details,Real,,,Scam,Click,,Real,,Details,Real,,,Real,,Details,Real,,Details,Scam,,,Scam,,,True,True,7/29/2022 19:29,7/29/2022 19:31,IP Address,100.0,65.0,True,7/29/2022 19:31,R_2fy9VncZqKAOffY,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Not Sure,Yes,Often,Some of the time,Often,"Yes, use the responses.",True,1,True,2,2,2.0,0.0,Keep,False,False,24,False
6,2022-07-29 19:17:00,7/29/2022 19:26,IP Address,100,553,True,7/29/2022 19:26,R_ums9w1GwHM3uxRD,,,,,anonymous,EN,,Yes,,Safari,14.1.2,Macintosh,1440x900,Very little,Angry,Never,Government should do more to solve problems.,Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm1_control,610abc8316396c8f578f7b2b,610abc8316396c8f578f7b2b,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/29/2022 19:26,7/29/2022 19:27,IP Address,100,34,True,7/29/2022 19:27,R_D1C9drh5mnTxiff,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Hispanic,Bachelor degree,22,Female,True,Real,,,Scam,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Real,,,Real,,,Scam,,,True,True,7/29/2022 19:29,7/29/2022 19:29,IP Address,100.0,47.0,True,7/29/2022 19:29,R_1mDcilriB15i6Wv,,,,,anonymous,EN,Someone claiming to be from the IRS (but wasn't),No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,4,0,0.0,0.0,Keep,False,False,24,False
5,2022-07-29 19:21:00,7/29/2022 19:26,IP Address,100,293,True,7/29/2022 19:26,R_1exDJw9JbUVxLDJ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x1024,Very little,Angry,Never,Government should do more to solve problems.,Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,arm2_generalinfo,61085ecb96bc2a8c2bffa47f,61085ecb96bc2a8c2bffa47f,3,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/29/2022 19:26,7/29/2022 19:27,IP Address,100,81,True,7/29/2022 19:27,R_23WXIse3fQEUUcR,,,,,anonymous,EN,"Not employed, looking for work","$100,000 - $149,999","Asian American or Asian,Hispanic",Graduate or professional degree,23,Female,True,Real,,,Real,,Details,Real,Click,,Real,,,Real,,Details,Real,,,Real,,Details,Real,,,Real,,,Scam,,,True,True,7/29/2022 19:34,7/29/2022 19:36,IP Address,100.0,81.0,True,7/29/2022 19:36,R_1K3IoQGkqfBsGUk,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Often,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,3,4,3.0,0.0,Keep,False,False,24,False
9,2022-07-29 19:25:00,7/29/2022 19:30,IP Address,100,274,True,7/29/2022 19:30,R_2vbKrqSz8OriHjO,,,,,anonymous,EN,,Yes,,Chrome,102.0.0.0,CrOS x86_64 14695.107.0,1536x864,Very little,Angry,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Agree,Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,Slightly Disagree,Disagree,Once a week,,arm4_interactive,60fd88c5b5da4621ddaed661,60fd88c5b5da4621ddaed661,3,1,Real,,,Real,,,Scam,,Details,Real,Click,,Real,,,Real,,,Real,,,Real,,Details,True,True,7/29/2022 19:34,7/29/2022 19:34,IP Address,100,33,True,7/29/2022 19:34,R_2EtQJmNNBgqM4Fr,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,25,Female,True,Real,,,Scam,,Details,Real,,,Scam,Click,,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,True,True,7/29/2022 19:38,7/29/2022 19:39,IP Address,100.0,57.0,True,7/29/2022 19:39,R_1Q3Mt6x9TjUjcap,,,,,anonymous,EN,"Someone claiming to be from the company where you work (but wasn't),Someone selling fraudulent goods or services",Yes,$80 ,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,3,0,1.0,0.0,Keep,False,False,24,False
7,2022-07-29 19:26:00,7/29/2022 19:28,IP Address,100,119,True,7/29/2022 19:28,R_1j6YaauoXu2ST3B,,,,,anonymous,EN,,Yes,,Opera,89.0.4447.64,Windows NT 10.0,2560x1440,Some,Basically content,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Strongly Disagree,Slightly Agree,Agree,Agree,Strongly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Disagree,Slightly Agree,Disagree,Slightly Agree,Disagree,A few times a year,,arm4_interactive,5fc620bd1fb5ab1eb2a9975a,5fc620bd1fb5ab1eb2a9975a,3,0,Real,,,Real,,,Scam,,Details,Real,,,Real,Click,,Real,,,Real,,Details,Real,,Details,True,True,7/29/2022 19:31,7/29/2022 19:31,IP Address,100,19,True,7/29/2022 19:31,R_2EyO2aYoXYskMPZ,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999",Asian American or Asian,Some college but no degree,21,Male,True,Real,,,Scam,,Details,Real,,,Real,,,Real,,Details,Scam,,,Real,,Details,Real,,,Real,,,Scam,,,True,True,7/29/2022 19:33,7/29/2022 19:33,IP Address,100.0,37.0,True,7/29/2022 19:33,R_2v1EqKYZsMkw5Xd,,,,,anonymous,EN,Someone claiming to be from the IRS (but wasn't),No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,0,0,0.0,0.0,Too Fast,False,,24,False
8,2022-07-29 19:27:00,7/29/2022 19:30,IP Address,100,201,True,7/29/2022 19:30,R_ysSk346V7pK1uFz,,,,,anonymous,EN,,Yes,,Safari iPhone,15.6,iPhone,428x926,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly Disagree,Disagree,Disagree,Disagree,Slightly Disagree,Disagree,A few times a week / Daily,,arm3_tips,60fcc98f62f37fd44a4184df,60fcc98f62f37fd44a4184df,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/29/2022 19:30,7/29/2022 19:31,IP Address,100,53,True,7/29/2022 19:31,R_5tdo06PsjoB9myB,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,50,Female,True,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Real,,,Real,,,Real,,,,,,True,False,7/29/2022 19:32,7/29/2022 19:33,IP Address,100.0,58.0,True,7/29/2022 19:33,R_w4y0E0rK2pOmeqJ,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,2,2,1.0,0.0,Keep,False,False,24,False
