StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,PID
8/10/2022 19:29,8/10/2022 19:30,IP Address,100,71,TRUE,8/10/2022 19:30,R_C2m5KoebFaVFbY5,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,Not Sure,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5ff4bac1d92c4a412a2c19a2
8/10/2022 19:38,8/10/2022 19:39,IP Address,100,54,TRUE,8/10/2022 19:39,R_248xpLiM6CPt2a1,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5f49b686fc6fe952cf94d25d
8/10/2022 19:38,8/10/2022 19:39,IP Address,100,88,TRUE,8/10/2022 19:39,R_22REMhSGdjTecYf,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5fba22a55e3daf97361fcd07
8/10/2022 19:43,8/10/2022 19:44,IP Address,100,61,TRUE,8/10/2022 19:44,R_xr0RsZVYRpZ8gvf,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Yes,1000,Yes,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",615142d2000fda80675923df
8/10/2022 19:45,8/10/2022 19:46,IP Address,100,52,TRUE,8/10/2022 19:46,R_3CbFRGvuTy0prCF,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Often,Some of the time,Often,"Yes, use the responses.",5e82d6d1f44676000a274347
8/10/2022 19:49,8/10/2022 19:50,IP Address,100,57,TRUE,8/10/2022 19:50,R_3G8uEVbFmx0foFq,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",623484788ce4384a8618ea4a
8/10/2022 19:51,8/10/2022 19:52,IP Address,100,56,TRUE,8/10/2022 19:52,R_24GYZPfpt5zVDF8,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",60ffe5e2de461ed008e09d9e
8/10/2022 19:53,8/10/2022 19:54,IP Address,100,53,TRUE,8/10/2022 19:54,R_27xPURlR4zqGT6x,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Yes,1200,Yes,No,Hardly ever,Some of the time,Often,"Yes, use the responses.",61098fe06c36048d19f69629
8/10/2022 19:54,8/10/2022 19:55,IP Address,100,69,TRUE,8/10/2022 19:55,R_Dq4MKjxo2RfDtTz,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Some of the time,Some of the time,Often,"Yes, use the responses.",5a864d7caa46dd00016bae76
8/10/2022 19:57,8/10/2022 19:58,IP Address,100,53,TRUE,8/10/2022 19:58,R_2OOvJPOnB6C9Iqv,,,,,anonymous,EN,"Someone claiming to be from the company where you work (but wasn't),Someone selling fraudulent goods or services,Other",No,,Yes,No,Some of the time,Some of the time,Hardly ever,"Yes, use the responses.",5d1595d71ae42000191bc23c
