StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,PID
7/25/2022 21:13,7/25/2022 21:14,IP Address,100,81,TRUE,7/25/2022 21:14,R_1JWpN5RlQGzENSi,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Often,Often,"Yes, use the responses.",6093d89c434828b7d04ab3df
7/25/2022 21:21,7/25/2022 21:22,IP Address,100,59,TRUE,7/25/2022 21:22,R_O2o5RpBjKRpgMGB,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",62d6e24cf74647ef51a16300
7/25/2022 21:21,7/25/2022 21:22,IP Address,100,71,TRUE,7/25/2022 21:22,R_1GBW6srYDc9nvky,,,,,anonymous,EN,Someone claiming to be from another government agency (but wasn't),No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5f064d893d76681a2cabc49e
7/25/2022 21:21,7/25/2022 21:22,IP Address,100,87,TRUE,7/25/2022 21:22,R_TvmNZxioa2BiNA5,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",5fd2ee0121083b11eb8a237e
7/25/2022 21:25,7/25/2022 21:26,IP Address,100,47,TRUE,7/25/2022 21:26,R_1QFLi6egMQhzvSY,,,,,anonymous,EN,"Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",5c90fd5c26e3ed0001989e17
7/25/2022 21:27,7/25/2022 21:28,IP Address,100,52,TRUE,7/25/2022 21:28,R_2P0UctvV07xMYS7,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",603b2f67a0efdd74faf90ec5
7/25/2022 21:35,7/25/2022 21:36,IP Address,100,86,TRUE,7/25/2022 21:36,R_24nMS9oxH0qHMkA,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services,Other",Not Sure,,No,Not Sure,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",62c2fe8e258e63b33c8d7324
7/25/2022 21:36,7/25/2022 21:36,IP Address,100,33,TRUE,7/25/2022 21:36,R_3kpONdPPwrhGhKB,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5f1273feb9ddf60dd2781b2f
7/25/2022 21:36,7/25/2022 21:37,IP Address,100,56,TRUE,7/25/2022 21:37,R_1HjbS3DMnjdQG0A,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,Yes,Some of the time,Hardly ever,Hardly ever,,611547dcc45adf9a07c60aea
7/25/2022 21:37,7/25/2022 21:38,IP Address,100,88,TRUE,7/25/2022 21:38,R_3OdhvgK1m9zBoQy,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,Yes,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",62d811c885547ef37cb55d9b
7/25/2022 21:40,7/25/2022 21:41,IP Address,100,43,TRUE,7/25/2022 21:41,R_3hayyYiMEOpDwoK,,,,,anonymous,EN,Someone claiming to be from the Social Security Administration (but wasn't),No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",62de7a8c1895ac984c0e0720
7/25/2022 21:41,7/25/2022 21:42,IP Address,100,70,TRUE,7/25/2022 21:42,R_1oHDumLlCi8OdkR,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't)",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",62df54d52a9e3743753d27db
7/25/2022 21:43,7/25/2022 21:44,IP Address,100,69,TRUE,7/25/2022 21:44,R_1GD2NONsljtvago,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Often,Some of the time,"Yes, use the responses.",610b164074738771ef9acb0a
7/25/2022 21:43,7/25/2022 21:44,IP Address,100,45,TRUE,7/25/2022 21:44,R_3yN88UyiaXpimBj,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",61115c76a6032b5860f19bc5
