StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,PID
7/24/2022 19:28,7/24/2022 19:29,IP Address,100,47,TRUE,7/24/2022 19:29,R_1ow0DOQx0MD4Hix,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,Yes,Some of the time,Often,Often,"Yes, use the responses.",5b1a18c768a5ed000173663f
7/24/2022 19:39,7/24/2022 19:40,IP Address,100,42,TRUE,7/24/2022 19:40,R_1je7u9AO9lwvn85,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",60fce156003127285462a3bb
7/24/2022 19:41,7/24/2022 19:44,IP Address,100,185,TRUE,7/24/2022 19:44,R_6Eg342EViaEsTy9,,,,,anonymous,EN,Someone claiming to be from the company where you work (but wasn't),No,,Yes,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",610773529b6ed4abe44cd28d
7/24/2022 19:43,7/24/2022 19:44,IP Address,100,70,TRUE,7/24/2022 19:44,R_3KT0V65Y7XVSiz8,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",62b7a7e776f241c59cf27ac9
7/24/2022 19:45,7/24/2022 19:46,IP Address,100,40,TRUE,7/24/2022 19:46,R_2BhA60HgTACCqxz,,,,,anonymous,EN,Other,No,,No,No,Often,Often,Often,"Yes, use the responses.",5f8614b5dae6f31327b20577
7/24/2022 19:48,7/24/2022 19:49,IP Address,100,51,TRUE,7/24/2022 19:49,R_diZ2OnIl5FeD2hj,,,,,anonymous,EN,,,,,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",5fd261e9a99c8e03e7258d03
7/24/2022 19:49,7/24/2022 19:50,IP Address,100,71,TRUE,7/24/2022 19:50,R_2yax96IISgDKA3e,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",5d2fc2574fc1dd0017fe490a
7/24/2022 19:52,7/24/2022 19:53,IP Address,100,47,TRUE,7/24/2022 19:53,R_xDtSiOCJ0GOUkr7,,,,,anonymous,EN,"Someone selling fraudulent goods or services,Other",No,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",5ac032d40527ba0001c1ec3c
7/24/2022 19:52,7/24/2022 19:53,IP Address,100,65,TRUE,7/24/2022 19:53,R_2DMu8ZyrtfFjTI9,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Not Sure,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5e3ce0518134d00d50da79c6
7/24/2022 19:52,7/24/2022 19:54,IP Address,100,63,TRUE,7/24/2022 19:54,R_1r0tRAkejtACiEI,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",61114ab144bfe39a305e049f
7/24/2022 19:54,7/24/2022 19:55,IP Address,100,76,TRUE,7/24/2022 19:55,R_12QeLBhHlBlvVtr,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't)",No,,No,Yes,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",62ddda5556d80cb75d1f9bee
7/24/2022 19:55,7/24/2022 19:57,IP Address,100,90,TRUE,7/24/2022 19:57,R_3PjZ5vmICPlgokZ,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",59434d1816fdce00011bd9f8
7/24/2022 19:56,7/24/2022 19:57,IP Address,100,66,TRUE,7/24/2022 19:57,R_3dXHX9kChksXh8C,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services,Other",No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",62c3146c461653b7032a8cb9
7/24/2022 19:56,7/24/2022 19:57,IP Address,100,83,TRUE,7/24/2022 19:57,R_3J4c80W3gCItAYV,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",62d78ec8555d2bb8098f157e
7/24/2022 19:56,7/24/2022 19:58,IP Address,100,100,TRUE,7/24/2022 19:58,R_qCRZmPaTm60YuzL,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",61085557fe66994e665e6c8e
7/24/2022 19:58,7/24/2022 19:58,IP Address,100,45,TRUE,7/24/2022 19:58,R_BYyk6NBAbCm6Rix,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",563abe99be9cac0005aab39f
7/24/2022 19:58,7/24/2022 19:58,IP Address,100,49,TRUE,7/24/2022 19:58,R_DV1UBBaZVWHOleF,,,,,anonymous,EN,Someone claiming to be from the company where you work (but wasn't),No,,Not Sure,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",5ee6b328e96056095324e6f5
7/24/2022 19:57,7/24/2022 19:59,IP Address,100,95,TRUE,7/24/2022 19:59,R_2Yf97ci5PRH1wJi,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,No,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",60a13e67f4d344608ad4f178
7/24/2022 19:58,7/24/2022 20:00,IP Address,100,87,TRUE,7/24/2022 20:00,R_2tseA4lgihaFDgN,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",62dc6d329a5144ff8b61afb9
7/24/2022 20:01,7/24/2022 20:02,IP Address,100,61,TRUE,7/24/2022 20:02,R_3npzhvygr6GmDr4,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5f02444bdf28dd3ced120e0b
7/24/2022 20:02,7/24/2022 20:03,IP Address,100,95,TRUE,7/24/2022 20:03,R_1nPB2d9IICQrTKw,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Often,Some of the time,Often,"Yes, use the responses.",60e90f4266d9d0bf0a17d2bf
7/24/2022 20:02,7/24/2022 20:03,IP Address,100,62,TRUE,7/24/2022 20:03,R_3JEhUqX4kr7H5eA,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",62dd9de432522cb0157febc9
7/24/2022 20:03,7/24/2022 20:04,IP Address,100,60,TRUE,7/24/2022 20:04,R_26bZRJVKli9jn3c,,,,,anonymous,EN,"Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",558b7506fdf99b21155f2bd7
7/24/2022 20:04,7/24/2022 20:05,IP Address,100,56,TRUE,7/24/2022 20:05,R_AtXvEjD6KGfwyw9,,,,,anonymous,EN,"Someone claiming to be from the company where you work (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",61071ccc7bbfb546048d8b82
7/24/2022 20:04,7/24/2022 20:06,IP Address,100,102,TRUE,7/24/2022 20:06,R_ROBMnoDalwUmMUx,,,,,anonymous,EN,,,,,No,Some of the time,Hardly ever,Some of the time,"Yes, use the responses.",5bdce26390edd30001c861a7
