StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,PID
7/2/2022 14:26,7/2/2022 14:27,IP Address,100,46,TRUE,7/2/2022 14:27,R_1rxpLTnigUyMtfm,,,,,anonymous,EN,Someone claiming to be from the IRS (but wasn't),No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",
7/2/2022 17:52,7/2/2022 17:53,IP Address,100,55,TRUE,7/2/2022 17:53,R_0lDwtWSAYPDl28x,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the company where you work (but wasn't)",Yes,Gjk,Yes,Yes,Often,Some of the time,Hardly ever,"No, the responses shouldn't be used.",
7/4/2022 13:11,7/4/2022 13:12,IP Address,100,39,TRUE,7/4/2022 13:12,R_1F2sctTsT8YAhjX,,,,,anonymous,EN,Someone claiming to be from the IRS (but wasn't),Yes,33,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",Steve3
7/4/2022 13:33,7/4/2022 13:34,IP Address,100,40,TRUE,7/4/2022 13:34,R_yUv2YhWEXKxcP4d,,,,,anonymous,EN,,,,,No,Often,Often,Often,"Yes, use the responses.",610b04d642aa28e6f7281bce
7/4/2022 13:44,7/4/2022 13:45,IP Address,100,71,TRUE,7/4/2022 13:45,R_ekBa1MPOiqNt0Bz,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,No,Often,Often,Often,"Yes, use the responses.",60ea3690567f68655f83d0b5
7/4/2022 13:45,7/4/2022 13:47,IP Address,100,90,TRUE,7/4/2022 13:47,R_ZmjKENYsyeVlKFP,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't)",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5f25c13cc7c8ea1ac7a0f863
7/4/2022 13:48,7/4/2022 13:49,IP Address,100,59,TRUE,7/4/2022 13:49,R_yQRtyPmn9hjCaA1,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",62b9e94484e7ffb27d90f991
7/4/2022 13:47,7/4/2022 13:49,IP Address,100,116,TRUE,7/4/2022 13:49,R_2BeUzJjYE22TWnG,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",612d54b792c80674acfa9f27
7/4/2022 13:49,7/4/2022 13:50,IP Address,100,49,TRUE,7/4/2022 13:50,R_22l8mMUV8qQ0Hpm,,,,,anonymous,EN,Other,No,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",6111a2f11add6761a59516db
7/4/2022 13:49,7/4/2022 13:50,IP Address,100,45,TRUE,7/4/2022 13:50,R_NVZCJYwl3BPAV7X,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",608ed2b926a5b59e8a0990e1
